POD,CPU,MEMORY,TIME,Resource,,,
,,,,,,,
frontend-767bb5b6b6-cjccz,81,22Mi,1703251786,113.7884873,43822,58297.22787,0.751699551
frontend-767bb5b6b6-cjccz,71,22Mi,1703251808,108.4337349,,,
frontend-767bb5b6b6-cjccz,77,22Mi,1703251830,95.04685408,,,
frontend-767bb5b6b6-cjccz,73,22Mi,1703251851,103.0789826,,,
frontend-767bb5b6b6-cjccz,77,22Mi,1703251873,97.72423025,,,
frontend-767bb5b6b6-cjccz,70,22Mi,1703251895,103.0081252,,,
frontend-767bb5b6b6-cjccz,79,22Mi,1703251917,94.47072216,,,
frontend-767bb5b6b6-cjccz,69,27Mi,1703251939,105.2310031,,,
frontend-767bb5b6b6-cjccz,83,27Mi,1703251960,91.83588602,,,
frontend-767bb5b6b6-cjccz,86,27Mi,1703251982,109.556103,,,
frontend-767bb5b6b6-cjccz,77,27Mi,1703252020,112.8956568,,,
frontend-767bb5b6b6-cjccz,101,27Mi,1703252042,100.9767185,,,
frontend-767bb5b6b6-cjccz,77,27Mi,1703252064,121.1214609,,,
frontend-767bb5b6b6-cjccz,86,27Mi,1703252085,117.4083852,,,
frontend-767bb5b6b6-cjccz,77,27Mi,1703252107,114.8817586,,,
frontend-767bb5b6b6-cjccz,74,27Mi,1703252128,103.1554754,,,
frontend-767bb5b6b6-cjccz,74,27Mi,1703252150,104.8160597,,,
frontend-767bb5b6b6-cjccz,90,27Mi,1703252172,100.7130241,,,
frontend-767bb5b6b6-cjccz,71,27Mi,1703252193,119.1781444,,,
frontend-767bb5b6b6-cjccz,72,27Mi,1703252215,96.44583927,,,
frontend-767bb5b6b6-cjccz,86,27Mi,1703252236,99.91307868,,,
frontend-767bb5b6b6-cjccz,73,27Mi,1703252258,113.3144945,,,
frontend-767bb5b6b6-cjccz,82,28Mi,1703252280,99.47437784,,,
frontend-767bb5b6b6-cjccz,82,28Mi,1703252301,109.6362616,,,
frontend-767bb5b6b6-cjccz,80,28Mi,1703252323,109.8413394,,,
frontend-767bb5b6b6-cjccz,93,28Mi,1703252344,107.2608482,,,
frontend-767bb5b6b6-cjccz,78,28Mi,1703252366,120.5788933,,,
frontend-767bb5b6b6-cjccz,91,28Mi,1703252387,111.6672658,,,
frontend-767bb5b6b6-cjccz,76,28Mi,1703252409,116.3447237,,,
frontend-767bb5b6b6-cjccz,78,28Mi,1703252430,111.5767816,,,
frontend-767bb5b6b6-cjccz,78,28Mi,1703252452,105.6113463,,,
frontend-767bb5b6b6-cjccz,89,28Mi,1703252473,104.8042236,,,
frontend-767bb5b6b6-cjccz,93,28Mi,1703252495,120.0128908,,,
frontend-767bb5b6b6-cjccz,78,28Mi,1703252517,122.6077785,,,
frontend-767bb5b6b6-cjccz,82,28Mi,1703252538,117.1798091,,,
frontend-767bb5b6b6-cjccz,75,28Mi,1703252560,110.3353046,,,
frontend-767bb5b6b6-cjccz,75,28Mi,1703252581,100.9880666,,,
frontend-767bb5b6b6-cjccz,77,28Mi,1703252603,102.1907095,,,
frontend-767bb5b6b6-cjccz,82,28Mi,1703252624,103.2819727,,,
frontend-767bb5b6b6-cjccz,90,28Mi,1703252646,109.1452448,,,
frontend-767bb5b6b6-cjccz,75,28Mi,1703252667,118.5911312,,,
frontend-767bb5b6b6-cjccz,89,28Mi,1703252689,110.2187999,,,
frontend-767bb5b6b6-cjccz,80,28Mi,1703252710,116.2425446,,,
