POD,CPU,MEMORY,TIME,Resource,
,43607,,,58373.49398,0.747034262
frontend-767bb5b6b6-5fvdr,82,31Mi,1703204718,117.8045515,
frontend-767bb5b6b6-5fvdr,79,31Mi,1703204740,109.772423,
frontend-767bb5b6b6-5fvdr,75,31Mi,1703204761,105.7563588,
frontend-767bb5b6b6-5fvdr,59,31Mi,1703204783,100.4016064,
frontend-767bb5b6b6-5fvdr,63,31Mi,1703204805,78.98259705,
frontend-767bb5b6b6-5fvdr,61,31Mi,1703204827,81.65997323,
frontend-767bb5b6b6-5fvdr,63,31Mi,1703204848,82.99866131,
frontend-767bb5b6b6-5fvdr,65,31Mi,1703204870,82.99866131,
frontend-767bb5b6b6-5fvdr,68,31Mi,1703204892,85.67603748,
frontend-767bb5b6b6-5fvdr,63,31Mi,1703204913,89.0227577,
frontend-767bb5b6b6-5fvdr,60,30Mi,1703204935,87.68406961,
frontend-767bb5b6b6-5fvdr,78,30Mi,1703204957,82.32931727,
frontend-767bb5b6b6-5fvdr,69,30Mi,1703204978,92.36947791,
frontend-767bb5b6b6-5fvdr,76,30Mi,1703205000,98.3935743,
frontend-767bb5b6b6-5fvdr,77,30Mi,1703205022,97.05488621,
frontend-767bb5b6b6-5fvdr,66,30Mi,1703205043,102.4096386,
frontend-767bb5b6b6-5fvdr,97,30Mi,1703205065,95.71619813,
frontend-767bb5b6b6-5fvdr,78,29Mi,1703205087,109.103079,
frontend-767bb5b6b6-5fvdr,88,29Mi,1703205108,117.1352075,
frontend-767bb5b6b6-5fvdr,76,29Mi,1703205130,111.1111111,
frontend-767bb5b6b6-5fvdr,87,29Mi,1703205151,109.772423,
frontend-767bb5b6b6-5fvdr,74,29Mi,1703205173,109.103079,
frontend-767bb5b6b6-5fvdr,62,29Mi,1703205194,107.7643909,
frontend-767bb5b6b6-5fvdr,74,29Mi,1703205216,91.03078983,
frontend-767bb5b6b6-5fvdr,71,30Mi,1703205238,91.03078983,
frontend-767bb5b6b6-5fvdr,69,30Mi,1703205259,97.05488621,
frontend-767bb5b6b6-5fvdr,73,30Mi,1703205281,93.708166,
frontend-767bb5b6b6-5fvdr,70,30Mi,1703205302,95.04685408,
frontend-767bb5b6b6-5fvdr,92,30Mi,1703205324,95.71619813,
frontend-767bb5b6b6-5fvdr,84,30Mi,1703205345,108.4337349,
frontend-767bb5b6b6-5fvdr,79,30Mi,1703205367,117.8045515,
frontend-767bb5b6b6-5fvdr,82,29Mi,1703205389,109.103079,
frontend-767bb5b6b6-5fvdr,77,29Mi,1703205410,107.7643909,
frontend-767bb5b6b6-5fvdr,88,29Mi,1703205432,106.4257028,
frontend-767bb5b6b6-5fvdr,76,29Mi,1703205454,110.4417671,
frontend-767bb5b6b6-5fvdr,80,29Mi,1703205475,109.772423,
frontend-767bb5b6b6-5fvdr,77,29Mi,1703205497,104.4176707,
frontend-767bb5b6b6-5fvdr,74,29Mi,1703205519,105.0870147,
frontend-767bb5b6b6-5fvdr,78,29Mi,1703205540,101.0709505,
frontend-767bb5b6b6-5fvdr,77,29Mi,1703205562,101.7402945,
frontend-767bb5b6b6-5fvdr,93,29Mi,1703205584,103.7483266,
frontend-767bb5b6b6-5fvdr,70,29Mi,1703205605,113.7884873,
frontend-767bb5b6b6-5fvdr,96,29Mi,1703205627,109.103079,
frontend-767bb5b6b6-5fvdr,71,29Mi,1703205649,111.1111111,
frontend-767bb5b6b6-5fvdr,84,29Mi,1703205670,111.7804552,
frontend-767bb5b6b6-5fvdr,84,29Mi,1703205692,103.7483266,
frontend-767bb5b6b6-5fvdr,82,29Mi,1703205714,112.4497992,
frontend-767bb5b6b6-5fvdr,86,29Mi,1703205735,111.1111111,
frontend-767bb5b6b6-5fvdr,90,29Mi,1703205757,112.4497992,
