POD,CPU,MEMORY,TIME,Resource,,,,
frontend-767bb5b6b6-tktzp,93,26Mi,1702968240,0,,41632,55785.27229,0.746290164
frontend-767bb5b6b6-tktzp,91,26Mi,1702968262,116.25,,,,
frontend-767bb5b6b6-tktzp,85,26Mi,1702968284,113.75,,,,
frontend-767bb5b6b6-tktzp,81,26Mi,1702968305,106.25,,,,
frontend-767bb5b6b6-tktzp,71,26Mi,1702968327,101.25,,,,
frontend-767bb5b6b6-tktzp,68,26Mi,1702968349,88.75,,,,
frontend-767bb5b6b6-tktzp,67,26Mi,1702968371,110.8332377,,,,
frontend-767bb5b6b6-tktzp,73,26Mi,1702968393,102.2472886,,,,
frontend-767bb5b6b6-tktzp,73,26Mi,1702968415,94.25390763,,,,
frontend-767bb5b6b6-tktzp,73,25Mi,1702968437,86.70539816,,,,
frontend-767bb5b6b6-tktzp,69,25Mi,1702968459,87.65974358,,,,
frontend-767bb5b6b6-tktzp,69,25Mi,1702968480,87.46859089,,,,
frontend-767bb5b6b6-tktzp,75,25Mi,1702968502,86.61706113,,,,
frontend-767bb5b6b6-tktzp,79,25Mi,1702968524,88.09,,,,
frontend-767bb5b6b6-tktzp,71,25Mi,1702968546,92.67788634,,,,
frontend-767bb5b6b6-tktzp,71,25Mi,1702968568,92.40973094,,,,
frontend-767bb5b6b6-tktzp,77,24Mi,1702968590,92.17873016,,,,
frontend-767bb5b6b6-tktzp,89,24Mi,1702968612,93.15,,,,
frontend-767bb5b6b6-tktzp,73,24Mi,1702968634,104.2387097,,,,
frontend-767bb5b6b6-tktzp,71,24Mi,1702968656,103.1886118,,,,
frontend-767bb5b6b6-tktzp,77,24Mi,1702968678,103.1886118,,,,
frontend-767bb5b6b6-tktzp,67,24Mi,1702968700,103.3808594,,,,
frontend-767bb5b6b6-tktzp,77,24Mi,1702968722,104.0196967,,,,
frontend-767bb5b6b6-tktzp,65,24Mi,1702968743,92.67788634,,,,
frontend-767bb5b6b6-tktzp,88,24Mi,1702968765,93.52689975,,,,
frontend-767bb5b6b6-tktzp,77,24Mi,1702968787,105.008586,,,,
frontend-767bb5b6b6-tktzp,84,25Mi,1702968809,105.008586,,,,
frontend-767bb5b6b6-tktzp,84,25Mi,1702968831,107.9465035,,,,
frontend-767bb5b6b6-tktzp,80,25Mi,1702968853,110.2026258,,,,
frontend-767bb5b6b6-tktzp,77,25Mi,1702968875,103.6692626,,,,
frontend-767bb5b6b6-tktzp,82,25Mi,1702968897,99.67481809,,,,
frontend-767bb5b6b6-tktzp,67,25Mi,1702968919,99.71258961,,,,
frontend-767bb5b6b6-tktzp,83,25Mi,1702968941,103.4231192,,,,
frontend-767bb5b6b6-tktzp,82,25Mi,1702968963,102.7543668,,,,
frontend-767bb5b6b6-tktzp,79,26Mi,1702968985,103.6839231,,,,
frontend-767bb5b6b6-tktzp,80,26Mi,1702969007,104.082246,,,,
frontend-767bb5b6b6-tktzp,84,26Mi,1702969029,103.2143668,,,,
frontend-767bb5b6b6-tktzp,77,25Mi,1702969051,98.10586451,,,,
frontend-767bb5b6b6-tktzp,85,25Mi,1702969073,98.01820115,,,,
frontend-767bb5b6b6-tktzp,73,25Mi,1702969095,100.1262454,,,,
frontend-767bb5b6b6-tktzp,78,25Mi,1702969117,101.994011,,,,
frontend-767bb5b6b6-tktzp,82,25Mi,1702969139,101.6574441,,,,
frontend-767bb5b6b6-tktzp,76,25Mi,1702969161,100.388763,,,,
frontend-767bb5b6b6-tktzp,79,24Mi,1702969182,100.4213468,,,,
frontend-767bb5b6b6-tktzp,90,24Mi,1702969204,96.15531633,,,,
frontend-767bb5b6b6-tktzp,78,24Mi,1702969226,104.4176528,,,,
frontend-767bb5b6b6-tktzp,85,24Mi,1702969248,104.4176528,,,,
frontend-767bb5b6b6-tktzp,84,24Mi,1702969270,105.7112089,,,,
frontend-767bb5b6b6-tktzp,82,24Mi,1702969292,105.6949089,,,,
