POD,CPU,MEMORY,TIME,Resource,,,
,,,,,,42710,57069.80825
frontend-767bb5b6b6-tktzp,82,29Mi,1703003392,126.6846361,,,0.748381698
frontend-767bb5b6b6-tktzp,66,29Mi,1703003413,110.5121294,,,
frontend-767bb5b6b6-tktzp,80,29Mi,1703003435,88.94878706,,,
frontend-767bb5b6b6-tktzp,69,29Mi,1703003457,107.8167116,,,
frontend-767bb5b6b6-tktzp,87,29Mi,1703003479,92.99191375,,,
frontend-767bb5b6b6-tktzp,71,29Mi,1703003501,111.4371647,,,
frontend-767bb5b6b6-tktzp,76,29Mi,1703003522,104.1746122,,,
frontend-767bb5b6b6-tktzp,75,29Mi,1703003544,103.2585973,,,
frontend-767bb5b6b6-tktzp,75,29Mi,1703003566,100.8219238,,,
frontend-767bb5b6b6-tktzp,80,29Mi,1703003588,101.0994177,,,
frontend-767bb5b6b6-tktzp,81,29Mi,1703003610,103.3243486,,,
frontend-767bb5b6b6-tktzp,72,29Mi,1703003632,106.0197664,,,
frontend-767bb5b6b6-tktzp,81,29Mi,1703003654,97.24797989,,,
frontend-767bb5b6b6-tktzp,74,29Mi,1703003676,108.5916926,,,
frontend-767bb5b6b6-tktzp,78,29Mi,1703003698,100.1444829,,,
frontend-767bb5b6b6-tktzp,72,29Mi,1703003719,105.8070755,,,
frontend-767bb5b6b6-tktzp,77,27Mi,1703003741,97.37456696,,,
frontend-767bb5b6b6-tktzp,74,27Mi,1703003763,103.8760395,,,
frontend-767bb5b6b6-tktzp,62,27Mi,1703003785,99.86806657,,,
frontend-767bb5b6b6-tktzp,62,27Mi,1703003807,84.9219534,,,
frontend-767bb5b6b6-tktzp,76,27Mi,1703003829,84.55046386,,,
frontend-767bb5b6b6-tktzp,68,27Mi,1703003851,89.84725966,,,
frontend-767bb5b6b6-tktzp,69,27Mi,1703003872,92.54267745,,,
frontend-767bb5b6b6-tktzp,69,27Mi,1703003894,93.09075572,,,
frontend-767bb5b6b6-tktzp,79,27Mi,1703003916,92.7436961,,,
frontend-767bb5b6b6-tktzp,81,27Mi,1703003938,104.6986836,,,
frontend-767bb5b6b6-tktzp,72,27Mi,1703003960,106.9389519,,,
frontend-767bb5b6b6-tktzp,79,27Mi,1703003982,97.53885849,,,
frontend-767bb5b6b6-tktzp,70,27Mi,1703004003,103.6675015,,,
frontend-767bb5b6b6-tktzp,64,27Mi,1703004025,94.93251826,,,
frontend-767bb5b6b6-tktzp,71,27Mi,1703004047,87.28563482,,,
frontend-767bb5b6b6-tktzp,74,27Mi,1703004069,94.88721933,,,
frontend-767bb5b6b6-tktzp,71,27Mi,1703004091,98.86242494,,,
frontend-767bb5b6b6-tktzp,82,28Mi,1703004112,96.52831957,,,
frontend-767bb5b6b6-tktzp,76,28Mi,1703004134,101.9766397,,,
frontend-767bb5b6b6-tktzp,73,28Mi,1703004156,102.8751123,,,
frontend-767bb5b6b6-tktzp,78,28Mi,1703004178,98.33707352,,,
frontend-767bb5b6b6-tktzp,76,28Mi,1703004200,104.6517678,,,
frontend-767bb5b6b6-tktzp,85,28Mi,1703004222,102.9439224,,,
frontend-767bb5b6b6-tktzp,93,28Mi,1703004243,111.3840969,,,
frontend-767bb5b6b6-tktzp,96,28Mi,1703004265,114.1060198,,,
