POD,CPU,MEMORY,TIME,,,,,,,Resource,
front-end-55b89655c7-6flr7,234,106Mi,1703219434,,,,,148703,185880.9409,,0.799990571
front-end-55b89655c7-6flr7,219,105Mi,1703219456,,,,,219,294.3396226,294.3396226,
front-end-55b89655c7-6flr7,219,105Mi,1703219477,,,,,219,275.4716981,275.4716981,
front-end-55b89655c7-6flr7,211,105Mi,1703219499,,,,,211,275.4716981,275.4716981,
front-end-55b89655c7-6flr7,212,106Mi,1703219520,,,,,212,265.408805,265.408805,
front-end-55b89655c7-6flr7,263,104Mi,1703219541,,,,,263,266.6666667,266.6666667,
front-end-55b89655c7-6flr7,201,106Mi,1703219563,,,,,201,326.686843,326.686843,
front-end-55b89655c7-6flr7,188,104Mi,1703219584,,,,,188,248.9132956,248.9132956,
front-end-55b89655c7-6flr7,205,107Mi,1703219606,,,,,205,237.4031581,237.4031581,
front-end-55b89655c7-6flr7,191,108Mi,1703219627,,,,,191,257.4794552,257.4794552,
front-end-55b89655c7-6flr7,206,103Mi,1703219648,,,,,206,240.980325,240.980325,
front-end-55b89655c7-6flr7,209,108Mi,1703219670,,,,,209,256.3043009,256.3043009,
front-end-55b89655c7-6flr7,181,104Mi,1703219691,,,,,181,261.2457329,261.2457329,
front-end-55b89655c7-6flr7,196,108Mi,1703219712,,,,,196,228.8574365,228.8574365,
front-end-55b89655c7-6flr7,206,107Mi,1703219733,,,,,206,248.1567842,248.1567842,
front-end-55b89655c7-6flr7,215,105Mi,1703219754,,,,,215,256.8791662,256.8791662,
front-end-55b89655c7-6flr7,193,109Mi,1703219776,,,,,193,269.0290343,269.0290343,
front-end-55b89655c7-6flr7,224,107Mi,1703219797,,,,,224,239.0113044,239.0113044,
front-end-55b89655c7-6flr7,221,106Mi,1703219818,,,,,221,285.4431591,285.4431591,
front-end-55b89655c7-6flr7,191,104Mi,1703219839,,,,,191,276.3188156,276.3188156,
front-end-55b89655c7-6flr7,233,106Mi,1703219860,,,,,233,238.36569,238.36569,
front-end-55b89655c7-6flr7,208,106Mi,1703219882,,,,,208,287.2257132,287.2257132,
front-end-55b89655c7-6flr7,233,106Mi,1703219903,,,,,233,259.5707946,259.5707946,
