POD,CPU,MEMORY,TIME
front-end-55b89655c7-cmjfv,93m,70Mi,1703220008.3683097
front-end-55b89655c7-cmjfv,1m,70Mi,1703220029.8879092
front-end-55b89655c7-cmjfv,107m,81Mi,1703220051.3366656
front-end-55b89655c7-cmjfv,133m,114Mi,1703220072.6625283
front-end-55b89655c7-cmjfv,133m,114Mi,1703220094.060201
front-end-55b89655c7-cmjfv,153m,134Mi,1703220115.4748921
front-end-55b89655c7-cmjfv,124m,139Mi,1703220136.8634443
front-end-55b89655c7-cmjfv,156m,108Mi,1703220158.213284
front-end-55b89655c7-cmjfv,127m,106Mi,1703220179.618803
front-end-55b89655c7-cmjfv,151m,105Mi,1703220200.9323006
front-end-55b89655c7-cmjfv,135m,108Mi,1703220222.3280947
front-end-55b89655c7-cmjfv,145m,107Mi,1703220243.5980237
front-end-55b89655c7-cmjfv,137m,105Mi,1703220264.8807282
front-end-55b89655c7-cmjfv,176m,104Mi,1703220286.2045681
front-end-55b89655c7-cmjfv,144m,105Mi,1703220307.6115701
front-end-55b89655c7-cmjfv,173m,107Mi,1703220328.9154084
front-end-55b89655c7-cmjfv,138m,108Mi,1703220350.2405849
front-end-55b89655c7-cmjfv,171m,106Mi,1703220371.7811823
front-end-55b89655c7-cmjfv,165m,105Mi,1703220393.1163085
front-end-55b89655c7-cmjfv,134m,107Mi,1703220414.4072955
front-end-55b89655c7-cmjfv,134m,107Mi,1703220435.738231
front-end-55b89655c7-cmjfv,151m,107Mi,1703220457.0958753
front-end-55b89655c7-cmjfv,128m,107Mi,1703220478.4735963
front-end-55b89655c7-cmjfv,170m,105Mi,1703220499.8634875
front-end-55b89655c7-cmjfv,150m,106Mi,1703220521.251204
front-end-55b89655c7-cmjfv,199m,105Mi,1703220542.6502185
front-end-55b89655c7-cmjfv,150m,107Mi,1703220563.94601
front-end-55b89655c7-cmjfv,212m,108Mi,1703220585.3105786
front-end-55b89655c7-cmjfv,135m,109Mi,1703220606.679356
front-end-55b89655c7-cmjfv,153m,104Mi,1703220628.250151
front-end-55b89655c7-cmjfv,145m,108Mi,1703220649.6032856
front-end-55b89655c7-cmjfv,162m,108Mi,1703220670.985465
front-end-55b89655c7-cmjfv,156m,107Mi,1703220692.2636764
front-end-55b89655c7-cmjfv,144m,108Mi,1703220713.598627
front-end-55b89655c7-cmjfv,162m,108Mi,1703220734.969676
front-end-55b89655c7-cmjfv,168m,109Mi,1703220756.3462462
front-end-55b89655c7-cmjfv,140m,108Mi,1703220777.6068382
front-end-55b89655c7-cmjfv,152m,108Mi,1703220798.8803566
front-end-55b89655c7-cmjfv,147m,106Mi,1703220820.2617419
front-end-55b89655c7-cmjfv,170m,107Mi,1703220841.610097
front-end-55b89655c7-cmjfv,149m,106Mi,1703220863.000037
front-end-55b89655c7-cmjfv,180m,107Mi,1703220884.32175
front-end-55b89655c7-cmjfv,149m,106Mi,1703220905.6972094
front-end-55b89655c7-cmjfv,137m,104Mi,1703220927.0677986
front-end-55b89655c7-cmjfv,153m,108Mi,1703220948.5779126
front-end-55b89655c7-cmjfv,162m,108Mi,1703220969.8331428
front-end-55b89655c7-cmjfv,176m,108Mi,1703220991.1247761
front-end-55b89655c7-cmjfv,152m,109Mi,1703221012.4291005
front-end-55b89655c7-cmjfv,164m,105Mi,1703221033.9015157
front-end-55b89655c7-cmjfv,132m,108Mi,1703221055.1601722
front-end-55b89655c7-cmjfv,205m,109Mi,1703221076.4983306
front-end-55b89655c7-cmjfv,128m,109Mi,1703221097.8191285
front-end-55b89655c7-cmjfv,185m,106Mi,1703221119.1564212
front-end-55b89655c7-cmjfv,140m,107Mi,1703221140.5266368
front-end-55b89655c7-cmjfv,191m,108Mi,1703221162.0276678
front-end-55b89655c7-cmjfv,147m,107Mi,1703221183.387728
front-end-55b89655c7-cmjfv,146m,107Mi,1703221204.837002
front-end-55b89655c7-cmjfv,188m,108Mi,1703221226.1710215
front-end-55b89655c7-cmjfv,136m,107Mi,1703221247.7239985
front-end-55b89655c7-cmjfv,172m,107Mi,1703221269.2885618
front-end-55b89655c7-cmjfv,147m,108Mi,1703221290.611588
front-end-55b89655c7-cmjfv,158m,108Mi,1703221311.9068608
front-end-55b89655c7-cmjfv,156m,106Mi,1703221333.2029438
front-end-55b89655c7-cmjfv,164m,109Mi,1703221354.541271
front-end-55b89655c7-cmjfv,136m,106Mi,1703221375.925631
front-end-55b89655c7-cmjfv,170m,107Mi,1703221397.2470026
front-end-55b89655c7-cmjfv,148m,107Mi,1703221418.537547
front-end-55b89655c7-cmjfv,145m,106Mi,1703221439.9076045
front-end-55b89655c7-cmjfv,131m,106Mi,1703221461.3211093
front-end-55b89655c7-cmjfv,139m,108Mi,1703221482.597033
front-end-55b89655c7-cmjfv,174m,108Mi,1703221504.185162
front-end-55b89655c7-cmjfv,151m,110Mi,1703221525.6355555
front-end-55b89655c7-cmjfv,136m,107Mi,1703221547.159598
front-end-55b89655c7-cmjfv,162m,107Mi,1703221568.6099758
front-end-55b89655c7-cmjfv,162m,107Mi,1703221590.1297057
front-end-55b89655c7-cmjfv,161m,107Mi,1703221611.523535
front-end-55b89655c7-cmjfv,176m,109Mi,1703221632.8206353
front-end-55b89655c7-cmjfv,146m,108Mi,1703221654.140535
front-end-55b89655c7-cmjfv,146m,105Mi,1703221675.7639854
front-end-55b89655c7-cmjfv,160m,108Mi,1703221697.0757778
front-end-55b89655c7-cmjfv,161m,106Mi,1703221718.47942
front-end-55b89655c7-cmjfv,163m,108Mi,1703221739.9390752
front-end-55b89655c7-cmjfv,159m,107Mi,1703221761.373597
front-end-55b89655c7-cmjfv,162m,107Mi,1703221782.739284
front-end-55b89655c7-cmjfv,162m,107Mi,1703221804.0366325
front-end-55b89655c7-cmjfv,177m,109Mi,1703221825.4615998
front-end-55b89655c7-cmjfv,175m,108Mi,1703221846.8689098
front-end-55b89655c7-cmjfv,145m,107Mi,1703221868.1888528
front-end-55b89655c7-cmjfv,173m,107Mi,1703221889.6105218
front-end-55b89655c7-cmjfv,165m,106Mi,1703221910.9985182
front-end-55b89655c7-cmjfv,149m,106Mi,1703221932.3023837
front-end-55b89655c7-cmjfv,149m,106Mi,1703221953.6034672
front-end-55b89655c7-cmjfv,158m,107Mi,1703221974.9963105
front-end-55b89655c7-cmjfv,191m,108Mi,1703221996.4128578
front-end-55b89655c7-cmjfv,143m,108Mi,1703222017.8071198
front-end-55b89655c7-cmjfv,147m,109Mi,1703222039.2648535
front-end-55b89655c7-cmjfv,166m,107Mi,1703222060.587612
front-end-55b89655c7-cmjfv,150m,107Mi,1703222082.0403373
front-end-55b89655c7-cmjfv,157m,108Mi,1703222103.394853
front-end-55b89655c7-cmjfv,167m,108Mi,1703222124.7978425
front-end-55b89655c7-cmjfv,155m,107Mi,1703222146.115995
front-end-55b89655c7-cmjfv,201m,108Mi,1703222167.4232616
front-end-55b89655c7-cmjfv,150m,106Mi,1703222188.799276
front-end-55b89655c7-cmjfv,150m,106Mi,1703222210.1275623
front-end-55b89655c7-cmjfv,145m,107Mi,1703222231.5510926
front-end-55b89655c7-cmjfv,144m,108Mi,1703222252.940781
front-end-55b89655c7-cmjfv,186m,108Mi,1703222274.2348566
front-end-55b89655c7-cmjfv,148m,107Mi,1703222295.7020602
front-end-55b89655c7-cmjfv,164m,107Mi,1703222317.0721443
front-end-55b89655c7-cmjfv,164m,106Mi,1703222338.5227513
front-end-55b89655c7-cmjfv,154m,109Mi,1703222359.7946415
front-end-55b89655c7-cmjfv,161m,107Mi,1703222381.1949337
front-end-55b89655c7-cmjfv,148m,107Mi,1703222402.6605177
front-end-55b89655c7-cmjfv,162m,107Mi,1703222424.1312535
front-end-55b89655c7-cmjfv,162m,107Mi,1703222445.630549
front-end-55b89655c7-cmjfv,190m,106Mi,1703222467.0302455
front-end-55b89655c7-cmjfv,163m,106Mi,1703222488.386232
front-end-55b89655c7-cmjfv,149m,107Mi,1703222509.8099852
front-end-55b89655c7-cmjfv,168m,106Mi,1703222531.1500435
front-end-55b89655c7-cmjfv,184m,106Mi,1703222552.6341631
front-end-55b89655c7-cmjfv,166m,107Mi,1703222573.9641411
front-end-55b89655c7-cmjfv,181m,106Mi,1703222595.3723931
front-end-55b89655c7-cmjfv,160m,108Mi,1703222616.7611897
front-end-55b89655c7-cmjfv,185m,105Mi,1703222638.3147645
front-end-55b89655c7-cmjfv,114m,108Mi,1703222659.6387494
front-end-55b89655c7-cmjfv,154m,107Mi,1703222681.0003352
front-end-55b89655c7-cmjfv,198m,107Mi,1703222702.3055923
front-end-55b89655c7-cmjfv,167m,107Mi,1703222723.7462158
front-end-55b89655c7-cmjfv,178m,107Mi,1703222745.1811879
front-end-55b89655c7-cmjfv,178m,107Mi,1703222766.5448956
front-end-55b89655c7-cmjfv,166m,109Mi,1703222788.0638928
front-end-55b89655c7-cmjfv,161m,108Mi,1703222809.4554625
front-end-55b89655c7-cmjfv,158m,107Mi,1703222830.8400366
front-end-55b89655c7-cmjfv,158m,107Mi,1703222852.2869244
front-end-55b89655c7-cmjfv,161m,106Mi,1703222873.6516201
front-end-55b89655c7-cmjfv,158m,107Mi,1703222894.9398773
front-end-55b89655c7-cmjfv,195m,106Mi,1703222916.318545
front-end-55b89655c7-cmjfv,155m,109Mi,1703222937.8072493
front-end-55b89655c7-cmjfv,158m,108Mi,1703222959.2169259
front-end-55b89655c7-cmjfv,153m,109Mi,1703222980.5140522
front-end-55b89655c7-cmjfv,153m,109Mi,1703223002.0454986
front-end-55b89655c7-cmjfv,158m,106Mi,1703223023.4084063
front-end-55b89655c7-cmjfv,155m,108Mi,1703223044.7671087
front-end-55b89655c7-cmjfv,155m,108Mi,1703223066.1726422
