POD,CPU,MEMORY,TIME
front-end-55b89655c7-r7j55,51m,65Mi,1702574747.6262083
front-end-55b89655c7-r7j55,1m,65Mi,1702574769.0198536
front-end-55b89655c7-r7j55,35m,59Mi,1702574791.7558901
front-end-55b89655c7-r7j55,135m,90Mi,1702574813.213968
front-end-55b89655c7-r7j55,112m,97Mi,1702574834.6322527
front-end-55b89655c7-r7j55,118m,96Mi,1702574856.0647786
front-end-55b89655c7-r7j55,106m,97Mi,1702574877.473158
front-end-55b89655c7-r7j55,106m,94Mi,1702574898.9533076
front-end-55b89655c7-r7j55,127m,96Mi,1702574920.5429852
front-end-55b89655c7-r7j55,140m,94Mi,1702574942.0400715
front-end-55b89655c7-r7j55,140m,94Mi,1702574963.4519722
front-end-55b89655c7-r7j55,126m,97Mi,1702574984.8716075
front-end-55b89655c7-r7j55,145m,97Mi,1702575006.2254946
front-end-55b89655c7-r7j55,147m,97Mi,1702575027.6522317
front-end-55b89655c7-r7j55,111m,97Mi,1702575048.9890304
front-end-55b89655c7-r7j55,111m,97Mi,1702575070.4234378
front-end-55b89655c7-r7j55,126m,96Mi,1702575091.8485804
front-end-55b89655c7-r7j55,115m,97Mi,1702575113.227227
front-end-55b89655c7-r7j55,152m,95Mi,1702575134.6873045
front-end-55b89655c7-r7j55,118m,95Mi,1702575156.0447195
front-end-55b89655c7-r7j55,131m,94Mi,1702575177.521278
front-end-55b89655c7-r7j55,128m,97Mi,1702575198.9878712
front-end-55b89655c7-r7j55,141m,96Mi,1702575220.5134566
front-end-55b89655c7-r7j55,121m,99Mi,1702575242.1041527
front-end-55b89655c7-r7j55,135m,96Mi,1702575263.6120856
front-end-55b89655c7-r7j55,150m,95Mi,1702575285.0703766
front-end-55b89655c7-r7j55,134m,99Mi,1702575306.5809565
front-end-55b89655c7-r7j55,140m,96Mi,1702575328.1527255
front-end-55b89655c7-r7j55,162m,97Mi,1702575349.7611408
front-end-55b89655c7-r7j55,137m,99Mi,1702575371.2717245
front-end-55b89655c7-r7j55,160m,96Mi,1702575392.8164175
front-end-55b89655c7-r7j55,144m,98Mi,1702575414.3958242
front-end-55b89655c7-r7j55,149m,95Mi,1702575436.0108476
front-end-55b89655c7-r7j55,169m,95Mi,1702575457.6980836
front-end-55b89655c7-r7j55,161m,95Mi,1702575479.3534517
front-end-55b89655c7-r7j55,168m,97Mi,1702575500.9983578
front-end-55b89655c7-r7j55,138m,96Mi,1702575522.6641886
front-end-55b89655c7-r7j55,166m,97Mi,1702575544.2443547
front-end-55b89655c7-r7j55,126m,96Mi,1702575565.9944718
front-end-55b89655c7-r7j55,183m,98Mi,1702575587.633886
front-end-55b89655c7-r7j55,163m,97Mi,1702575609.270591
front-end-55b89655c7-r7j55,159m,97Mi,1702575630.932
front-end-55b89655c7-r7j55,187m,97Mi,1702575652.591914
front-end-55b89655c7-r7j55,146m,95Mi,1702575674.3927944
front-end-55b89655c7-r7j55,172m,96Mi,1702575696.04269
front-end-55b89655c7-r7j55,202m,98Mi,1702575717.7409813
front-end-55b89655c7-r7j55,165m,98Mi,1702575739.34051
front-end-55b89655c7-r7j55,184m,97Mi,1702575761.0417464
front-end-55b89655c7-r7j55,150m,96Mi,1702575782.8410425
front-end-55b89655c7-r7j55,214m,97Mi,1702575804.6115768
front-end-55b89655c7-r7j55,160m,98Mi,1702575826.4848282
front-end-55b89655c7-r7j55,145m,99Mi,1702575848.1706176
front-end-55b89655c7-r7j55,147m,98Mi,1702575869.753191
front-end-55b89655c7-r7j55,146m,97Mi,1702575891.2243483
front-end-55b89655c7-r7j55,175m,96Mi,1702575912.6130981
front-end-55b89655c7-r7j55,118m,97Mi,1702575933.9726992
front-end-55b89655c7-r7j55,146m,97Mi,1702575955.3354437
front-end-55b89655c7-r7j55,120m,96Mi,1702575976.665514
front-end-55b89655c7-r7j55,199m,95Mi,1702575998.0756662
front-end-55b89655c7-r7j55,129m,95Mi,1702576019.4478626
front-end-55b89655c7-r7j55,164m,98Mi,1702576040.80027
front-end-55b89655c7-r7j55,148m,96Mi,1702576062.1668742
front-end-55b89655c7-r7j55,132m,97Mi,1702576083.5435112
front-end-55b89655c7-r7j55,160m,94Mi,1702576104.9452696
front-end-55b89655c7-r7j55,143m,97Mi,1702576126.3613594
front-end-55b89655c7-r7j55,159m,94Mi,1702576147.7266626
front-end-55b89655c7-r7j55,139m,98Mi,1702576169.1024487
front-end-55b89655c7-r7j55,138m,97Mi,1702576190.5160518
front-end-55b89655c7-r7j55,187m,98Mi,1702576211.9938054
front-end-55b89655c7-r7j55,150m,97Mi,1702576233.4148836
front-end-55b89655c7-r7j55,158m,96Mi,1702576254.8784685
front-end-55b89655c7-r7j55,199m,97Mi,1702576276.2706716
front-end-55b89655c7-r7j55,147m,97Mi,1702576297.678645
front-end-55b89655c7-r7j55,145m,97Mi,1702576319.1755688
front-end-55b89655c7-r7j55,137m,98Mi,1702576340.6121852
front-end-55b89655c7-r7j55,139m,96Mi,1702576362.0648463
front-end-55b89655c7-r7j55,147m,99Mi,1702576383.5116165
front-end-55b89655c7-r7j55,151m,95Mi,1702576404.9355488
front-end-55b89655c7-r7j55,149m,98Mi,1702576426.4987788
front-end-55b89655c7-r7j55,153m,98Mi,1702576447.9320033
front-end-55b89655c7-r7j55,154m,96Mi,1702576469.41019
front-end-55b89655c7-r7j55,207m,99Mi,1702576490.8520374
