POD,CPU,MEMORY,TIME
front-end-55b89655c7-xjqfb,267m,120Mi,1702563065.6450016
front-end-55b89655c7-xjqfb,236m,132Mi,1702563086.858433
front-end-55b89655c7-xjqfb,236m,128Mi,1702563108.1187882
front-end-55b89655c7-xjqfb,225m,111Mi,1702563129.2592409
front-end-55b89655c7-xjqfb,161m,108Mi,1702563150.4032583
front-end-55b89655c7-xjqfb,193m,110Mi,1702563171.5677063
front-end-55b89655c7-xjqfb,185m,107Mi,1702563192.8183913
front-end-55b89655c7-xjqfb,173m,111Mi,1702563214.0687673
front-end-55b89655c7-xjqfb,176m,111Mi,1702563235.5400088
front-end-55b89655c7-xjqfb,156m,111Mi,1702563256.7001367
front-end-55b89655c7-xjqfb,156m,110Mi,1702563277.9267116
front-end-55b89655c7-xjqfb,111m,110Mi,1702563298.7319968
front-end-55b89655c7-xjqfb,176m,108Mi,1702563319.677846
front-end-55b89655c7-xjqfb,160m,113Mi,1702563340.8329716
front-end-55b89655c7-xjqfb,166m,110Mi,1702563361.9671066
front-end-55b89655c7-xjqfb,178m,112Mi,1702563383.1738203
front-end-55b89655c7-xjqfb,179m,107Mi,1702563404.2681804
front-end-55b89655c7-xjqfb,185m,110Mi,1702563425.3564422
front-end-55b89655c7-xjqfb,198m,110Mi,1702563446.489464
front-end-55b89655c7-xjqfb,193m,110Mi,1702563467.5945785
front-end-55b89655c7-xjqfb,220m,107Mi,1702563488.7696645
front-end-55b89655c7-xjqfb,217m,107Mi,1702563509.868902
front-end-55b89655c7-xjqfb,182m,112Mi,1702563530.9893963
front-end-55b89655c7-xjqfb,249m,109Mi,1702563552.0857131
front-end-55b89655c7-xjqfb,221m,112Mi,1702563573.2307775
front-end-55b89655c7-xjqfb,230m,111Mi,1702563594.6236317
front-end-55b89655c7-xjqfb,185m,114Mi,1702563615.9617503
front-end-55b89655c7-xjqfb,185m,114Mi,1702563637.3006997
front-end-55b89655c7-xjqfb,140m,107Mi,1702563658.661196
front-end-55b89655c7-xjqfb,165m,109Mi,1702563680.0321467
front-end-55b89655c7-xjqfb,145m,107Mi,1702563701.4806879
front-end-55b89655c7-xjqfb,132m,109Mi,1702563722.8662596
front-end-55b89655c7-xjqfb,135m,110Mi,1702563744.2459548
front-end-55b89655c7-xjqfb,152m,110Mi,1702563765.6379323
front-end-55b89655c7-xjqfb,126m,106Mi,1702563787.0409927
front-end-55b89655c7-xjqfb,149m,107Mi,1702563808.4912043
front-end-55b89655c7-xjqfb,136m,107Mi,1702563829.8861623
front-end-55b89655c7-xjqfb,161m,107Mi,1702563851.2911067
front-end-55b89655c7-xjqfb,122m,109Mi,1702563872.6888208
front-end-55b89655c7-xjqfb,149m,109Mi,1702563894.1130102
front-end-55b89655c7-xjqfb,144m,110Mi,1702563915.6060462
front-end-55b89655c7-xjqfb,144m,110Mi,1702563937.0445874
front-end-55b89655c7-xjqfb,158m,107Mi,1702563958.4586475
front-end-55b89655c7-xjqfb,148m,108Mi,1702563979.8710964
front-end-55b89655c7-xjqfb,161m,106Mi,1702564001.2637248
front-end-55b89655c7-xjqfb,143m,107Mi,1702564022.796757
front-end-55b89655c7-xjqfb,178m,109Mi,1702564044.211829
front-end-55b89655c7-xjqfb,139m,109Mi,1702564065.6580865
front-end-55b89655c7-xjqfb,166m,108Mi,1702564087.064732
