POD,CPU,MEMORY,TIME
front-end-55b89655c7-7f462,82m,79Mi,1702348112.608165
front-end-55b89655c7-7f462,129m,101Mi,1702348133.9965394
front-end-55b89655c7-7f462,139m,104Mi,1702348155.3248458
front-end-55b89655c7-7f462,119m,104Mi,1702348176.6791027
front-end-55b89655c7-7f462,172m,102Mi,1702348198.1313033
front-end-55b89655c7-7f462,120m,101Mi,1702348219.4830244
front-end-55b89655c7-7f462,120m,101Mi,1702348240.8651578
front-end-55b89655c7-7f462,146m,102Mi,1702348262.2368352
front-end-55b89655c7-7f462,132m,102Mi,1702348283.6322343
front-end-55b89655c7-7f462,149m,102Mi,1702348305.0935173
front-end-55b89655c7-7f462,125m,99Mi,1702348326.4725456
front-end-55b89655c7-7f462,130m,102Mi,1702348347.8690653
front-end-55b89655c7-7f462,124m,101Mi,1702348369.2380447
front-end-55b89655c7-7f462,131m,101Mi,1702348390.6300614
front-end-55b89655c7-7f462,116m,102Mi,1702348412.09459
front-end-55b89655c7-7f462,159m,103Mi,1702348433.4820511
front-end-55b89655c7-7f462,131m,103Mi,1702348454.8687785
front-end-55b89655c7-7f462,138m,100Mi,1702348476.2322001
front-end-55b89655c7-7f462,152m,103Mi,1702348497.562124
front-end-55b89655c7-7f462,131m,105Mi,1702348518.9937158
front-end-55b89655c7-7f462,135m,102Mi,1702348540.3013642
front-end-55b89655c7-7f462,133m,103Mi,1702348561.593575
front-end-55b89655c7-7f462,133m,102Mi,1702348582.875877
front-end-55b89655c7-7f462,119m,105Mi,1702348604.1789846
front-end-55b89655c7-7f462,113m,104Mi,1702348625.5293322
front-end-55b89655c7-7f462,150m,101Mi,1702348646.8593442
front-end-55b89655c7-7f462,125m,103Mi,1702348668.1926873
front-end-55b89655c7-7f462,142m,102Mi,1702348689.5334415
front-end-55b89655c7-7f462,149m,101Mi,1702348710.932509
front-end-55b89655c7-7f462,149m,101Mi,1702348732.3632562
front-end-55b89655c7-7f462,125m,101Mi,1702348753.7195604
front-end-55b89655c7-7f462,149m,100Mi,1702348775.071486
front-end-55b89655c7-7f462,109m,102Mi,1702348796.4272647
front-end-55b89655c7-7f462,145m,101Mi,1702348817.77103
front-end-55b89655c7-7f462,145m,101Mi,1702348839.214234
front-end-55b89655c7-7f462,119m,103Mi,1702348860.5763056
front-end-55b89655c7-7f462,158m,103Mi,1702348881.9331207
front-end-55b89655c7-7f462,123m,101Mi,1702348903.2669358
front-end-55b89655c7-7f462,165m,105Mi,1702348924.6454244
front-end-55b89655c7-7f462,119m,102Mi,1702348946.1098115
front-end-55b89655c7-7f462,133m,103Mi,1702348967.4965386
front-end-55b89655c7-7f462,127m,103Mi,1702348988.862931
