POD,CPU,MEMORY,TIME
front-end-55b89655c7-7jsbk,21m,62Mi,1702339966.826911
front-end-55b89655c7-7jsbk,74m,78Mi,1702339988.2214973
front-end-55b89655c7-7jsbk,111m,99Mi,1702340009.6081424
front-end-55b89655c7-7jsbk,134m,98Mi,1702340030.9708512
front-end-55b89655c7-7jsbk,144m,100Mi,1702340052.339021
front-end-55b89655c7-7jsbk,141m,101Mi,1702340073.8026621
front-end-55b89655c7-7jsbk,124m,102Mi,1702340095.1703167
front-end-55b89655c7-7jsbk,133m,100Mi,1702340116.5458434
front-end-55b89655c7-7jsbk,114m,100Mi,1702340137.9144216
front-end-55b89655c7-7jsbk,128m,103Mi,1702340159.2854471
front-end-55b89655c7-7jsbk,109m,101Mi,1702340180.7512078
front-end-55b89655c7-7jsbk,125m,101Mi,1702340202.0988793
front-end-55b89655c7-7jsbk,104m,101Mi,1702340223.4973469
front-end-55b89655c7-7jsbk,165m,102Mi,1702340244.8642929
front-end-55b89655c7-7jsbk,129m,103Mi,1702340266.2581553
front-end-55b89655c7-7jsbk,134m,100Mi,1702340287.7219667
front-end-55b89655c7-7jsbk,126m,104Mi,1702340309.1149323
front-end-55b89655c7-7jsbk,144m,100Mi,1702340330.4525478
front-end-55b89655c7-7jsbk,143m,102Mi,1702340351.7797115
front-end-55b89655c7-7jsbk,128m,100Mi,1702340373.1125977
front-end-55b89655c7-7jsbk,161m,102Mi,1702340394.501695
front-end-55b89655c7-7jsbk,131m,104Mi,1702340415.837055
front-end-55b89655c7-7jsbk,116m,103Mi,1702340437.1554291
front-end-55b89655c7-7jsbk,141m,100Mi,1702340458.480707
front-end-55b89655c7-7jsbk,125m,102Mi,1702340479.822872
front-end-55b89655c7-7jsbk,125m,102Mi,1702340501.2257836
front-end-55b89655c7-7jsbk,119m,101Mi,1702340522.5601416
front-end-55b89655c7-7jsbk,136m,102Mi,1702340543.9270885
front-end-55b89655c7-7jsbk,132m,103Mi,1702340565.2657335
front-end-55b89655c7-7jsbk,145m,102Mi,1702340586.6804235
front-end-55b89655c7-7jsbk,119m,104Mi,1702340608.1483634
front-end-55b89655c7-7jsbk,162m,103Mi,1702340629.5277004
front-end-55b89655c7-7jsbk,162m,103Mi,1702340650.9028444
front-end-55b89655c7-7jsbk,164m,104Mi,1702340672.2338014
front-end-55b89655c7-7jsbk,135m,104Mi,1702340693.6305149
front-end-55b89655c7-7jsbk,127m,104Mi,1702340715.1004224
front-end-55b89655c7-7jsbk,136m,101Mi,1702340736.4605803
front-end-55b89655c7-7jsbk,159m,100Mi,1702340757.8356051
front-end-55b89655c7-7jsbk,169m,102Mi,1702340779.222494
front-end-55b89655c7-7jsbk,133m,104Mi,1702340800.6298609
front-end-55b89655c7-7jsbk,138m,101Mi,1702340822.1078937
front-end-55b89655c7-7jsbk,175m,102Mi,1702340843.5135746
front-end-55b89655c7-7jsbk,179m,103Mi,1702340864.8998013
front-end-55b89655c7-7jsbk,130m,103Mi,1702340886.2597196
front-end-55b89655c7-7jsbk,158m,106Mi,1702340907.6110404
front-end-55b89655c7-7jsbk,143m,104Mi,1702340929.0546045
front-end-55b89655c7-7jsbk,143m,102Mi,1702340950.4592845
front-end-55b89655c7-7jsbk,168m,103Mi,1702340971.8580415
front-end-55b89655c7-7jsbk,136m,102Mi,1702340993.2162833
front-end-55b89655c7-7jsbk,135m,101Mi,1702341014.5898683
front-end-55b89655c7-7jsbk,160m,104Mi,1702341036.0457423
front-end-55b89655c7-7jsbk,136m,102Mi,1702341057.4196875
front-end-55b89655c7-7jsbk,129m,103Mi,1702341078.8208933
front-end-55b89655c7-7jsbk,168m,103Mi,1702341100.212697
front-end-55b89655c7-7jsbk,146m,102Mi,1702341121.5615854
front-end-55b89655c7-7jsbk,163m,103Mi,1702341143.0189033
front-end-55b89655c7-7jsbk,174m,102Mi,1702341164.4094326
front-end-55b89655c7-7jsbk,136m,104Mi,1702341185.8469198
front-end-55b89655c7-7jsbk,155m,104Mi,1702341207.2367063
front-end-55b89655c7-7jsbk,147m,104Mi,1702341228.6338313
front-end-55b89655c7-7jsbk,169m,104Mi,1702341250.1459908
front-end-55b89655c7-7jsbk,146m,102Mi,1702341271.5453522
front-end-55b89655c7-7jsbk,151m,106Mi,1702341292.9312797
front-end-55b89655c7-7jsbk,140m,104Mi,1702341314.336997
front-end-55b89655c7-7jsbk,145m,105Mi,1702341335.7357368
front-end-55b89655c7-7jsbk,173m,103Mi,1702341357.1972399
front-end-55b89655c7-7jsbk,179m,103Mi,1702341378.5996494
front-end-55b89655c7-7jsbk,141m,102Mi,1702341400.0149913
front-end-55b89655c7-7jsbk,152m,101Mi,1702341421.4166315
front-end-55b89655c7-7jsbk,157m,104Mi,1702341442.775058
front-end-55b89655c7-7jsbk,128m,105Mi,1702341464.2006435
front-end-55b89655c7-7jsbk,147m,105Mi,1702341485.5195627
front-end-55b89655c7-7jsbk,189m,101Mi,1702341506.8591342
front-end-55b89655c7-7jsbk,147m,104Mi,1702341528.1661274
front-end-55b89655c7-7jsbk,146m,104Mi,1702341549.4734502
front-end-55b89655c7-7jsbk,156m,103Mi,1702341570.8725483
front-end-55b89655c7-7jsbk,136m,105Mi,1702341592.1720512
front-end-55b89655c7-7jsbk,136m,105Mi,1702341613.4679747
front-end-55b89655c7-7jsbk,132m,103Mi,1702341634.791518
front-end-55b89655c7-7jsbk,143m,102Mi,1702341656.1143355
front-end-55b89655c7-7jsbk,158m,102Mi,1702341677.530968
front-end-55b89655c7-7jsbk,145m,102Mi,1702341698.8808079
front-end-55b89655c7-7jsbk,159m,104Mi,1702341720.2290642
front-end-55b89655c7-7jsbk,154m,102Mi,1702341741.6148207
front-end-55b89655c7-7jsbk,123m,104Mi,1702341762.9930806
front-end-55b89655c7-7jsbk,117m,101Mi,1702341784.4261625
front-end-55b89655c7-7jsbk,140m,103Mi,1702341805.8471396
front-end-55b89655c7-7jsbk,140m,102Mi,1702341827.2116673
front-end-55b89655c7-7jsbk,126m,101Mi,1702341848.6026082
front-end-55b89655c7-7jsbk,162m,102Mi,1702341870.0000327
front-end-55b89655c7-7jsbk,154m,102Mi,1702341891.4655147
front-end-55b89655c7-7jsbk,133m,104Mi,1702341912.8309488
front-end-55b89655c7-7jsbk,152m,103Mi,1702341934.2278736
front-end-55b89655c7-7jsbk,140m,100Mi,1702341955.6262693
front-end-55b89655c7-7jsbk,150m,104Mi,1702341977.0338473
front-end-55b89655c7-7jsbk,144m,106Mi,1702341998.5178013
front-end-55b89655c7-7jsbk,162m,103Mi,1702342019.9058688
front-end-55b89655c7-7jsbk,141m,102Mi,1702342041.2649412
front-end-55b89655c7-7jsbk,149m,105Mi,1702342062.6381347
front-end-55b89655c7-7jsbk,133m,104Mi,1702342084.0485451
front-end-55b89655c7-7jsbk,163m,102Mi,1702342105.5250132
front-end-55b89655c7-7jsbk,147m,104Mi,1702342126.9018886
front-end-55b89655c7-7jsbk,160m,103Mi,1702342148.2577543
front-end-55b89655c7-7jsbk,129m,101Mi,1702342169.6332223
front-end-55b89655c7-7jsbk,167m,103Mi,1702342191.0210965
front-end-55b89655c7-7jsbk,147m,103Mi,1702342212.468506
front-end-55b89655c7-7jsbk,137m,100Mi,1702342233.8550518
front-end-55b89655c7-7jsbk,168m,103Mi,1702342255.2363808
