POD,CPU,MEMORY,TIME
front-end-55b89655c7-bz87z,1m,71Mi,1702350764.6710474
front-end-55b89655c7-bz87z,38m,72Mi,1702350786.031108
front-end-55b89655c7-bz87z,38m,72Mi,1702350807.3748846
front-end-55b89655c7-bz87z,150m,115Mi,1702350828.7812853
front-end-55b89655c7-bz87z,130m,122Mi,1702350850.229717
front-end-55b89655c7-bz87z,117m,135Mi,1702350871.633739
front-end-55b89655c7-bz87z,133m,140Mi,1702350893.08988
front-end-55b89655c7-bz87z,116m,120Mi,1702350914.4251063
front-end-55b89655c7-bz87z,130m,113Mi,1702350935.8124192
front-end-55b89655c7-bz87z,129m,107Mi,1702350957.2944956
front-end-55b89655c7-bz87z,143m,105Mi,1702350978.6747582
front-end-55b89655c7-bz87z,106m,105Mi,1702351000.0988503
front-end-55b89655c7-bz87z,112m,107Mi,1702351021.468692
front-end-55b89655c7-bz87z,149m,107Mi,1702351042.821148
front-end-55b89655c7-bz87z,134m,105Mi,1702351064.270849
front-end-55b89655c7-bz87z,134m,105Mi,1702351085.6479843
front-end-55b89655c7-bz87z,120m,108Mi,1702351106.956377
front-end-55b89655c7-bz87z,126m,106Mi,1702351128.2684858
front-end-55b89655c7-bz87z,121m,108Mi,1702351149.5731127
front-end-55b89655c7-bz87z,112m,105Mi,1702351170.9591446
front-end-55b89655c7-bz87z,148m,104Mi,1702351192.267408
front-end-55b89655c7-bz87z,148m,104Mi,1702351213.5997972
front-end-55b89655c7-bz87z,151m,107Mi,1702351234.9312122
front-end-55b89655c7-bz87z,119m,109Mi,1702351256.2947814
front-end-55b89655c7-bz87z,138m,107Mi,1702351277.745521
front-end-55b89655c7-bz87z,157m,108Mi,1702351299.0897093
front-end-55b89655c7-bz87z,129m,104Mi,1702351320.4611416
front-end-55b89655c7-bz87z,125m,105Mi,1702351341.836804
front-end-55b89655c7-bz87z,141m,105Mi,1702351363.208149
front-end-55b89655c7-bz87z,164m,107Mi,1702351384.6876738
front-end-55b89655c7-bz87z,120m,106Mi,1702351406.069986
front-end-55b89655c7-bz87z,127m,105Mi,1702351427.508961
front-end-55b89655c7-bz87z,130m,108Mi,1702351448.910528
front-end-55b89655c7-bz87z,143m,108Mi,1702351470.3124158
front-end-55b89655c7-bz87z,109m,106Mi,1702351491.7626326
front-end-55b89655c7-bz87z,133m,108Mi,1702351513.1336792
front-end-55b89655c7-bz87z,144m,107Mi,1702351534.5188847
front-end-55b89655c7-bz87z,111m,105Mi,1702351555.9201212
front-end-55b89655c7-bz87z,150m,104Mi,1702351577.2860112
front-end-55b89655c7-bz87z,118m,107Mi,1702351598.7560878
front-end-55b89655c7-bz87z,144m,108Mi,1702351620.125775
front-end-55b89655c7-bz87z,167m,108Mi,1702351641.5359247
front-end-55b89655c7-bz87z,127m,107Mi,1702351662.9335086
front-end-55b89655c7-bz87z,153m,106Mi,1702351684.3377435
front-end-55b89655c7-bz87z,139m,106Mi,1702351705.876927
front-end-55b89655c7-bz87z,149m,104Mi,1702351727.2929938
front-end-55b89655c7-bz87z,155m,106Mi,1702351748.6484413
front-end-55b89655c7-bz87z,150m,105Mi,1702351769.995656
front-end-55b89655c7-bz87z,144m,106Mi,1702351791.3953671
front-end-55b89655c7-bz87z,167m,106Mi,1702351812.8555753
front-end-55b89655c7-bz87z,132m,106Mi,1702351834.2499597
front-end-55b89655c7-bz87z,145m,107Mi,1702351855.6552
front-end-55b89655c7-bz87z,151m,107Mi,1702351877.0329819
front-end-55b89655c7-bz87z,151m,107Mi,1702351898.4479356
front-end-55b89655c7-bz87z,151m,107Mi,1702351919.9539602
front-end-55b89655c7-bz87z,173m,105Mi,1702351941.367091
front-end-55b89655c7-bz87z,136m,106Mi,1702351962.8006723
front-end-55b89655c7-bz87z,154m,107Mi,1702351984.2009902
front-end-55b89655c7-bz87z,175m,107Mi,1702352005.6470604
front-end-55b89655c7-bz87z,134m,106Mi,1702352027.139395
front-end-55b89655c7-bz87z,154m,108Mi,1702352048.5376365
front-end-55b89655c7-bz87z,150m,107Mi,1702352069.9604561
front-end-55b89655c7-bz87z,150m,107Mi,1702352091.3491023
front-end-55b89655c7-bz87z,158m,107Mi,1702352112.760781
front-end-55b89655c7-bz87z,163m,109Mi,1702352134.2474535
front-end-55b89655c7-bz87z,152m,106Mi,1702352155.6931405
front-end-55b89655c7-bz87z,162m,106Mi,1702352177.1115255
front-end-55b89655c7-bz87z,162m,106Mi,1702352198.5116763
front-end-55b89655c7-bz87z,145m,107Mi,1702352219.8912735
front-end-55b89655c7-bz87z,153m,107Mi,1702352241.3435686
front-end-55b89655c7-bz87z,162m,107Mi,1702352262.664032
front-end-55b89655c7-bz87z,147m,107Mi,1702352283.9970906
front-end-55b89655c7-bz87z,185m,105Mi,1702352305.3425736
front-end-55b89655c7-bz87z,148m,108Mi,1702352326.6510165
front-end-55b89655c7-bz87z,166m,108Mi,1702352348.0310633
front-end-55b89655c7-bz87z,166m,106Mi,1702352369.3342679
front-end-55b89655c7-bz87z,153m,107Mi,1702352390.673468
