POD,CPU,MEMORY,TIME
front-end-55b89655c7-t55s6,54m,70Mi,1702355339.016755
front-end-55b89655c7-t55s6,1m,70Mi,1702355360.4062383
front-end-55b89655c7-t55s6,68m,80Mi,1702355381.8791
front-end-55b89655c7-t55s6,175m,117Mi,1702355403.3051248
front-end-55b89655c7-t55s6,179m,127Mi,1702355424.7376947
front-end-55b89655c7-t55s6,155m,139Mi,1702355446.2364328
front-end-55b89655c7-t55s6,209m,108Mi,1702355467.6300812
front-end-55b89655c7-t55s6,162m,104Mi,1702355489.0385058
front-end-55b89655c7-t55s6,192m,105Mi,1702355510.4320512
front-end-55b89655c7-t55s6,127m,105Mi,1702355531.8285627
front-end-55b89655c7-t55s6,158m,106Mi,1702355553.322231
front-end-55b89655c7-t55s6,151m,106Mi,1702355574.6738358
front-end-55b89655c7-t55s6,134m,105Mi,1702355596.0526235
front-end-55b89655c7-t55s6,166m,107Mi,1702355617.4402153
front-end-55b89655c7-t55s6,148m,107Mi,1702355638.8410926
front-end-55b89655c7-t55s6,154m,105Mi,1702355660.348073
front-end-55b89655c7-t55s6,154m,105Mi,1702355681.7740722
front-end-55b89655c7-t55s6,155m,106Mi,1702355703.213468
front-end-55b89655c7-t55s6,174m,107Mi,1702355724.5690835
front-end-55b89655c7-t55s6,151m,105Mi,1702355745.983189
front-end-55b89655c7-t55s6,188m,108Mi,1702355767.4312437
front-end-55b89655c7-t55s6,133m,107Mi,1702355788.8382928
front-end-55b89655c7-t55s6,163m,107Mi,1702355810.2413013
front-end-55b89655c7-t55s6,153m,105Mi,1702355831.6245704
front-end-55b89655c7-t55s6,151m,105Mi,1702355852.9918025
front-end-55b89655c7-t55s6,192m,105Mi,1702355874.4383297
front-end-55b89655c7-t55s6,158m,107Mi,1702355895.8226128
front-end-55b89655c7-t55s6,127m,109Mi,1702355917.2230568
front-end-55b89655c7-t55s6,191m,105Mi,1702355938.570674
front-end-55b89655c7-t55s6,180m,106Mi,1702355959.8923182
front-end-55b89655c7-t55s6,160m,106Mi,1702355981.3322737
front-end-55b89655c7-t55s6,145m,107Mi,1702356002.6440897
front-end-55b89655c7-t55s6,147m,107Mi,1702356023.9337068
front-end-55b89655c7-t55s6,149m,108Mi,1702356045.2371275
front-end-55b89655c7-t55s6,149m,108Mi,1702356066.5380936
front-end-55b89655c7-t55s6,149m,108Mi,1702356087.8875864
front-end-55b89655c7-t55s6,160m,106Mi,1702356109.195795
front-end-55b89655c7-t55s6,160m,106Mi,1702356130.4773896
front-end-55b89655c7-t55s6,161m,105Mi,1702356151.812716
front-end-55b89655c7-t55s6,161m,105Mi,1702356173.1043375
front-end-55b89655c7-t55s6,144m,105Mi,1702356194.5160227
front-end-55b89655c7-t55s6,135m,105Mi,1702356215.8448727
front-end-55b89655c7-t55s6,156m,106Mi,1702356237.1763468
