POD,CPU,MEMORY,TIME
front-end-55b89655c7-57n46,177m,107Mi,1702363159.916653
front-end-55b89655c7-57n46,131m,115Mi,1702363181.341345
front-end-55b89655c7-57n46,126m,127Mi,1702363202.725534
front-end-55b89655c7-57n46,139m,133Mi,1702363224.1316814
front-end-55b89655c7-57n46,143m,110Mi,1702363245.5106997
front-end-55b89655c7-57n46,178m,104Mi,1702363266.8823214
front-end-55b89655c7-57n46,153m,107Mi,1702363288.3885472
front-end-55b89655c7-57n46,167m,103Mi,1702363309.76339
front-end-55b89655c7-57n46,134m,104Mi,1702363331.2019181
front-end-55b89655c7-57n46,135m,105Mi,1702363352.6223352
front-end-55b89655c7-57n46,132m,104Mi,1702363374.0188074
front-end-55b89655c7-57n46,155m,106Mi,1702363395.4930732
front-end-55b89655c7-57n46,149m,105Mi,1702363416.9168231
front-end-55b89655c7-57n46,155m,106Mi,1702363438.3046784
front-end-55b89655c7-57n46,177m,105Mi,1702363459.7334335
front-end-55b89655c7-57n46,124m,104Mi,1702363481.1339898
front-end-55b89655c7-57n46,148m,106Mi,1702363502.655311
front-end-55b89655c7-57n46,175m,105Mi,1702363524.052248
front-end-55b89655c7-57n46,146m,105Mi,1702363545.4571297
front-end-55b89655c7-57n46,166m,105Mi,1702363566.8476152
front-end-55b89655c7-57n46,148m,104Mi,1702363588.2159753
front-end-55b89655c7-57n46,148m,105Mi,1702363609.693665
front-end-55b89655c7-57n46,170m,103Mi,1702363631.1190615
front-end-55b89655c7-57n46,135m,105Mi,1702363652.5303087
front-end-55b89655c7-57n46,171m,108Mi,1702363673.9240673
front-end-55b89655c7-57n46,125m,106Mi,1702363695.3076854
front-end-55b89655c7-57n46,172m,105Mi,1702363716.7948139
front-end-55b89655c7-57n46,157m,107Mi,1702363738.2006812
front-end-55b89655c7-57n46,139m,105Mi,1702363759.6227767
front-end-55b89655c7-57n46,168m,108Mi,1702363781.043825
front-end-55b89655c7-57n46,124m,109Mi,1702363802.4846344
front-end-55b89655c7-57n46,149m,106Mi,1702363823.975853
front-end-55b89655c7-57n46,137m,108Mi,1702363845.3515704
front-end-55b89655c7-57n46,155m,106Mi,1702363866.7501428
front-end-55b89655c7-57n46,155m,106Mi,1702363888.163687
front-end-55b89655c7-57n46,155m,105Mi,1702363909.5973768
front-end-55b89655c7-57n46,153m,104Mi,1702363931.0638282
front-end-55b89655c7-57n46,155m,104Mi,1702363952.4528878
front-end-55b89655c7-57n46,152m,106Mi,1702363973.7681973
front-end-55b89655c7-57n46,147m,104Mi,1702363995.0953424
front-end-55b89655c7-57n46,168m,105Mi,1702364016.4163373
front-end-55b89655c7-57n46,154m,107Mi,1702364037.794081
front-end-55b89655c7-57n46,150m,106Mi,1702364059.1007686
front-end-55b89655c7-57n46,155m,107Mi,1702364080.40735
front-end-55b89655c7-57n46,139m,107Mi,1702364101.7112603
front-end-55b89655c7-57n46,149m,105Mi,1702364123.0302458
front-end-55b89655c7-57n46,159m,106Mi,1702364144.4415874
front-end-55b89655c7-57n46,140m,104Mi,1702364165.7779703
front-end-55b89655c7-57n46,159m,104Mi,1702364187.1233733
front-end-55b89655c7-57n46,180m,105Mi,1702364208.4801366
front-end-55b89655c7-57n46,137m,106Mi,1702364229.8115973
front-end-55b89655c7-57n46,162m,105Mi,1702364251.2518344
front-end-55b89655c7-57n46,144m,106Mi,1702364272.6281047
front-end-55b89655c7-57n46,136m,105Mi,1702364293.989838
front-end-55b89655c7-57n46,158m,104Mi,1702364315.3825345
front-end-55b89655c7-57n46,142m,106Mi,1702364336.7740443
front-end-55b89655c7-57n46,142m,105Mi,1702364358.2486181
front-end-55b89655c7-57n46,137m,106Mi,1702364379.6539109
front-end-55b89655c7-57n46,162m,108Mi,1702364401.0611372
front-end-55b89655c7-57n46,136m,104Mi,1702364422.4606135
front-end-55b89655c7-57n46,151m,104Mi,1702364443.8574028
front-end-55b89655c7-57n46,147m,106Mi,1702364465.372894
front-end-55b89655c7-57n46,137m,104Mi,1702364486.798484
front-end-55b89655c7-57n46,166m,105Mi,1702364508.2015553
front-end-55b89655c7-57n46,147m,106Mi,1702364529.6478794
front-end-55b89655c7-57n46,173m,103Mi,1702364551.0604153
