POD,CPU,MEMORY,TIME
front-end-55b89655c7-zv8ws,1m,70Mi,1702361452.1694384
front-end-55b89655c7-zv8ws,1m,70Mi,1702361473.5779924
front-end-55b89655c7-zv8ws,135m,109Mi,1702361494.9193041
front-end-55b89655c7-zv8ws,135m,109Mi,1702361516.3036401
front-end-55b89655c7-zv8ws,136m,131Mi,1702361537.609345
front-end-55b89655c7-zv8ws,127m,138Mi,1702361558.9804866
front-end-55b89655c7-zv8ws,139m,138Mi,1702361580.4462142
front-end-55b89655c7-zv8ws,120m,105Mi,1702361601.823247
front-end-55b89655c7-zv8ws,126m,106Mi,1702361623.2275295
front-end-55b89655c7-zv8ws,126m,104Mi,1702361644.5783815
front-end-55b89655c7-zv8ws,122m,105Mi,1702361665.985882
front-end-55b89655c7-zv8ws,156m,107Mi,1702361687.459392
front-end-55b89655c7-zv8ws,156m,107Mi,1702361708.851951
front-end-55b89655c7-zv8ws,129m,104Mi,1702361730.2256048
front-end-55b89655c7-zv8ws,121m,105Mi,1702361751.557453
front-end-55b89655c7-zv8ws,141m,105Mi,1702361772.9744437
front-end-55b89655c7-zv8ws,133m,106Mi,1702361794.4347732
front-end-55b89655c7-zv8ws,145m,105Mi,1702361815.8270717
front-end-55b89655c7-zv8ws,153m,105Mi,1702361837.2108493
front-end-55b89655c7-zv8ws,144m,106Mi,1702361858.6151304
front-end-55b89655c7-zv8ws,132m,106Mi,1702361880.0150912
front-end-55b89655c7-zv8ws,136m,106Mi,1702361901.5293968
front-end-55b89655c7-zv8ws,141m,105Mi,1702361922.933456
front-end-55b89655c7-zv8ws,165m,106Mi,1702361944.3116584
front-end-55b89655c7-zv8ws,117m,105Mi,1702361968.0614629
front-end-55b89655c7-zv8ws,134m,107Mi,1702361989.4400346
front-end-55b89655c7-zv8ws,139m,105Mi,1702362010.9347456
front-end-55b89655c7-zv8ws,154m,105Mi,1702362032.339973
front-end-55b89655c7-zv8ws,139m,106Mi,1702362053.735814
front-end-55b89655c7-zv8ws,138m,105Mi,1702362075.1008003
front-end-55b89655c7-zv8ws,141m,106Mi,1702362096.499562
front-end-55b89655c7-zv8ws,162m,106Mi,1702362118.0274734
front-end-55b89655c7-zv8ws,142m,106Mi,1702362139.4116518
front-end-55b89655c7-zv8ws,140m,104Mi,1702362160.8220644
front-end-55b89655c7-zv8ws,148m,105Mi,1702362182.215954
front-end-55b89655c7-zv8ws,155m,106Mi,1702362203.6339307
front-end-55b89655c7-zv8ws,146m,107Mi,1702362225.1150286
front-end-55b89655c7-zv8ws,159m,105Mi,1702362246.5154784
front-end-55b89655c7-zv8ws,170m,106Mi,1702362267.9318295
front-end-55b89655c7-zv8ws,138m,104Mi,1702362289.3091676
front-end-55b89655c7-zv8ws,140m,105Mi,1702362310.6991456
front-end-55b89655c7-zv8ws,159m,106Mi,1702362332.1730816
front-end-55b89655c7-zv8ws,165m,106Mi,1702362353.6040747
front-end-55b89655c7-zv8ws,159m,108Mi,1702362375.0419638
front-end-55b89655c7-zv8ws,128m,106Mi,1702362396.4320614
front-end-55b89655c7-zv8ws,160m,106Mi,1702362417.7578747
front-end-55b89655c7-zv8ws,166m,107Mi,1702362439.1783836
front-end-55b89655c7-zv8ws,173m,106Mi,1702362460.5013185
front-end-55b89655c7-zv8ws,135m,106Mi,1702362481.8059149
front-end-55b89655c7-zv8ws,158m,109Mi,1702362503.11977
front-end-55b89655c7-zv8ws,137m,107Mi,1702362524.4456894
front-end-55b89655c7-zv8ws,135m,107Mi,1702362545.8009894
front-end-55b89655c7-zv8ws,180m,107Mi,1702362567.1493475
front-end-55b89655c7-zv8ws,163m,105Mi,1702362588.4784286
front-end-55b89655c7-zv8ws,126m,107Mi,1702362609.8020036
front-end-55b89655c7-zv8ws,115m,106Mi,1702362652.1978054
front-end-55b89655c7-zv8ws,134m,106Mi,1702362673.5470963
