POD,CPU,MEMORY,TIME
front-end-55b89655c7-9p2xl,34m,67Mi,1702429194.124141
front-end-55b89655c7-9p2xl,169m,99Mi,1702429215.6865628
front-end-55b89655c7-9p2xl,154m,107Mi,1702429237.2145085
front-end-55b89655c7-9p2xl,145m,113Mi,1702429258.746021
front-end-55b89655c7-9p2xl,167m,130Mi,1702429280.3510242
front-end-55b89655c7-9p2xl,151m,133Mi,1702429301.8929603
front-end-55b89655c7-9p2xl,152m,107Mi,1702429323.4270005
front-end-55b89655c7-9p2xl,152m,102Mi,1702429344.928336
front-end-55b89655c7-9p2xl,170m,100Mi,1702429366.4368382
front-end-55b89655c7-9p2xl,148m,101Mi,1702429387.9693706
front-end-55b89655c7-9p2xl,152m,103Mi,1702429409.5200422
front-end-55b89655c7-9p2xl,184m,103Mi,1702429430.8897877
front-end-55b89655c7-9p2xl,162m,102Mi,1702429452.4025116
front-end-55b89655c7-9p2xl,149m,102Mi,1702429473.8385985
front-end-55b89655c7-9p2xl,168m,103Mi,1702429495.4902942
front-end-55b89655c7-9p2xl,161m,102Mi,1702429516.904698
front-end-55b89655c7-9p2xl,162m,103Mi,1702429538.4062445
front-end-55b89655c7-9p2xl,182m,105Mi,1702429559.7815113
front-end-55b89655c7-9p2xl,182m,105Mi,1702429581.2320275
front-end-55b89655c7-9p2xl,155m,104Mi,1702429602.632763
front-end-55b89655c7-9p2xl,166m,101Mi,1702429624.0659115
front-end-55b89655c7-9p2xl,169m,103Mi,1702429645.3851898
front-end-55b89655c7-9p2xl,157m,104Mi,1702429666.8229797
front-end-55b89655c7-9p2xl,145m,103Mi,1702429688.1344614
front-end-55b89655c7-9p2xl,194m,103Mi,1702429709.6515834
front-end-55b89655c7-9p2xl,144m,103Mi,1702429730.9941514
front-end-55b89655c7-9p2xl,161m,102Mi,1702429752.4565454
front-end-55b89655c7-9p2xl,154m,103Mi,1702429773.8358297
front-end-55b89655c7-9p2xl,175m,102Mi,1702429795.3113708
front-end-55b89655c7-9p2xl,137m,102Mi,1702429816.7712588
front-end-55b89655c7-9p2xl,138m,102Mi,1702429838.2241142
front-end-55b89655c7-9p2xl,150m,104Mi,1702429859.6139958
front-end-55b89655c7-9p2xl,142m,100Mi,1702429881.1067812
front-end-55b89655c7-9p2xl,131m,101Mi,1702429902.5053806
front-end-55b89655c7-9p2xl,142m,101Mi,1702429924.1220856
front-end-55b89655c7-9p2xl,118m,103Mi,1702429945.5133796
front-end-55b89655c7-9p2xl,151m,101Mi,1702429967.0065382
front-end-55b89655c7-9p2xl,129m,102Mi,1702429988.373823
front-end-55b89655c7-9p2xl,135m,103Mi,1702430009.8595414
front-end-55b89655c7-9p2xl,135m,103Mi,1702430031.379103
front-end-55b89655c7-9p2xl,157m,102Mi,1702430052.9056919
front-end-55b89655c7-9p2xl,145m,105Mi,1702430074.305855
front-end-55b89655c7-9p2xl,129m,102Mi,1702430095.870152
front-end-55b89655c7-9p2xl,165m,101Mi,1702430117.2776294
front-end-55b89655c7-9p2xl,153m,101Mi,1702430138.86427
front-end-55b89655c7-9p2xl,173m,102Mi,1702430160.2661905
front-end-55b89655c7-9p2xl,168m,104Mi,1702430181.8078666
front-end-55b89655c7-9p2xl,161m,105Mi,1702430203.2392473
front-end-55b89655c7-9p2xl,202m,106Mi,1702430224.745746
front-end-55b89655c7-9p2xl,144m,104Mi,1702430246.2318997
front-end-55b89655c7-9p2xl,201m,104Mi,1702430267.7485797
front-end-55b89655c7-9p2xl,159m,100Mi,1702430289.440251
front-end-55b89655c7-9p2xl,167m,103Mi,1702430311.2996044
front-end-55b89655c7-9p2xl,182m,102Mi,1702430332.7200956
front-end-55b89655c7-9p2xl,201m,102Mi,1702430354.3169742
front-end-55b89655c7-9p2xl,168m,102Mi,1702430375.7840946
front-end-55b89655c7-9p2xl,163m,102Mi,1702430397.5983946
front-end-55b89655c7-9p2xl,165m,103Mi,1702430418.9987314
front-end-55b89655c7-9p2xl,218m,102Mi,1702430440.4950125
front-end-55b89655c7-9p2xl,164m,102Mi,1702430461.9867449
front-end-55b89655c7-9p2xl,167m,104Mi,1702430483.4891086
front-end-55b89655c7-9p2xl,154m,102Mi,1702430504.928676
front-end-55b89655c7-9p2xl,155m,102Mi,1702430526.4490628
front-end-55b89655c7-9p2xl,146m,103Mi,1702430547.8452377
front-end-55b89655c7-9p2xl,158m,104Mi,1702430569.4151196
front-end-55b89655c7-9p2xl,148m,105Mi,1702430590.8720305
front-end-55b89655c7-9p2xl,160m,104Mi,1702430612.3634846
front-end-55b89655c7-9p2xl,160m,104Mi,1702430633.683061
front-end-55b89655c7-9p2xl,155m,101Mi,1702430655.1505828
front-end-55b89655c7-9p2xl,155m,102Mi,1702430676.5676875
front-end-55b89655c7-9p2xl,154m,102Mi,1702430697.9929485
front-end-55b89655c7-9p2xl,157m,101Mi,1702430719.334389
front-end-55b89655c7-9p2xl,157m,101Mi,1702430740.7680469
front-end-55b89655c7-9p2xl,155m,101Mi,1702430762.0911083
front-end-55b89655c7-9p2xl,128m,102Mi,1702430783.6493022
front-end-55b89655c7-9p2xl,144m,101Mi,1702430804.9822276
front-end-55b89655c7-9p2xl,133m,103Mi,1702430826.4672952
front-end-55b89655c7-9p2xl,124m,104Mi,1702430847.8346212
front-end-55b89655c7-9p2xl,131m,102Mi,1702430869.600269
front-end-55b89655c7-9p2xl,140m,102Mi,1702430891.0513506
front-end-55b89655c7-9p2xl,150m,103Mi,1702430912.687613
front-end-55b89655c7-9p2xl,149m,103Mi,1702430934.0764887
front-end-55b89655c7-9p2xl,151m,104Mi,1702430955.7185392
front-end-55b89655c7-9p2xl,151m,104Mi,1702430977.1478343
front-end-55b89655c7-9p2xl,152m,100Mi,1702430998.732878
front-end-55b89655c7-9p2xl,162m,102Mi,1702431020.1551332
front-end-55b89655c7-9p2xl,166m,102Mi,1702431041.6613648
front-end-55b89655c7-9p2xl,170m,102Mi,1702431063.0796456
front-end-55b89655c7-9p2xl,146m,102Mi,1702431084.6030853
front-end-55b89655c7-9p2xl,206m,102Mi,1702431106.0963356
front-end-55b89655c7-9p2xl,153m,103Mi,1702431127.597465
front-end-55b89655c7-9p2xl,178m,104Mi,1702431149.019863
front-end-55b89655c7-9p2xl,178m,104Mi,1702431170.544828
