POD,CPU,MEMORY,TIME
front-end-55b89655c7-nvfzv,15m,56Mi,1702442614.688364
front-end-55b89655c7-nvfzv,53m,64Mi,1702442636.050836
front-end-55b89655c7-nvfzv,147m,94Mi,1702442657.5498953
front-end-55b89655c7-nvfzv,147m,94Mi,1702442678.9851754
front-end-55b89655c7-nvfzv,164m,97Mi,1702442700.4922338
front-end-55b89655c7-nvfzv,157m,96Mi,1702442721.8785517
front-end-55b89655c7-nvfzv,150m,96Mi,1702442743.4151633
front-end-55b89655c7-nvfzv,103m,97Mi,1702442764.8209178
front-end-55b89655c7-nvfzv,145m,98Mi,1702442786.4432776
front-end-55b89655c7-nvfzv,131m,98Mi,1702442807.8320162
front-end-55b89655c7-nvfzv,166m,95Mi,1702442829.3081355
front-end-55b89655c7-nvfzv,119m,93Mi,1702442850.6891482
front-end-55b89655c7-nvfzv,133m,94Mi,1702442872.14357
front-end-55b89655c7-nvfzv,142m,97Mi,1702442893.562486
front-end-55b89655c7-nvfzv,115m,95Mi,1702442914.9970827
front-end-55b89655c7-nvfzv,141m,96Mi,1702442936.4356651
front-end-55b89655c7-nvfzv,136m,92Mi,1702442957.8470988
front-end-55b89655c7-nvfzv,136m,92Mi,1702442979.1636684
front-end-55b89655c7-nvfzv,122m,97Mi,1702443000.6287682
front-end-55b89655c7-nvfzv,136m,96Mi,1702443021.9816573
front-end-55b89655c7-nvfzv,152m,97Mi,1702443043.4176068
front-end-55b89655c7-nvfzv,135m,98Mi,1702443064.7689493
front-end-55b89655c7-nvfzv,131m,95Mi,1702443086.2048116
front-end-55b89655c7-nvfzv,150m,97Mi,1702443107.6170266
front-end-55b89655c7-nvfzv,118m,97Mi,1702443129.0693948
front-end-55b89655c7-nvfzv,134m,97Mi,1702443150.4275074
front-end-55b89655c7-nvfzv,145m,97Mi,1702443171.9132404
front-end-55b89655c7-nvfzv,145m,97Mi,1702443193.2935646
front-end-55b89655c7-nvfzv,127m,96Mi,1702443214.865436
front-end-55b89655c7-nvfzv,138m,100Mi,1702443236.2590523
front-end-55b89655c7-nvfzv,185m,99Mi,1702443257.745663
front-end-55b89655c7-nvfzv,146m,96Mi,1702443279.1409528
front-end-55b89655c7-nvfzv,182m,96Mi,1702443300.6313994
front-end-55b89655c7-nvfzv,138m,97Mi,1702443322.1216202
front-end-55b89655c7-nvfzv,149m,96Mi,1702443343.7878876
front-end-55b89655c7-nvfzv,146m,97Mi,1702443365.1680787
front-end-55b89655c7-nvfzv,134m,95Mi,1702443386.70839
front-end-55b89655c7-nvfzv,150m,99Mi,1702443408.0800164
front-end-55b89655c7-nvfzv,179m,96Mi,1702443429.6679254
front-end-55b89655c7-nvfzv,150m,97Mi,1702443451.0541024
front-end-55b89655c7-nvfzv,139m,96Mi,1702443472.5658445
front-end-55b89655c7-nvfzv,139m,98Mi,1702443493.959884
front-end-55b89655c7-nvfzv,167m,98Mi,1702443515.4700415
front-end-55b89655c7-nvfzv,172m,98Mi,1702443536.9632785
front-end-55b89655c7-nvfzv,146m,98Mi,1702443558.4472888
front-end-55b89655c7-nvfzv,188m,98Mi,1702443579.8194916
front-end-55b89655c7-nvfzv,158m,99Mi,1702443601.3283987
front-end-55b89655c7-nvfzv,146m,97Mi,1702443622.7394953
front-end-55b89655c7-nvfzv,148m,99Mi,1702443644.3501315
front-end-55b89655c7-nvfzv,167m,98Mi,1702443665.7607179
front-end-55b89655c7-nvfzv,167m,98Mi,1702443687.2666445
