POD,CPU,MEMORY,TIME
front-end-55b89655c7-z7f7c,57m,65Mi,1702483969.615441
front-end-55b89655c7-z7f7c,57m,65Mi,1702483991.2182121
front-end-55b89655c7-z7f7c,19m,58Mi,1702484012.8968947
front-end-55b89655c7-z7f7c,184m,94Mi,1702484034.6733828
front-end-55b89655c7-z7f7c,161m,109Mi,1702484056.3579686
front-end-55b89655c7-z7f7c,132m,116Mi,1702484078.0103073
front-end-55b89655c7-z7f7c,130m,133Mi,1702484099.8987894
front-end-55b89655c7-z7f7c,139m,135Mi,1702484121.552286
front-end-55b89655c7-z7f7c,155m,113Mi,1702484143.2305028
front-end-55b89655c7-z7f7c,147m,95Mi,1702484164.9281247
front-end-55b89655c7-z7f7c,146m,97Mi,1702484186.6425228
front-end-55b89655c7-z7f7c,150m,99Mi,1702484208.311917
front-end-55b89655c7-z7f7c,163m,97Mi,1702484229.8930364
front-end-55b89655c7-z7f7c,158m,100Mi,1702484251.38135
front-end-55b89655c7-z7f7c,139m,100Mi,1702484273.0096135
front-end-55b89655c7-z7f7c,130m,101Mi,1702484294.45472
front-end-55b89655c7-z7f7c,147m,101Mi,1702484316.1836748
front-end-55b89655c7-z7f7c,159m,99Mi,1702484337.6291704
front-end-55b89655c7-z7f7c,151m,100Mi,1702484359.2334275
front-end-55b89655c7-z7f7c,182m,101Mi,1702484380.6772268
front-end-55b89655c7-z7f7c,146m,100Mi,1702484402.3139977
front-end-55b89655c7-z7f7c,153m,101Mi,1702484423.9445727
front-end-55b89655c7-z7f7c,184m,100Mi,1702484445.5769496
front-end-55b89655c7-z7f7c,128m,102Mi,1702484467.165912
front-end-55b89655c7-z7f7c,166m,100Mi,1702484488.8337588
front-end-55b89655c7-z7f7c,140m,101Mi,1702484510.3692355
front-end-55b89655c7-z7f7c,152m,100Mi,1702484532.1486313
front-end-55b89655c7-z7f7c,150m,99Mi,1702484553.7449188
front-end-55b89655c7-z7f7c,132m,97Mi,1702484575.4694161
front-end-55b89655c7-z7f7c,164m,101Mi,1702484597.0711262
front-end-55b89655c7-z7f7c,156m,101Mi,1702484618.7176688
front-end-55b89655c7-z7f7c,148m,97Mi,1702484640.4424384
front-end-55b89655c7-z7f7c,157m,102Mi,1702484662.1992207
front-end-55b89655c7-z7f7c,157m,102Mi,1702484683.7409616
front-end-55b89655c7-z7f7c,188m,99Mi,1702484705.5454223
front-end-55b89655c7-z7f7c,141m,99Mi,1702484727.1443896
front-end-55b89655c7-z7f7c,164m,101Mi,1702484748.9902875
front-end-55b89655c7-z7f7c,164m,101Mi,1702484770.568307
front-end-55b89655c7-z7f7c,156m,97Mi,1702484792.270485
front-end-55b89655c7-z7f7c,184m,99Mi,1702484813.8930318
front-end-55b89655c7-z7f7c,146m,101Mi,1702484835.644464
front-end-55b89655c7-z7f7c,146m,101Mi,1702484857.3889506
front-end-55b89655c7-z7f7c,159m,100Mi,1702484879.1364324
front-end-55b89655c7-z7f7c,159m,100Mi,1702484900.7818284
front-end-55b89655c7-z7f7c,203m,100Mi,1702484922.5281038
front-end-55b89655c7-z7f7c,152m,101Mi,1702484944.1431384
front-end-55b89655c7-z7f7c,162m,100Mi,1702484965.9936228
front-end-55b89655c7-z7f7c,158m,100Mi,1702484987.5760584
front-end-55b89655c7-z7f7c,153m,102Mi,1702485009.4353297
front-end-55b89655c7-z7f7c,161m,102Mi,1702485031.0505085
front-end-55b89655c7-z7f7c,161m,102Mi,1702485052.838081
front-end-55b89655c7-z7f7c,171m,99Mi,1702485074.5618808
front-end-55b89655c7-z7f7c,171m,99Mi,1702485096.2021217
front-end-55b89655c7-z7f7c,165m,100Mi,1702485117.65965
front-end-55b89655c7-z7f7c,144m,102Mi,1702485139.2843835
front-end-55b89655c7-z7f7c,140m,100Mi,1702485160.72005
front-end-55b89655c7-z7f7c,156m,101Mi,1702485182.3441665
front-end-55b89655c7-z7f7c,145m,102Mi,1702485203.773299
front-end-55b89655c7-z7f7c,140m,102Mi,1702485225.334025
front-end-55b89655c7-z7f7c,155m,100Mi,1702485246.9804955
front-end-55b89655c7-z7f7c,178m,99Mi,1702485268.428846
front-end-55b89655c7-z7f7c,149m,102Mi,1702485289.8724885
front-end-55b89655c7-z7f7c,182m,99Mi,1702485311.3632352
front-end-55b89655c7-z7f7c,163m,102Mi,1702485332.711394
front-end-55b89655c7-z7f7c,163m,102Mi,1702485354.5285237
front-end-55b89655c7-z7f7c,196m,101Mi,1702485375.9674652
front-end-55b89655c7-z7f7c,129m,100Mi,1702485397.5505774
front-end-55b89655c7-z7f7c,154m,100Mi,1702485418.947984
front-end-55b89655c7-z7f7c,144m,103Mi,1702485440.4366193
front-end-55b89655c7-z7f7c,158m,100Mi,1702485461.8176627
front-end-55b89655c7-z7f7c,142m,99Mi,1702485483.3279045
front-end-55b89655c7-z7f7c,152m,101Mi,1702485504.8368468
front-end-55b89655c7-z7f7c,145m,102Mi,1702485526.329779
front-end-55b89655c7-z7f7c,177m,103Mi,1702485547.7131908
front-end-55b89655c7-z7f7c,152m,102Mi,1702485569.2160628
front-end-55b89655c7-z7f7c,165m,100Mi,1702485590.613342
front-end-55b89655c7-z7f7c,165m,100Mi,1702485612.1998472
front-end-55b89655c7-z7f7c,131m,102Mi,1702485633.59159
front-end-55b89655c7-z7f7c,164m,101Mi,1702485655.0629325
front-end-55b89655c7-z7f7c,132m,99Mi,1702485676.4599972
front-end-55b89655c7-z7f7c,171m,100Mi,1702485697.9657564
front-end-55b89655c7-z7f7c,132m,102Mi,1702485719.9036744
front-end-55b89655c7-z7f7c,144m,102Mi,1702485741.4569714
front-end-55b89655c7-z7f7c,162m,100Mi,1702485762.8536203
front-end-55b89655c7-z7f7c,135m,101Mi,1702485784.3559296
front-end-55b89655c7-z7f7c,149m,98Mi,1702485805.766422
front-end-55b89655c7-z7f7c,143m,100Mi,1702485827.346202
front-end-55b89655c7-z7f7c,160m,101Mi,1702485848.7567437
front-end-55b89655c7-z7f7c,139m,98Mi,1702485870.3722134
front-end-55b89655c7-z7f7c,141m,99Mi,1702485891.757919
front-end-55b89655c7-z7f7c,168m,100Mi,1702485913.3105114
front-end-55b89655c7-z7f7c,137m,103Mi,1702485934.7965553
front-end-55b89655c7-z7f7c,161m,102Mi,1702485956.3155627
front-end-55b89655c7-z7f7c,161m,102Mi,1702485977.728006
front-end-55b89655c7-z7f7c,163m,100Mi,1702485999.2761173
front-end-55b89655c7-z7f7c,148m,101Mi,1702486020.6844842
front-end-55b89655c7-z7f7c,136m,101Mi,1702486042.2560143
front-end-55b89655c7-z7f7c,188m,101Mi,1702486063.8509068
front-end-55b89655c7-z7f7c,144m,100Mi,1702486085.408234
front-end-55b89655c7-z7f7c,148m,101Mi,1702486106.8819373
front-end-55b89655c7-z7f7c,129m,100Mi,1702486128.2805536
front-end-55b89655c7-z7f7c,182m,104Mi,1702486149.6861596
front-end-55b89655c7-z7f7c,140m,101Mi,1702486171.113934
front-end-55b89655c7-z7f7c,150m,101Mi,1702486192.438321
front-end-55b89655c7-z7f7c,172m,101Mi,1702486214.1098592
front-end-55b89655c7-z7f7c,127m,100Mi,1702486235.4577503
front-end-55b89655c7-z7f7c,149m,99Mi,1702486257.014856
front-end-55b89655c7-z7f7c,143m,102Mi,1702486278.398054
front-end-55b89655c7-z7f7c,150m,101Mi,1702486299.8648262
front-end-55b89655c7-z7f7c,184m,104Mi,1702486321.2130628
front-end-55b89655c7-z7f7c,147m,102Mi,1702486342.7144856
front-end-55b89655c7-z7f7c,138m,102Mi,1702486364.1808193
front-end-55b89655c7-z7f7c,136m,101Mi,1702486385.6527696
front-end-55b89655c7-z7f7c,153m,101Mi,1702486407.06943
front-end-55b89655c7-z7f7c,147m,101Mi,1702486428.6267035
front-end-55b89655c7-z7f7c,143m,100Mi,1702486450.0267441
front-end-55b89655c7-z7f7c,156m,100Mi,1702486471.6151738
front-end-55b89655c7-z7f7c,166m,101Mi,1702486493.0233648
front-end-55b89655c7-z7f7c,155m,101Mi,1702486514.5805037
front-end-55b89655c7-z7f7c,174m,100Mi,1702486535.9663346
front-end-55b89655c7-z7f7c,135m,101Mi,1702486557.5197601
front-end-55b89655c7-z7f7c,198m,101Mi,1702486579.0328524
front-end-55b89655c7-z7f7c,160m,100Mi,1702486600.54976
front-end-55b89655c7-z7f7c,197m,103Mi,1702486621.9641366
front-end-55b89655c7-z7f7c,161m,100Mi,1702486643.475236
front-end-55b89655c7-z7f7c,140m,99Mi,1702486664.8822527
front-end-55b89655c7-z7f7c,183m,101Mi,1702486686.479958
front-end-55b89655c7-z7f7c,141m,101Mi,1702486707.8668084
front-end-55b89655c7-z7f7c,180m,103Mi,1702486729.4110327
front-end-55b89655c7-z7f7c,166m,100Mi,1702486750.8448448
front-end-55b89655c7-z7f7c,151m,101Mi,1702486772.3800225
front-end-55b89655c7-z7f7c,164m,99Mi,1702486795.7970679
front-end-55b89655c7-z7f7c,111m,101Mi,1702486817.4364762
front-end-55b89655c7-z7f7c,176m,99Mi,1702486838.9421093
front-end-55b89655c7-z7f7c,160m,101Mi,1702486860.4549227
front-end-55b89655c7-z7f7c,172m,101Mi,1702486883.0634809
front-end-55b89655c7-z7f7c,154m,104Mi,1702486933.7791476
front-end-55b89655c7-z7f7c,154m,104Mi,1702486955.2225952
front-end-55b89655c7-z7f7c,124m,100Mi,1702486976.61202
front-end-55b89655c7-z7f7c,177m,101Mi,1702486998.0829358
front-end-55b89655c7-z7f7c,153m,102Mi,1702487019.5587473
front-end-55b89655c7-z7f7c,139m,100Mi,1702487041.065637
front-end-55b89655c7-z7f7c,185m,102Mi,1702487062.6732876
front-end-55b89655c7-z7f7c,144m,101Mi,1702487084.1447852
front-end-55b89655c7-z7f7c,179m,102Mi,1702487105.5532484
front-end-55b89655c7-z7f7c,120m,103Mi,1702487127.1639185
