POD,CPU,MEMORY,TIME
front-end-55b89655c7-kxwr5,1m,65Mi,1702909285
front-end-55b89655c7-kxwr5,2m,66Mi,1702909307
front-end-55b89655c7-kxwr5,130m,98Mi,1702909329
front-end-55b89655c7-kxwr5,130m,98Mi,1702909350
front-end-55b89655c7-kxwr5,123m,115Mi,1702909371
front-end-55b89655c7-kxwr5,132m,124Mi,1702909393
front-end-55b89655c7-kxwr5,130m,133Mi,1702909415
front-end-55b89655c7-kxwr5,136m,101Mi,1702909436
front-end-55b89655c7-kxwr5,122m,99Mi,1702909458
front-end-55b89655c7-kxwr5,109m,100Mi,1702909479
front-end-55b89655c7-kxwr5,135m,101Mi,1702909501
front-end-55b89655c7-kxwr5,110m,99Mi,1702909522
front-end-55b89655c7-kxwr5,125m,102Mi,1702909544
front-end-55b89655c7-kxwr5,143m,99Mi,1702909566
front-end-55b89655c7-kxwr5,145m,101Mi,1702909587
front-end-55b89655c7-kxwr5,130m,103Mi,1702909609
front-end-55b89655c7-kxwr5,110m,102Mi,1702909630
front-end-55b89655c7-kxwr5,154m,101Mi,1702909652
front-end-55b89655c7-kxwr5,113m,101Mi,1702909673
front-end-55b89655c7-kxwr5,120m,100Mi,1702909694
front-end-55b89655c7-kxwr5,127m,101Mi,1702909716
front-end-55b89655c7-kxwr5,116m,101Mi,1702909737
front-end-55b89655c7-kxwr5,130m,101Mi,1702909759
front-end-55b89655c7-kxwr5,140m,103Mi,1702909780
front-end-55b89655c7-kxwr5,153m,101Mi,1702909802
front-end-55b89655c7-kxwr5,124m,100Mi,1702909823
front-end-55b89655c7-kxwr5,162m,102Mi,1702909845
front-end-55b89655c7-kxwr5,130m,102Mi,1702909866
front-end-55b89655c7-kxwr5,134m,103Mi,1702909888
front-end-55b89655c7-kxwr5,170m,101Mi,1702909909
front-end-55b89655c7-kxwr5,133m,100Mi,1702909931
front-end-55b89655c7-kxwr5,134m,102Mi,1702909952
front-end-55b89655c7-kxwr5,177m,102Mi,1702909974
front-end-55b89655c7-kxwr5,136m,103Mi,1702909996
front-end-55b89655c7-kxwr5,155m,102Mi,1702910017
front-end-55b89655c7-kxwr5,127m,99Mi,1702910038
front-end-55b89655c7-kxwr5,148m,100Mi,1702910060
front-end-55b89655c7-kxwr5,136m,103Mi,1702910082
front-end-55b89655c7-kxwr5,144m,99Mi,1702910103
front-end-55b89655c7-kxwr5,143m,100Mi,1702910125
front-end-55b89655c7-kxwr5,155m,100Mi,1702910146
front-end-55b89655c7-kxwr5,171m,102Mi,1702910168
front-end-55b89655c7-kxwr5,147m,103Mi,1702910190
front-end-55b89655c7-kxwr5,136m,105Mi,1702910211
front-end-55b89655c7-kxwr5,184m,103Mi,1702910233
front-end-55b89655c7-kxwr5,144m,104Mi,1702910255
front-end-55b89655c7-kxwr5,181m,103Mi,1702910276
front-end-55b89655c7-kxwr5,149m,102Mi,1702910298
front-end-55b89655c7-kxwr5,153m,102Mi,1702910319
front-end-55b89655c7-kxwr5,179m,102Mi,1702910341
front-end-55b89655c7-kxwr5,142m,102Mi,1702910362
front-end-55b89655c7-kxwr5,142m,102Mi,1702910384
front-end-55b89655c7-kxwr5,161m,100Mi,1702910406
front-end-55b89655c7-kxwr5,160m,102Mi,1702910427
front-end-55b89655c7-kxwr5,156m,101Mi,1702910449
front-end-55b89655c7-kxwr5,144m,102Mi,1702910470
front-end-55b89655c7-kxwr5,156m,101Mi,1702910492
front-end-55b89655c7-kxwr5,128m,102Mi,1702910513
front-end-55b89655c7-kxwr5,142m,101Mi,1702910535
front-end-55b89655c7-kxwr5,152m,100Mi,1702910556
front-end-55b89655c7-kxwr5,131m,102Mi,1702910578
front-end-55b89655c7-kxwr5,143m,101Mi,1702910599
front-end-55b89655c7-kxwr5,158m,100Mi,1702910621
front-end-55b89655c7-kxwr5,147m,100Mi,1702910642
front-end-55b89655c7-kxwr5,161m,102Mi,1702910664
front-end-55b89655c7-kxwr5,165m,103Mi,1702910685
front-end-55b89655c7-kxwr5,156m,101Mi,1702910707
front-end-55b89655c7-kxwr5,145m,104Mi,1702910728
front-end-55b89655c7-kxwr5,146m,102Mi,1702910750
front-end-55b89655c7-kxwr5,162m,101Mi,1702910771
front-end-55b89655c7-kxwr5,152m,101Mi,1702910793
front-end-55b89655c7-kxwr5,174m,102Mi,1702910814
front-end-55b89655c7-kxwr5,131m,102Mi,1702910836
