Resource,Cooling Time,Current Time,Replicas,Mode,,,,
0,0,0,0,0,,,,
303.030303,0,1702909221,0,threshold,1702909221,,,1
342.1717172,0,1702909243,0,threshold,1702909243,,,1
307.9545455,1702909244,1702909264,2,horizontal_vertical_down,1702909264,,,1
258.8383838,1702909244,1702909285,2,threshold,1702909285,,,1
296.7171717,1702909244,1702909307,2,threshold,1702909307,,,1
224.5931392,1702909244,1702909329,2,predict,1702909329,-1.108813027,1888208234,1
178.9279919,1702909244,1702909350,2,predict,1702909350,-1.281145795,2181675304,1
175.5050505,1702909244,1702909371,2,pid,1702909411,,,1
161.6161616,1702909244,1702909393,2,pid,1702909411,,,1
183.3635124,1702909244,1702909415,2,predict,1702909415,-0.074194553,126346746.6,5
175.9259259,1702909244,1702909436,2,pid,1702909476,,,5
177.6094276,1702909244,1702909458,2,pid,1702909476,,,5
170.6644349,1702909244,1702909479,2,predict,1702909479,-0.009764137,16627586,8
172.566662,1702909244,1702909501,2,predict,1702909501,-0.020158079,34327527.45,8
180.5555556,1702909244,1702909522,2,pid,1702909562,,,8
182.2390572,1702909244,1702909544,2,pid,1702909562,,,8
162.2014708,1702909244,1702909566,2,predict,1702909566,-0.097904804,166723169.7,12
173.8215488,1702909244,1702909587,2,pid,1702909627,,,12
173.8215488,1702909244,1702909609,2,pid,1702909627,,,12
173.2035665,1702909244,1702909630,2,predict,1702909630,0.037062678,-63114243.92,15
161.4340682,1702909244,1702909652,2,predict,1702909652,-0.079857937,135990990.9,15
152.4797079,1702909244,1702909673,2,predict,1702909673,-0.162917611,277434105.4,15
155.7239057,1702909244,1702909694,2,pid,1702909734,,,15
153.6195286,1702909244,1702909716,2,pid,1702909734,,,15
169.0321963,1702909244,1702909737,2,predict,1702909737,0.171943756,-292804553.9,20
164.741572,1702909244,1702909759,2,predict,1702909759,0.114172506,-194425333.4,20
173.9991675,1702909244,1702909780,2,predict,1702909780,0.13124131,-223491965.3,20
181.6297223,1702909244,1702909802,2,predict,1702909802,0.142975009,-243473394.7,20
168.692754,1702909244,1702909823,2,predict,1702909823,0.092306821,-157190045.9,20
178.4875413,1702909244,1702909845,2,predict,1702909845,0.088418906,-150569278.2,25
184.7643098,1702909244,1702909866,2,pid,1702909906,,,25
186.026936,1702909244,1702909888,2,pid,1702909906,,,25
173.588643,1702909244,1702909909,2,predict,1702909909,0.031697194,-53977312.39,28
183.0322307,1702909244,1702909931,2,predict,1702909931,0.026097911,-44442239.52,28
186.3502651,1702909244,1702909952,2,predict,1702909952,0.051158573,-87118287.07,28
190.2356902,1702909244,1702909974,2,pid,1702910014,,,28
186.026936,1702909244,1702909996,2,pid,1702910014,,,28
180.7007526,1702909244,1702910017,2,predict,1702910017,-0.065146057,110938024.7,33
165.7190301,1702909244,1702910038,2,predict,1702910038,-0.192277154,327430835.7,33
180.976431,1702909244,1702910060,2,pid,1702910100,,,33
172.5589226,1702909244,1702910082,2,pid,1702910100,,,33
174.8346235,1702909244,1702910103,2,predict,1702910103,-0.033539413,57114751.92,37
177.095717,1702909244,1702910125,2,predict,1702910125,-0.015202047,25887867.35,37
181.3973064,1702909244,1702910146,2,pid,1702910186,,,37
183.0808081,1702909244,1702910168,2,pid,1702910186,,,37
185.6982201,1702909244,1702910190,2,predict,1702910190,0.055333718,-94228198.35,41
186.8686869,1702909244,1702910211,2,pid,1702910251,,,41
183.9225589,1702909244,1702910233,2,pid,1702910251,,,41
192.5371332,1702909244,1702910255,2,predict,1702910255,0.235052486,-400273118,44
188.7787438,1702909244,1702910276,2,predict,1702910276,-0.101534809,172904821.7,45
202.8619529,1702909244,1702910298,2,pid,1702910338,,,45
194.4444444,1702909244,1702910319,2,pid,1702910338,,,45
186.2968489,1702909244,1702910341,2,predict,1702910341,-0.180024446,306565649.4,48
197.3905724,1702909244,1702910362,2,pid,1702910402,,,48
199.9158249,1702909244,1702910384,2,pid,1702910402,,,48
184.826063,1702909244,1702910406,2,predict,1702910406,-0.023867413,40644228.17,51
196.1279461,1702909244,1702910427,2,pid,1702910467,,,51
189.3939394,1702909244,1702910449,2,pid,1702910467,,,51
174.0802988,1702909244,1702910470,2,predict,1702910470,-0.260198405,443094733.5,54
175.7383497,1702909244,1702910492,2,predict,1702910492,-0.209497544,356755709.5,55
180.1346801,1702909244,1702910513,2,pid,1702910553,,,55
190.2356902,1702909244,1702910535,2,pid,1702910553,,,55
176.4568053,1702909244,1702910556,2,predict,1702910556,0.065051734,-110777130.3,58
181.1488306,1702909244,1702910578,2,predict,1702910578,0.065042958,-110762186.2,58
182.6599327,1702909244,1702910599,2,pid,1702910639,,,58
196.1279461,1702909244,1702910621,2,pid,1702910639,,,58
197.8034076,1702909244,1702910642,2,predict,1702910642,0.315812992,-537801132.3,62
195.1655519,1702909244,1702910664,2,predict,1702910664,0.195427797,-332795908.8,62
202.3168565,1702909244,1702910685,2,predict,1702910685,0.161321275,-274715552.7,62
187.5248741,1702909244,1702910707,2,predict,1702910707,-0.144709811,246428041.5,65
191.0774411,1702909244,1702910728,2,pid,1702910768,,,65
185.6060606,1702909244,1702910750,2,pid,1702910768,,,65
200.8133258,1702909244,1702910771,2,predict,1702910771,0.064920539,-110553721.6,68
203.672661,1702909244,1702910793,2,predict,1702910793,0.099486533,-169416522.8,68
192.5026539,1702909244,1702910814,2,predict,1702910814,0.036422868,-62024731.1,68
194.7395218,1702909244,1702910836,2,predict,1702910836,0.014810326,-25220501.62,68
178.5986887,1702909244,1702910858,2,predict,1702910858,-0.070475631,120013870.3,68
181.8181818,1702909244,1702910879,2,pid,1702910919,,,68
189.3939394,1702909244,1702910901,2,pid,1702910919,,,68
189.2900543,1702909244,1702910922,2,predict,1702910922,0.064546581,-109916916.7,75
207.4915825,1702909244,1702910944,2,pid,1702910984,,,75
190.2356902,1702909244,1702910966,2,pid,1702910984,,,75
199.5451791,1702909244,1702910987,2,predict,1702910987,-0.07947267,135335048.4,78
179.9574351,1702909244,1702911009,2,predict,1702911009,-0.093056379,158466894.2,78
190.8163149,1702909244,1702911030,2,predict,1702911030,-0.107834445,183632623.7,78
192.3400673,1702909244,1702911052,2,pid,1702911092,,,78
196.969697,1702909244,1702911074,2,pid,1702911092,,,78
188.6515935,1702909244,1702911095,2,predict,1702911095,-0.02269864,38653925.24,83
212.1212121,1702909244,1702911117,2,pid,1702911157,,,83
210.016835,1702909244,1702911138,2,pid,1702911157,,,83
220.9088432,1702909244,1702911160,2,predict,1702911160,0.360260054,-613490668.6,86
194.3575799,1702909244,1702911182,2,predict,1702911182,0.137167621,-233584089,86
188.1888337,1702909244,1702911203,2,predict,1702911203,-0.051158845,87119141.93,86
