POD,CPU,MEMORY,TIME
front-end-55b89655c7-g6fm5,1m,70Mi,1702886677.0006564
front-end-55b89655c7-g6fm5,58m,72Mi,1702886698.6525986
front-end-55b89655c7-g6fm5,134m,108Mi,1702886720.0962799
front-end-55b89655c7-g6fm5,134m,108Mi,1702886741.6247733
front-end-55b89655c7-g6fm5,107m,124Mi,1702886763.0382843
front-end-55b89655c7-g6fm5,115m,129Mi,1702886784.6312578
front-end-55b89655c7-g6fm5,139m,136Mi,1702886805.9948688
front-end-55b89655c7-g6fm5,129m,104Mi,1702886827.4784253
front-end-55b89655c7-g6fm5,132m,105Mi,1702886849.0318558
front-end-55b89655c7-g6fm5,128m,105Mi,1702886870.3854995
front-end-55b89655c7-g6fm5,128m,105Mi,1702886891.762166
front-end-55b89655c7-g6fm5,153m,107Mi,1702886913.184326
front-end-55b89655c7-g6fm5,117m,105Mi,1702886934.7504447
front-end-55b89655c7-g6fm5,132m,107Mi,1702886956.2324598
front-end-55b89655c7-g6fm5,148m,106Mi,1702886977.7862544
front-end-55b89655c7-g6fm5,135m,105Mi,1702886999.208654
front-end-55b89655c7-g6fm5,129m,105Mi,1702887020.655853
front-end-55b89655c7-g6fm5,110m,105Mi,1702887042.0411458
front-end-55b89655c7-g6fm5,129m,103Mi,1702887063.5456173
front-end-55b89655c7-g6fm5,136m,104Mi,1702887084.8677123
front-end-55b89655c7-g6fm5,115m,102Mi,1702887106.2217317
front-end-55b89655c7-g6fm5,139m,105Mi,1702887128.0769472
front-end-55b89655c7-g6fm5,135m,105Mi,1702887149.4470487
front-end-55b89655c7-g6fm5,132m,106Mi,1702887170.9129612
front-end-55b89655c7-g6fm5,138m,107Mi,1702887192.3710496
front-end-55b89655c7-g6fm5,141m,105Mi,1702887213.8337042
front-end-55b89655c7-g6fm5,152m,104Mi,1702887235.249414
front-end-55b89655c7-g6fm5,113m,105Mi,1702887256.655428
front-end-55b89655c7-g6fm5,164m,104Mi,1702887278.2192032
front-end-55b89655c7-g6fm5,135m,106Mi,1702887299.7011495
front-end-55b89655c7-g6fm5,140m,105Mi,1702887321.1320496
front-end-55b89655c7-g6fm5,162m,105Mi,1702887342.776648
front-end-55b89655c7-g6fm5,142m,106Mi,1702887364.156102
front-end-55b89655c7-g6fm5,151m,107Mi,1702887385.7198932
front-end-55b89655c7-g6fm5,142m,107Mi,1702887407.0663176
front-end-55b89655c7-g6fm5,142m,107Mi,1702887428.461173
front-end-55b89655c7-g6fm5,138m,103Mi,1702887449.7997565
front-end-55b89655c7-g6fm5,135m,106Mi,1702887471.165465
front-end-55b89655c7-g6fm5,135m,106Mi,1702887492.6181066
front-end-55b89655c7-g6fm5,147m,103Mi,1702887513.9777226
front-end-55b89655c7-g6fm5,157m,106Mi,1702887535.4344742
front-end-55b89655c7-g6fm5,159m,106Mi,1702887557.1121202
front-end-55b89655c7-g6fm5,144m,105Mi,1702887578.5506086
front-end-55b89655c7-g6fm5,173m,106Mi,1702887600.0555382
front-end-55b89655c7-g6fm5,146m,103Mi,1702887621.435513
front-end-55b89655c7-g6fm5,150m,106Mi,1702887642.980999
front-end-55b89655c7-g6fm5,144m,107Mi,1702887664.3633454
front-end-55b89655c7-g6fm5,145m,105Mi,1702887685.7793849
front-end-55b89655c7-g6fm5,156m,105Mi,1702887707.3432856
front-end-55b89655c7-g6fm5,160m,106Mi,1702887728.9368536
front-end-55b89655c7-g6fm5,190m,105Mi,1702887750.3372006
front-end-55b89655c7-g6fm5,125m,107Mi,1702887771.8249724
front-end-55b89655c7-g6fm5,159m,106Mi,1702887793.2412112
front-end-55b89655c7-g6fm5,139m,106Mi,1702887814.7253973
front-end-55b89655c7-g6fm5,139m,106Mi,1702887836.0867176
front-end-55b89655c7-g6fm5,180m,107Mi,1702887857.4332602
front-end-55b89655c7-g6fm5,133m,104Mi,1702887878.7735236
front-end-55b89655c7-g6fm5,164m,104Mi,1702887900.310785
front-end-55b89655c7-g6fm5,144m,104Mi,1702887921.7042038
front-end-55b89655c7-g6fm5,143m,107Mi,1702887943.0939164
front-end-55b89655c7-g6fm5,168m,105Mi,1702887964.4850144
front-end-55b89655c7-g6fm5,132m,104Mi,1702887985.8015313
front-end-55b89655c7-g6fm5,174m,107Mi,1702888007.2101212
front-end-55b89655c7-g6fm5,174m,107Mi,1702888028.6081176
front-end-55b89655c7-g6fm5,141m,105Mi,1702888049.9262152
front-end-55b89655c7-g6fm5,141m,104Mi,1702888071.456735
front-end-55b89655c7-g6fm5,170m,105Mi,1702888092.7320304
front-end-55b89655c7-g6fm5,151m,105Mi,1702888114.0587451
front-end-55b89655c7-g6fm5,138m,104Mi,1702888135.5452669
front-end-55b89655c7-g6fm5,134m,105Mi,1702888156.9407206
front-end-55b89655c7-g6fm5,156m,106Mi,1702888178.2872663
front-end-55b89655c7-g6fm5,166m,106Mi,1702888199.614026
front-end-55b89655c7-g6fm5,124m,105Mi,1702888221.1867106
front-end-55b89655c7-g6fm5,159m,103Mi,1702888242.7328866
front-end-55b89655c7-g6fm5,148m,105Mi,1702888264.1685555
front-end-55b89655c7-g6fm5,146m,106Mi,1702888285.8157697
front-end-55b89655c7-g6fm5,137m,105Mi,1702888307.400745
front-end-55b89655c7-g6fm5,166m,107Mi,1702888328.9830782
front-end-55b89655c7-g6fm5,166m,107Mi,1702888350.5726662
front-end-55b89655c7-g6fm5,158m,105Mi,1702888372.2010388
front-end-55b89655c7-g6fm5,150m,106Mi,1702888394.0382216
front-end-55b89655c7-g6fm5,193m,105Mi,1702888415.5856292
front-end-55b89655c7-g6fm5,159m,108Mi,1702888437.0688002
front-end-55b89655c7-g6fm5,208m,105Mi,1702888458.707963
front-end-55b89655c7-g6fm5,117m,103Mi,1702888480.1908555
front-end-55b89655c7-g6fm5,181m,103Mi,1702888501.8489985
front-end-55b89655c7-g6fm5,127m,107Mi,1702888523.3184302
front-end-55b89655c7-g6fm5,179m,106Mi,1702888544.782872
front-end-55b89655c7-g6fm5,170m,106Mi,1702888566.363675
front-end-55b89655c7-g6fm5,166m,107Mi,1702888587.8570442
front-end-55b89655c7-g6fm5,145m,107Mi,1702888609.5249076
front-end-55b89655c7-g6fm5,150m,105Mi,1702888630.9818113
front-end-55b89655c7-g6fm5,156m,106Mi,1702888652.5154886
front-end-55b89655c7-g6fm5,156m,106Mi,1702888674.0690916
front-end-55b89655c7-g6fm5,154m,105Mi,1702888695.5642989
front-end-55b89655c7-g6fm5,153m,106Mi,1702888717.092887
front-end-55b89655c7-g6fm5,153m,106Mi,1702888738.6613617
front-end-55b89655c7-g6fm5,180m,106Mi,1702888760.3989785
front-end-55b89655c7-g6fm5,153m,106Mi,1702888782.0690193
front-end-55b89655c7-g6fm5,146m,107Mi,1702888803.5622306
front-end-55b89655c7-g6fm5,155m,103Mi,1702888825.2080956
front-end-55b89655c7-g6fm5,162m,106Mi,1702888846.6840596
front-end-55b89655c7-g6fm5,147m,106Mi,1702888868.155567
front-end-55b89655c7-g6fm5,146m,106Mi,1702888889.7356882
front-end-55b89655c7-g6fm5,182m,105Mi,1702888911.3259885
front-end-55b89655c7-g6fm5,147m,107Mi,1702888932.7735467
front-end-55b89655c7-g6fm5,124m,107Mi,1702888954.2624364
front-end-55b89655c7-g6fm5,144m,105Mi,1702888975.7544975
front-end-55b89655c7-g6fm5,137m,107Mi,1702888997.3831744
front-end-55b89655c7-g6fm5,154m,107Mi,1702889019.0271363
front-end-55b89655c7-g6fm5,145m,106Mi,1702889040.4102142
front-end-55b89655c7-g6fm5,134m,105Mi,1702889061.8647883
front-end-55b89655c7-g6fm5,142m,105Mi,1702889083.265184
front-end-55b89655c7-g6fm5,146m,105Mi,1702889104.9252083
front-end-55b89655c7-g6fm5,142m,106Mi,1702889126.3056822
front-end-55b89655c7-g6fm5,143m,106Mi,1702889147.7143846
front-end-55b89655c7-g6fm5,124m,107Mi,1702889169.071317
front-end-55b89655c7-g6fm5,153m,105Mi,1702889190.7077293
front-end-55b89655c7-g6fm5,137m,107Mi,1702889212.1937494
front-end-55b89655c7-g6fm5,137m,109Mi,1702889233.6360097
front-end-55b89655c7-g6fm5,129m,106Mi,1702889255.0984783
front-end-55b89655c7-g6fm5,138m,106Mi,1702889276.5267425
front-end-55b89655c7-g6fm5,145m,106Mi,1702889298.0647712
front-end-55b89655c7-g6fm5,157m,109Mi,1702889319.7655103
front-end-55b89655c7-g6fm5,137m,107Mi,1702889341.248314
front-end-55b89655c7-g6fm5,182m,105Mi,1702889362.703448
front-end-55b89655c7-g6fm5,139m,107Mi,1702889384.1439638
front-end-55b89655c7-g6fm5,179m,107Mi,1702889405.7976353
front-end-55b89655c7-g6fm5,179m,107Mi,1702889427.3556705
front-end-55b89655c7-g6fm5,139m,108Mi,1702889448.8297555
front-end-55b89655c7-g6fm5,143m,104Mi,1702889470.4897842
front-end-55b89655c7-g6fm5,149m,107Mi,1702889491.9567947
front-end-55b89655c7-g6fm5,145m,108Mi,1702889513.4253626
front-end-55b89655c7-g6fm5,155m,106Mi,1702889534.9989333
front-end-55b89655c7-g6fm5,175m,105Mi,1702889556.479737
front-end-55b89655c7-g6fm5,142m,104Mi,1702889577.991577
front-end-55b89655c7-g6fm5,191m,105Mi,1702889599.4568243
