POD,CPU,MEMORY,TIME
front-end-55b89655c7-26qcc,1m,71Mi,1703266023.4192896
front-end-55b89655c7-26qcc,6m,72Mi,1703266045.1778367
front-end-55b89655c7-26qcc,137m,106Mi,1703266066.6752875
front-end-55b89655c7-26qcc,123m,118Mi,1703266088.378478
front-end-55b89655c7-26qcc,113m,124Mi,1703266110.2803807
front-end-55b89655c7-26qcc,118m,137Mi,1703266132.3481295
front-end-55b89655c7-26qcc,116m,140Mi,1703266153.7666457
front-end-55b89655c7-26qcc,136m,106Mi,1703266175.38026
front-end-55b89655c7-26qcc,136m,106Mi,1703266196.743947
front-end-55b89655c7-26qcc,115m,106Mi,1703266218.222993
front-end-55b89655c7-26qcc,138m,105Mi,1703266239.743027
front-end-55b89655c7-26qcc,134m,104Mi,1703266260.9498188
front-end-55b89655c7-26qcc,124m,105Mi,1703266282.4640088
front-end-55b89655c7-26qcc,143m,104Mi,1703266303.9252834
front-end-55b89655c7-26qcc,136m,110Mi,1703266325.4495506
front-end-55b89655c7-26qcc,140m,108Mi,1703266346.835163
front-end-55b89655c7-26qcc,129m,107Mi,1703266368.1050718
front-end-55b89655c7-26qcc,138m,108Mi,1703266389.5043397
front-end-55b89655c7-26qcc,115m,107Mi,1703266410.8281925
front-end-55b89655c7-26qcc,130m,109Mi,1703266432.3108823
front-end-55b89655c7-26qcc,124m,108Mi,1703266453.602787
front-end-55b89655c7-26qcc,171m,109Mi,1703266475.042609
front-end-55b89655c7-26qcc,136m,108Mi,1703266496.4764721
front-end-55b89655c7-26qcc,144m,108Mi,1703266518.034499
front-end-55b89655c7-26qcc,154m,108Mi,1703266539.338302
front-end-55b89655c7-26qcc,154m,108Mi,1703266560.6012192
front-end-55b89655c7-26qcc,135m,107Mi,1703266581.9475458
front-end-55b89655c7-26qcc,135m,107Mi,1703266603.4624572
front-end-55b89655c7-26qcc,150m,104Mi,1703266624.8644013
front-end-55b89655c7-26qcc,150m,105Mi,1703266646.1722558
front-end-55b89655c7-26qcc,130m,106Mi,1703266667.499259
front-end-55b89655c7-26qcc,152m,106Mi,1703266688.7775636
front-end-55b89655c7-26qcc,137m,107Mi,1703266710.2836502
front-end-55b89655c7-26qcc,187m,110Mi,1703266731.543126
front-end-55b89655c7-26qcc,125m,105Mi,1703266752.9055648
front-end-55b89655c7-26qcc,134m,107Mi,1703266774.4164212
front-end-55b89655c7-26qcc,134m,107Mi,1703266795.7634718
front-end-55b89655c7-26qcc,159m,107Mi,1703266817.213451
front-end-55b89655c7-26qcc,139m,104Mi,1703266838.5300255
front-end-55b89655c7-26qcc,139m,104Mi,1703266860.033328
front-end-55b89655c7-26qcc,139m,107Mi,1703266881.3922215
