POD,CPU,MEMORY,TIME
front-end-55b89655c7-48sdq,27m,71Mi,1701671902.3218637
front-end-55b89655c7-48sdq,62m,80Mi,1701671924.2655182
front-end-55b89655c7-48sdq,72m,93Mi,1701671946.424881
front-end-55b89655c7-48sdq,73m,100Mi,1701671968.3611662
front-end-55b89655c7-48sdq,73m,102Mi,1701671990.2771697
front-end-55b89655c7-48sdq,74m,101Mi,1701672012.202397
front-end-55b89655c7-48sdq,74m,101Mi,1701672034.2122984
front-end-55b89655c7-48sdq,67m,97Mi,1701672056.2273626
front-end-55b89655c7-48sdq,59m,98Mi,1701672078.4352617
front-end-55b89655c7-48sdq,29m,99Mi,1701672100.4516144
