POD,CPU,MEMORY,TIME
front-end-55b89655c7-59twl,1m,69Mi,1701668665.5628414
front-end-55b89655c7-59twl,29m,59Mi,1701668686.9588144
front-end-55b89655c7-59twl,41m,68Mi,1701668708.3340034
front-end-55b89655c7-59twl,42m,74Mi,1701668729.8403034
front-end-55b89655c7-59twl,37m,75Mi,1701668751.24464
front-end-55b89655c7-59twl,49m,83Mi,1701668772.5320954
front-end-55b89655c7-59twl,75m,91Mi,1701668793.945861
front-end-55b89655c7-59twl,76m,95Mi,1701668815.2819602
front-end-55b89655c7-59twl,69m,97Mi,1701668836.6209223
front-end-55b89655c7-59twl,59m,97Mi,1701668857.9178727
front-end-55b89655c7-59twl,49m,98Mi,1701668879.2233346
front-end-55b89655c7-59twl,71m,99Mi,1701668900.6434865
front-end-55b89655c7-59twl,70m,93Mi,1701668921.969458
front-end-55b89655c7-59twl,47m,95Mi,1701668943.288845
front-end-55b89655c7-59twl,55m,97Mi,1701668964.6028478
front-end-55b89655c7-59twl,51m,99Mi,1701668985.8939805
front-end-55b89655c7-59twl,51m,99Mi,1701669007.2723181
front-end-55b89655c7-59twl,45m,98Mi,1701669028.6623285
front-end-55b89655c7-59twl,47m,100Mi,1701669051.0882225
front-end-55b89655c7-59twl,54m,95Mi,1701669072.4550884
front-end-55b89655c7-59twl,57m,97Mi,1701669093.7547615
front-end-55b89655c7-59twl,58m,98Mi,1701669115.1515028
front-end-55b89655c7-59twl,90m,98Mi,1701669136.4790158
front-end-55b89655c7-59twl,90m,99Mi,1701669157.822929
front-end-55b89655c7-59twl,82m,98Mi,1701669179.1586156
front-end-55b89655c7-59twl,82m,98Mi,1701669200.590107
front-end-55b89655c7-59twl,72m,100Mi,1701669222.2729206
front-end-55b89655c7-59twl,70m,97Mi,1701669243.8423657
front-end-55b89655c7-59twl,49m,98Mi,1701669265.398559
front-end-55b89655c7-59twl,60m,100Mi,1701669286.9688942
front-end-55b89655c7-59twl,71m,100Mi,1701669308.5767627
front-end-55b89655c7-59twl,74m,99Mi,1701669330.259221
front-end-55b89655c7-59twl,77m,99Mi,1701669351.8742635
front-end-55b89655c7-59twl,68m,98Mi,1701669373.5011277
front-end-55b89655c7-59twl,67m,96Mi,1701669395.0868325
