POD,CPU,MEMORY,TIME
front-end-55b89655c7-8rlsh,57m,65Mi,1701677248.0306256
front-end-55b89655c7-8rlsh,1m,65Mi,1701677269.606386
front-end-55b89655c7-8rlsh,74m,66Mi,1701677291.2774932
front-end-55b89655c7-8rlsh,61m,75Mi,1701677312.8615015
front-end-55b89655c7-8rlsh,62m,78Mi,1701677334.4489934
front-end-55b89655c7-8rlsh,55m,101Mi,1701677356.0123513
front-end-55b89655c7-8rlsh,57m,90Mi,1701677377.5815473
front-end-55b89655c7-8rlsh,43m,90Mi,1701677399.2691686
front-end-55b89655c7-8rlsh,38m,92Mi,1701677420.8223672
front-end-55b89655c7-8rlsh,34m,94Mi,1701677442.405584
front-end-55b89655c7-8rlsh,32m,95Mi,1701677464.038253
