POD,CPU,MEMORY,TIME
front-end-55b89655c7-9gpqh,36m,70Mi,1701672601.780424
front-end-55b89655c7-9gpqh,8m,73Mi,1701672623.7072325
front-end-55b89655c7-9gpqh,62m,78Mi,1701672645.6253002
front-end-55b89655c7-9gpqh,68m,97Mi,1701672667.569514
front-end-55b89655c7-9gpqh,60m,97Mi,1701672689.4451804
front-end-55b89655c7-9gpqh,64m,97Mi,1701672711.4323773
front-end-55b89655c7-9gpqh,60m,95Mi,1701672733.355756
front-end-55b89655c7-9gpqh,76m,94Mi,1701672755.2553895
front-end-55b89655c7-9gpqh,62m,100Mi,1701672777.1443424
front-end-55b89655c7-9gpqh,61m,101Mi,1701672799.0024574
front-end-55b89655c7-9gpqh,60m,101Mi,1701672821.0174437
front-end-55b89655c7-9gpqh,71m,100Mi,1701672842.8576612
front-end-55b89655c7-9gpqh,49m,102Mi,1701672864.727257
