POD,CPU,MEMORY,TIME
front-end-55b89655c7-g5hwf,2m,99Mi,1701668580.9000406
front-end-55b89655c7-g5hwf,1m,98Mi,1701668601.999699
front-end-55b89655c7-g5hwf,96m,97Mi,1701668623.1402342
front-end-55b89655c7-g5hwf,84m,90Mi,1701668644.2981842
front-end-55b89655c7-g5hwf,85m,96Mi,1701668665.5628414
front-end-55b89655c7-g5hwf,85m,96Mi,1701668686.9588144
front-end-55b89655c7-g5hwf,42m,95Mi,1701668708.3340034
front-end-55b89655c7-g5hwf,53m,92Mi,1701668729.8403034
front-end-55b89655c7-g5hwf,46m,83Mi,1701668751.24464
front-end-55b89655c7-g5hwf,53m,83Mi,1701668772.5320954
front-end-55b89655c7-g5hwf,63m,89Mi,1701668793.945861
front-end-55b89655c7-g5hwf,68m,94Mi,1701668815.2819602
front-end-55b89655c7-g5hwf,73m,85Mi,1701668836.6209223
front-end-55b89655c7-g5hwf,68m,91Mi,1701668857.9178727
front-end-55b89655c7-g5hwf,75m,97Mi,1701668879.2233346
front-end-55b89655c7-g5hwf,76m,92Mi,1701668900.6434865
front-end-55b89655c7-g5hwf,61m,94Mi,1701668921.969458
front-end-55b89655c7-g5hwf,55m,88Mi,1701668943.288845
front-end-55b89655c7-g5hwf,55m,90Mi,1701668964.6028478
front-end-55b89655c7-g5hwf,50m,97Mi,1701668985.8939805
front-end-55b89655c7-g5hwf,49m,97Mi,1701669007.2723181
front-end-55b89655c7-g5hwf,63m,86Mi,1701669028.6623285
front-end-55b89655c7-g5hwf,44m,90Mi,1701669051.0882225
front-end-55b89655c7-g5hwf,52m,82Mi,1701669072.4550884
front-end-55b89655c7-g5hwf,56m,88Mi,1701669093.7547615
front-end-55b89655c7-g5hwf,69m,98Mi,1701669115.1515028
front-end-55b89655c7-g5hwf,82m,86Mi,1701669136.4790158
front-end-55b89655c7-g5hwf,88m,92Mi,1701669157.822929
front-end-55b89655c7-g5hwf,96m,90Mi,1701669179.1586156
front-end-55b89655c7-g5hwf,63m,92Mi,1701669200.590107
front-end-55b89655c7-g5hwf,90m,90Mi,1701669222.2729206
