POD,CPU,MEMORY,TIME
front-end-55b89655c7-mjcwr,2m,71Mi,1701671290.6231184
front-end-55b89655c7-mjcwr,2m,71Mi,1701671312.4331865
front-end-55b89655c7-mjcwr,64m,78Mi,1701671334.2543507
front-end-55b89655c7-mjcwr,62m,99Mi,1701671356.1589935
front-end-55b89655c7-mjcwr,62m,101Mi,1701671378.0045218
front-end-55b89655c7-mjcwr,61m,101Mi,1701671400.045606
front-end-55b89655c7-mjcwr,68m,102Mi,1701671421.9699247
front-end-55b89655c7-mjcwr,66m,99Mi,1701671443.863941
front-end-55b89655c7-mjcwr,66m,99Mi,1701671465.7443504
front-end-55b89655c7-mjcwr,67m,93Mi,1701671487.75609
front-end-55b89655c7-mjcwr,64m,95Mi,1701671509.7411726
front-end-55b89655c7-mjcwr,63m,99Mi,1701671531.6508596
front-end-55b89655c7-mjcwr,73m,99Mi,1701671553.5229502
front-end-55b89655c7-mjcwr,50m,100Mi,1701671575.3827953
front-end-55b89655c7-mjcwr,67m,91Mi,1701671597.2154548
front-end-55b89655c7-mjcwr,61m,93Mi,1701671619.242824
front-end-55b89655c7-mjcwr,60m,96Mi,1701671641.1205611
front-end-55b89655c7-mjcwr,68m,97Mi,1701671663.100434
front-end-55b89655c7-mjcwr,63m,99Mi,1701671684.9892795
front-end-55b89655c7-mjcwr,63m,99Mi,1701671706.9987772
