POD,CPU,MEMORY,TIME
front-end-55b89655c7-mkc77,21m,62Mi,1701674219.77798
front-end-55b89655c7-mkc77,77m,79Mi,1701674241.729057
front-end-55b89655c7-mkc77,59m,92Mi,1701674263.6261902
front-end-55b89655c7-mkc77,57m,94Mi,1701674285.5599947
front-end-55b89655c7-mkc77,63m,98Mi,1701674307.4821527
front-end-55b89655c7-mkc77,72m,99Mi,1701674329.424718
front-end-55b89655c7-mkc77,65m,99Mi,1701674351.4802272
front-end-55b89655c7-mkc77,67m,100Mi,1701674373.4593666
front-end-55b89655c7-mkc77,71m,101Mi,1701674395.38432
front-end-55b89655c7-mkc77,74m,96Mi,1701674417.3653662
front-end-55b89655c7-mkc77,86m,101Mi,1701674439.3540382
front-end-55b89655c7-mkc77,76m,102Mi,1701674461.3323765
front-end-55b89655c7-mkc77,84m,100Mi,1701674483.2827544
front-end-55b89655c7-mkc77,74m,100Mi,1701674505.4206657
front-end-55b89655c7-mkc77,81m,102Mi,1701674527.5559318
front-end-55b89655c7-mkc77,61m,101Mi,1701674549.683741
front-end-55b89655c7-mkc77,56m,101Mi,1701674571.9657698
front-end-55b89655c7-mkc77,63m,96Mi,1701674594.1601956
front-end-55b89655c7-mkc77,63m,96Mi,1701674616.3171334
front-end-55b89655c7-mkc77,48m,100Mi,1701674638.5733736
front-end-55b89655c7-mkc77,60m,100Mi,1701674660.5909567
front-end-55b89655c7-mkc77,84m,100Mi,1701674682.58574
front-end-55b89655c7-mkc77,74m,101Mi,1701674704.4751081
front-end-55b89655c7-mkc77,85m,99Mi,1701674726.4153585
front-end-55b89655c7-mkc77,61m,99Mi,1701674748.3220596
front-end-55b89655c7-mkc77,81m,102Mi,1701674770.2635777
front-end-55b89655c7-mkc77,73m,99Mi,1701674792.289375
front-end-55b89655c7-mkc77,85m,100Mi,1701674814.1724784
front-end-55b89655c7-mkc77,50m,103Mi,1701674836.1528575
