POD,CPU,MEMORY,TIME
front-end-55b89655c7-p4c5m,54m,70Mi,1701675555.9416096
front-end-55b89655c7-p4c5m,77m,81Mi,1701675577.892603
front-end-55b89655c7-p4c5m,75m,105Mi,1701675599.8845375
front-end-55b89655c7-p4c5m,75m,105Mi,1701675621.8669088
front-end-55b89655c7-p4c5m,72m,115Mi,1701675643.8225179
front-end-55b89655c7-p4c5m,66m,117Mi,1701675665.8884063
front-end-55b89655c7-p4c5m,57m,118Mi,1701675687.8251653
front-end-55b89655c7-p4c5m,67m,105Mi,1701675709.7571082
front-end-55b89655c7-p4c5m,80m,107Mi,1701675731.6557794
front-end-55b89655c7-p4c5m,77m,106Mi,1701675753.5773532
front-end-55b89655c7-p4c5m,81m,103Mi,1701675775.7340045
front-end-55b89655c7-p4c5m,93m,102Mi,1701675797.6997116
front-end-55b89655c7-p4c5m,76m,103Mi,1701675819.7414412
front-end-55b89655c7-p4c5m,73m,103Mi,1701675841.9269226
front-end-55b89655c7-p4c5m,88m,105Mi,1701675864.186576
front-end-55b89655c7-p4c5m,62m,104Mi,1701675886.489781
front-end-55b89655c7-p4c5m,81m,105Mi,1701675908.718226
front-end-55b89655c7-p4c5m,65m,102Mi,1701675930.8580718
front-end-55b89655c7-p4c5m,67m,104Mi,1701675952.9911892
front-end-55b89655c7-p4c5m,61m,104Mi,1701675975.0885704
front-end-55b89655c7-p4c5m,54m,105Mi,1701675997.383919
front-end-55b89655c7-p4c5m,65m,104Mi,1701676019.3124597
front-end-55b89655c7-p4c5m,69m,96Mi,1701676041.1650424
front-end-55b89655c7-p4c5m,58m,101Mi,1701676063.187405
front-end-55b89655c7-p4c5m,60m,101Mi,1701676085.0713632
front-end-55b89655c7-p4c5m,59m,104Mi,1701676107.0799558
front-end-55b89655c7-p4c5m,60m,104Mi,1701676128.946672
front-end-55b89655c7-p4c5m,68m,106Mi,1701676150.8843036
front-end-55b89655c7-p4c5m,56m,107Mi,1701676172.7901726
front-end-55b89655c7-p4c5m,58m,106Mi,1701676194.7180011
front-end-55b89655c7-p4c5m,51m,103Mi,1701676216.6819577
front-end-55b89655c7-p4c5m,55m,104Mi,1701676238.7007842
