POD,CPU,MEMORY,TIME
front-end-55b89655c7-pr4x5,58m,65Mi,1701676668.4453866
front-end-55b89655c7-pr4x5,1m,65Mi,1701676690.0329092
front-end-55b89655c7-pr4x5,45m,75Mi,1701676711.6363845
front-end-55b89655c7-pr4x5,75m,79Mi,1701676733.2263088
front-end-55b89655c7-pr4x5,88m,102Mi,1701676754.9200025
front-end-55b89655c7-pr4x5,80m,107Mi,1701676776.5262702
front-end-55b89655c7-pr4x5,80m,113Mi,1701676798.1642764
front-end-55b89655c7-pr4x5,60m,116Mi,1701676819.7843847
front-end-55b89655c7-pr4x5,57m,118Mi,1701676841.3895574
front-end-55b89655c7-pr4x5,57m,118Mi,1701676863.0476828
front-end-55b89655c7-pr4x5,49m,117Mi,1701676884.70492
