POD,CPU,MEMORY,TIME
front-end-55b89655c7-s7fr5,1m,65Mi,1701677997.9889977
front-end-55b89655c7-s7fr5,90m,75Mi,1701678019.602593
front-end-55b89655c7-s7fr5,84m,101Mi,1701678041.3130984
front-end-55b89655c7-s7fr5,104m,104Mi,1701678062.9317815
front-end-55b89655c7-s7fr5,81m,110Mi,1701678084.576628
front-end-55b89655c7-s7fr5,79m,119Mi,1701678106.2627122
front-end-55b89655c7-s7fr5,90m,118Mi,1701678128.066126
front-end-55b89655c7-s7fr5,69m,118Mi,1701678149.9490397
front-end-55b89655c7-s7fr5,84m,107Mi,1701678171.8266075
front-end-55b89655c7-s7fr5,78m,108Mi,1701678193.743376
front-end-55b89655c7-s7fr5,68m,109Mi,1701678215.6050344
front-end-55b89655c7-s7fr5,59m,108Mi,1701678237.4561913
front-end-55b89655c7-s7fr5,76m,98Mi,1701678259.4323611
front-end-55b89655c7-s7fr5,59m,99Mi,1701678281.0425339
front-end-55b89655c7-s7fr5,70m,100Mi,1701678302.6229427
front-end-55b89655c7-s7fr5,69m,99Mi,1701678324.1976829
front-end-55b89655c7-s7fr5,76m,99Mi,1701678345.7915206
front-end-55b89655c7-s7fr5,73m,98Mi,1701678367.5435395
front-end-55b89655c7-s7fr5,67m,102Mi,1701678389.1489248
front-end-55b89655c7-s7fr5,77m,100Mi,1701678410.7332268
front-end-55b89655c7-s7fr5,66m,100Mi,1701678432.31724
front-end-55b89655c7-s7fr5,84m,99Mi,1701678453.9393463
front-end-55b89655c7-s7fr5,90m,100Mi,1701678475.6499693
front-end-55b89655c7-s7fr5,88m,100Mi,1701678497.3343692
front-end-55b89655c7-s7fr5,79m,101Mi,1701678519.1276126
front-end-55b89655c7-s7fr5,86m,99Mi,1701678540.99518
front-end-55b89655c7-s7fr5,78m,97Mi,1701678562.8516395
front-end-55b89655c7-s7fr5,74m,98Mi,1701678584.7943323
front-end-55b89655c7-s7fr5,59m,99Mi,1701678606.6542842
front-end-55b89655c7-s7fr5,75m,100Mi,1701678628.5769954
front-end-55b89655c7-s7fr5,76m,104Mi,1701678650.2615461
front-end-55b89655c7-s7fr5,83m,99Mi,1701678671.8936548
front-end-55b89655c7-s7fr5,97m,100Mi,1701678693.5768282
front-end-55b89655c7-s7fr5,84m,97Mi,1701678715.230874
front-end-55b89655c7-s7fr5,87m,98Mi,1701678736.8493016
front-end-55b89655c7-s7fr5,97m,97Mi,1701678758.4472148
front-end-55b89655c7-s7fr5,86m,100Mi,1701678780.1678407
front-end-55b89655c7-s7fr5,94m,99Mi,1701678802.0718503
front-end-55b89655c7-s7fr5,79m,96Mi,1701678823.8778489
front-end-55b89655c7-s7fr5,62m,98Mi,1701678845.6863625
front-end-55b89655c7-s7fr5,54m,97Mi,1701678867.4802377
front-end-55b89655c7-s7fr5,54m,97Mi,1701678889.2873607
front-end-55b89655c7-s7fr5,53m,98Mi,1701678911.2649612
front-end-55b89655c7-s7fr5,60m,99Mi,1701678932.888692
front-end-55b89655c7-s7fr5,72m,101Mi,1701678954.4645312
front-end-55b89655c7-s7fr5,69m,102Mi,1701678976.0658455
front-end-55b89655c7-s7fr5,57m,102Mi,1701678997.6551015
front-end-55b89655c7-s7fr5,53m,102Mi,1701679019.3263068
front-end-55b89655c7-s7fr5,56m,103Mi,1701679040.8961678
front-end-55b89655c7-s7fr5,40m,97Mi,1701679062.5292757
