POD,CPU,MEMORY,TIME
front-end-55b89655c7-sqdsh,1m,70Mi,1701670046.6343663
front-end-55b89655c7-sqdsh,2m,71Mi,1701670068.669744
front-end-55b89655c7-sqdsh,66m,79Mi,1701670090.6222997
front-end-55b89655c7-sqdsh,66m,79Mi,1701670112.4871552
front-end-55b89655c7-sqdsh,53m,98Mi,1701670134.3489847
front-end-55b89655c7-sqdsh,62m,100Mi,1701670158.3810763
front-end-55b89655c7-sqdsh,63m,97Mi,1701670180.2152205
front-end-55b89655c7-sqdsh,63m,95Mi,1701670202.119134
front-end-55b89655c7-sqdsh,66m,101Mi,1701670223.9594324
front-end-55b89655c7-sqdsh,69m,100Mi,1701670245.8486845
front-end-55b89655c7-sqdsh,62m,99Mi,1701670267.7467566
front-end-55b89655c7-sqdsh,63m,99Mi,1701670289.630706
front-end-55b89655c7-sqdsh,59m,99Mi,1701670311.6653278
front-end-55b89655c7-sqdsh,52m,100Mi,1701670333.6408854
