POD,CPU,MEMORY,TIME
front-end-55b89655c7-t5fv5,2m,67Mi,1701669222.2729206
front-end-55b89655c7-t5fv5,1m,67Mi,1701669243.8423657
front-end-55b89655c7-t5fv5,48m,69Mi,1701669265.398559
front-end-55b89655c7-t5fv5,58m,73Mi,1701669286.9688942
front-end-55b89655c7-t5fv5,67m,81Mi,1701669308.5767627
front-end-55b89655c7-t5fv5,62m,91Mi,1701669330.259221
front-end-55b89655c7-t5fv5,66m,95Mi,1701669351.8742635
front-end-55b89655c7-t5fv5,66m,97Mi,1701669373.5011277
front-end-55b89655c7-t5fv5,61m,96Mi,1701669395.0868325
front-end-55b89655c7-t5fv5,49m,97Mi,1701669416.784553
