POD,CPU,MEMORY,TIME
front-end-55b89655c7-29gmv,53m,60Mi,1701701972.4534602
front-end-55b89655c7-29gmv,99m,73Mi,1701701994.9441473
front-end-55b89655c7-29gmv,84m,94Mi,1701702017.4496377
front-end-55b89655c7-29gmv,91m,99Mi,1701702039.9721165
front-end-55b89655c7-29gmv,85m,106Mi,1701702062.7869797
front-end-55b89655c7-29gmv,69m,108Mi,1701702085.5258958
front-end-55b89655c7-29gmv,81m,110Mi,1701702108.285982
front-end-55b89655c7-29gmv,74m,98Mi,1701702131.0140853
front-end-55b89655c7-29gmv,71m,97Mi,1701702153.681108
front-end-55b89655c7-29gmv,87m,99Mi,1701702176.5414405
front-end-55b89655c7-29gmv,67m,100Mi,1701702199.4612844
front-end-55b89655c7-29gmv,80m,98Mi,1701702222.3378675
front-end-55b89655c7-29gmv,73m,98Mi,1701702245.4104555
front-end-55b89655c7-29gmv,86m,101Mi,1701702268.5814307
front-end-55b89655c7-29gmv,69m,102Mi,1701702291.9873993
front-end-55b89655c7-29gmv,85m,98Mi,1701702315.15034
front-end-55b89655c7-29gmv,67m,96Mi,1701702338.492581
front-end-55b89655c7-29gmv,79m,98Mi,1701702361.8926497
front-end-55b89655c7-29gmv,74m,99Mi,1701702385.1824024
front-end-55b89655c7-29gmv,73m,98Mi,1701702408.0508583
front-end-55b89655c7-29gmv,84m,99Mi,1701702430.706889
front-end-55b89655c7-29gmv,64m,97Mi,1701702453.5192842
front-end-55b89655c7-29gmv,76m,102Mi,1701702476.2108307
front-end-55b89655c7-29gmv,66m,101Mi,1701702498.967405
front-end-55b89655c7-29gmv,72m,99Mi,1701702522.0144064
front-end-55b89655c7-29gmv,84m,99Mi,1701702544.5774226
front-end-55b89655c7-29gmv,77m,99Mi,1701702567.1092458
front-end-55b89655c7-29gmv,72m,98Mi,1701702589.1601477
front-end-55b89655c7-29gmv,83m,99Mi,1701702611.6807742
front-end-55b89655c7-29gmv,72m,100Mi,1701702634.1879935
front-end-55b89655c7-29gmv,59m,100Mi,1701702656.649695
front-end-55b89655c7-29gmv,73m,99Mi,1701702679.1023457
front-end-55b89655c7-29gmv,64m,100Mi,1701702701.5902674
front-end-55b89655c7-29gmv,64m,99Mi,1701702724.0133317
front-end-55b89655c7-29gmv,80m,99Mi,1701702746.4870188
front-end-55b89655c7-29gmv,53m,97Mi,1701702768.815061
front-end-55b89655c7-29gmv,47m,99Mi,1701702791.2053661
