POD,CPU,MEMORY,TIME
front-end-55b89655c7-6sndq,78m,79Mi,1701700870.4205506
front-end-55b89655c7-6sndq,79m,98Mi,1701700892.4366543
front-end-55b89655c7-6sndq,79m,98Mi,1701700914.5567658
front-end-55b89655c7-6sndq,72m,109Mi,1701700936.544165
front-end-55b89655c7-6sndq,88m,113Mi,1701700958.765296
front-end-55b89655c7-6sndq,96m,117Mi,1701700980.9406996
front-end-55b89655c7-6sndq,66m,115Mi,1701701003.1654918
front-end-55b89655c7-6sndq,62m,103Mi,1701701025.4342754
front-end-55b89655c7-6sndq,44m,102Mi,1701701047.708402
front-end-55b89655c7-6sndq,59m,101Mi,1701701070.0135818
front-end-55b89655c7-6sndq,63m,98Mi,1701701092.4049816
front-end-55b89655c7-6sndq,66m,100Mi,1701701114.4005833
front-end-55b89655c7-6sndq,71m,101Mi,1701701136.2641182
front-end-55b89655c7-6sndq,69m,100Mi,1701701158.1714957
front-end-55b89655c7-6sndq,59m,98Mi,1701701180.1480913
front-end-55b89655c7-6sndq,73m,99Mi,1701701202.1514328
front-end-55b89655c7-6sndq,55m,99Mi,1701701224.1053472
front-end-55b89655c7-6sndq,60m,101Mi,1701701246.114971
