POD,CPU,MEMORY,TIME
front-end-55b89655c7-djwmh,56m,65Mi,1701700454.4525774
front-end-55b89655c7-djwmh,1m,65Mi,1701700476.4404883
front-end-55b89655c7-djwmh,67m,71Mi,1701700498.4345267
front-end-55b89655c7-djwmh,80m,73Mi,1701700520.473144
front-end-55b89655c7-djwmh,62m,92Mi,1701700542.5098753
front-end-55b89655c7-djwmh,66m,94Mi,1701700564.4690158
front-end-55b89655c7-djwmh,57m,95Mi,1701700586.3992083
front-end-55b89655c7-djwmh,63m,96Mi,1701700608.3123949
front-end-55b89655c7-djwmh,60m,96Mi,1701700630.2692
front-end-55b89655c7-djwmh,56m,96Mi,1701700652.1043801
front-end-55b89655c7-djwmh,54m,95Mi,1701700674.0124886
