POD,CPU,MEMORY,TIME
front-end-55b89655c7-dnv5p,67m,65Mi,1701703186.6890328
front-end-55b89655c7-dnv5p,67m,65Mi,1701703208.7327328
front-end-55b89655c7-dnv5p,14m,56Mi,1701703230.786842
front-end-55b89655c7-dnv5p,99m,75Mi,1701703252.9090545
front-end-55b89655c7-dnv5p,71m,80Mi,1701703274.9445143
front-end-55b89655c7-dnv5p,66m,97Mi,1701703297.0715284
front-end-55b89655c7-dnv5p,50m,100Mi,1701703318.7730584
front-end-55b89655c7-dnv5p,69m,106Mi,1701703340.4346466
front-end-55b89655c7-dnv5p,56m,107Mi,1701703362.0927207
front-end-55b89655c7-dnv5p,52m,108Mi,1701703383.793894
