POD,CPU,MEMORY,TIME
front-end-55b89655c7-m7cfs,2m,65Mi,1701702085.5258958
front-end-55b89655c7-m7cfs,16m,55Mi,1701702108.285982
front-end-55b89655c7-m7cfs,64m,73Mi,1701702131.0140853
front-end-55b89655c7-m7cfs,90m,75Mi,1701702153.681108
front-end-55b89655c7-m7cfs,74m,99Mi,1701702176.5414405
front-end-55b89655c7-m7cfs,71m,102Mi,1701702199.4612844
front-end-55b89655c7-m7cfs,88m,109Mi,1701702222.3378675
front-end-55b89655c7-m7cfs,64m,109Mi,1701702245.4104555
front-end-55b89655c7-m7cfs,74m,95Mi,1701702268.5814307
front-end-55b89655c7-m7cfs,53m,97Mi,1701702291.9873993
front-end-55b89655c7-m7cfs,77m,98Mi,1701702315.15034
front-end-55b89655c7-m7cfs,81m,100Mi,1701702338.492581
front-end-55b89655c7-m7cfs,62m,101Mi,1701702361.8926497
front-end-55b89655c7-m7cfs,72m,97Mi,1701702385.1824024
front-end-55b89655c7-m7cfs,76m,98Mi,1701702408.0508583
front-end-55b89655c7-m7cfs,71m,99Mi,1701702430.706889
front-end-55b89655c7-m7cfs,55m,97Mi,1701702453.5192842
front-end-55b89655c7-m7cfs,57m,98Mi,1701702476.2108307
front-end-55b89655c7-m7cfs,59m,100Mi,1701702498.967405
front-end-55b89655c7-m7cfs,62m,98Mi,1701702522.0144064
