POD,CPU,MEMORY,TIME
front-end-55b89655c7-q9jl9,1m,65Mi,1701695820.0276477
front-end-55b89655c7-q9jl9,2m,66Mi,1701695841.6939754
front-end-55b89655c7-q9jl9,55m,71Mi,1701695863.2633376
front-end-55b89655c7-q9jl9,55m,71Mi,1701695884.8284116
front-end-55b89655c7-q9jl9,57m,90Mi,1701695906.4201317
front-end-55b89655c7-q9jl9,66m,93Mi,1701695927.9972067
front-end-55b89655c7-q9jl9,81m,93Mi,1701695949.656961
front-end-55b89655c7-q9jl9,61m,96Mi,1701695971.247136
front-end-55b89655c7-q9jl9,71m,94Mi,1701695992.866459
front-end-55b89655c7-q9jl9,78m,94Mi,1701696014.4895635
front-end-55b89655c7-q9jl9,78m,94Mi,1701696036.0830183
front-end-55b89655c7-q9jl9,65m,94Mi,1701696057.7591279
front-end-55b89655c7-q9jl9,73m,95Mi,1701696079.319742
front-end-55b89655c7-q9jl9,80m,96Mi,1701696100.8609488
front-end-55b89655c7-q9jl9,86m,94Mi,1701696122.425554
front-end-55b89655c7-q9jl9,88m,96Mi,1701696143.9637601
front-end-55b89655c7-q9jl9,88m,94Mi,1701696165.6271694
front-end-55b89655c7-q9jl9,88m,94Mi,1701696187.1854105
front-end-55b89655c7-q9jl9,72m,96Mi,1701696208.7775502
front-end-55b89655c7-q9jl9,71m,96Mi,1701696230.3818388
front-end-55b89655c7-q9jl9,55m,95Mi,1701696251.9842777
front-end-55b89655c7-q9jl9,62m,94Mi,1701696273.664734
front-end-55b89655c7-q9jl9,60m,92Mi,1701696295.2676997
front-end-55b89655c7-q9jl9,63m,93Mi,1701696316.8395286
front-end-55b89655c7-q9jl9,62m,94Mi,1701696338.458085
front-end-55b89655c7-q9jl9,66m,95Mi,1701696360.0629642
front-end-55b89655c7-q9jl9,84m,93Mi,1701696381.7708447
front-end-55b89655c7-q9jl9,67m,96Mi,1701696403.383913
front-end-55b89655c7-q9jl9,78m,95Mi,1701696425.0512667
front-end-55b89655c7-q9jl9,66m,92Mi,1701696446.8832502
front-end-55b89655c7-q9jl9,52m,91Mi,1701696468.7285793
front-end-55b89655c7-q9jl9,61m,95Mi,1701696490.6574156
