POD,CPU,MEMORY,TIME
front-end-55b89655c7-s8xs6,89m,91Mi,1701704456.5755591
front-end-55b89655c7-s8xs6,89m,91Mi,1701704478.328047
front-end-55b89655c7-s8xs6,87m,102Mi,1701704499.9494574
front-end-55b89655c7-s8xs6,89m,114Mi,1701704521.6218119
front-end-55b89655c7-s8xs6,75m,117Mi,1701704543.2771437
front-end-55b89655c7-s8xs6,90m,121Mi,1701704564.9470685
front-end-55b89655c7-s8xs6,70m,120Mi,1701704586.7664368
front-end-55b89655c7-s8xs6,94m,101Mi,1701704608.634817
front-end-55b89655c7-s8xs6,67m,99Mi,1701704630.5290375
front-end-55b89655c7-s8xs6,72m,98Mi,1701704652.4573264
front-end-55b89655c7-s8xs6,64m,101Mi,1701704674.319301
front-end-55b89655c7-s8xs6,47m,101Mi,1701704696.2918723
front-end-55b89655c7-s8xs6,58m,98Mi,1701704718.2846124
front-end-55b89655c7-s8xs6,74m,93Mi,1701704740.0003178
front-end-55b89655c7-s8xs6,54m,98Mi,1701704761.682817
front-end-55b89655c7-s8xs6,98m,99Mi,1701704783.340788
front-end-55b89655c7-s8xs6,92m,102Mi,1701704805.1054277
front-end-55b89655c7-s8xs6,70m,101Mi,1701704826.765542
front-end-55b89655c7-s8xs6,73m,100Mi,1701704848.4364903
front-end-55b89655c7-s8xs6,70m,102Mi,1701704870.0769706
front-end-55b89655c7-s8xs6,84m,101Mi,1701704891.7118645
front-end-55b89655c7-s8xs6,89m,100Mi,1701704913.3784118
front-end-55b89655c7-s8xs6,92m,100Mi,1701704934.9932957
front-end-55b89655c7-s8xs6,91m,98Mi,1701704956.6036196
front-end-55b89655c7-s8xs6,78m,99Mi,1701704978.2246912
front-end-55b89655c7-s8xs6,87m,99Mi,1701704999.8538508
front-end-55b89655c7-s8xs6,77m,100Mi,1701705021.6683218
front-end-55b89655c7-s8xs6,90m,101Mi,1701705043.498471
front-end-55b89655c7-s8xs6,71m,101Mi,1701705065.4235966
front-end-55b89655c7-s8xs6,75m,101Mi,1701705087.3452914
front-end-55b89655c7-s8xs6,67m,101Mi,1701705109.2877593
front-end-55b89655c7-s8xs6,85m,100Mi,1701705131.3108847
front-end-55b89655c7-s8xs6,75m,101Mi,1701705153.277793
front-end-55b89655c7-s8xs6,64m,100Mi,1701705175.2212594
front-end-55b89655c7-s8xs6,72m,97Mi,1701705197.3511329
front-end-55b89655c7-s8xs6,77m,98Mi,1701705219.522372
front-end-55b89655c7-s8xs6,66m,98Mi,1701705241.5559165
front-end-55b89655c7-s8xs6,73m,100Mi,1701705263.518886
front-end-55b89655c7-s8xs6,65m,101Mi,1701705285.6545732
front-end-55b89655c7-s8xs6,51m,101Mi,1701705307.648363
front-end-55b89655c7-s8xs6,63m,102Mi,1701705329.35535
front-end-55b89655c7-s8xs6,64m,100Mi,1701705351.1022103
front-end-55b89655c7-s8xs6,64m,102Mi,1701705372.781962
front-end-55b89655c7-s8xs6,61m,104Mi,1701705394.4031515
front-end-55b89655c7-s8xs6,63m,102Mi,1701705416.0283716
front-end-55b89655c7-s8xs6,63m,102Mi,1701705437.666279
front-end-55b89655c7-s8xs6,54m,102Mi,1701705459.3706708
front-end-55b89655c7-s8xs6,45m,104Mi,1701705481.017919
front-end-55b89655c7-s8xs6,33m,103Mi,1701705502.6046371
front-end-55b89655c7-s8xs6,3m,103Mi,1701705524.2348003
