POD,CPU,MEMORY,TIME
front-end-55b89655c7-tkqrv,21m,63Mi,1701696446.8832502
front-end-55b89655c7-tkqrv,21m,63Mi,1701696468.7285793
front-end-55b89655c7-tkqrv,51m,78Mi,1701696490.6574156
front-end-55b89655c7-tkqrv,53m,95Mi,1701696512.4856262
front-end-55b89655c7-tkqrv,63m,96Mi,1701696534.337091
front-end-55b89655c7-tkqrv,92m,99Mi,1701696556.2121303
front-end-55b89655c7-tkqrv,50m,99Mi,1701696578.0685017
front-end-55b89655c7-tkqrv,78m,100Mi,1701696600.0196366
front-end-55b89655c7-tkqrv,68m,100Mi,1701696621.9120588
front-end-55b89655c7-tkqrv,60m,95Mi,1701696643.376314
front-end-55b89655c7-tkqrv,62m,100Mi,1701696665.3215327
front-end-55b89655c7-tkqrv,73m,100Mi,1701696687.1571984
front-end-55b89655c7-tkqrv,39m,99Mi,1701696709.120649
