POD,CPU,MEMORY,TIME
front-end-55b89655c7-zv6qp,2m,66Mi,1701705043.498471
front-end-55b89655c7-zv6qp,62m,66Mi,1701705065.4235966
front-end-55b89655c7-zv6qp,81m,80Mi,1701705087.3452914
front-end-55b89655c7-zv6qp,82m,92Mi,1701705109.2877593
front-end-55b89655c7-zv6qp,69m,96Mi,1701705131.3108847
front-end-55b89655c7-zv6qp,70m,94Mi,1701705153.277793
front-end-55b89655c7-zv6qp,78m,95Mi,1701705175.2212594
front-end-55b89655c7-zv6qp,77m,92Mi,1701705197.3511329
front-end-55b89655c7-zv6qp,66m,94Mi,1701705219.522372
front-end-55b89655c7-zv6qp,72m,94Mi,1701705241.5559165
front-end-55b89655c7-zv6qp,46m,97Mi,1701705263.518886
front-end-55b89655c7-zv6qp,70m,96Mi,1701705285.6545732
front-end-55b89655c7-zv6qp,64m,96Mi,1701705307.648363
