POD,CPU,MEMORY,TIME
front-end-55b89655c7-4dw78,67m,65Mi,1701758312.2895045
front-end-55b89655c7-4dw78,1m,65Mi,1701758334.2280657
front-end-55b89655c7-4dw78,16m,56Mi,1701758356.1928186
front-end-55b89655c7-4dw78,70m,72Mi,1701758378.0841098
front-end-55b89655c7-4dw78,78m,88Mi,1701758400.020596
front-end-55b89655c7-4dw78,65m,95Mi,1701758421.966059
front-end-55b89655c7-4dw78,75m,95Mi,1701758443.8990686
front-end-55b89655c7-4dw78,58m,96Mi,1701758465.8929234
front-end-55b89655c7-4dw78,65m,95Mi,1701758487.767802
front-end-55b89655c7-4dw78,60m,92Mi,1701758509.6639812
front-end-55b89655c7-4dw78,54m,91Mi,1701758531.6232324
