POD,CPU,MEMORY,TIME
front-end-55b89655c7-5t8xw,1m,65Mi,1701761851.018275
front-end-55b89655c7-5t8xw,70m,65Mi,1701761872.9636295
front-end-55b89655c7-5t8xw,70m,92Mi,1701761894.936204
front-end-55b89655c7-5t8xw,70m,92Mi,1701761916.8588276
front-end-55b89655c7-5t8xw,74m,94Mi,1701761938.8238754
front-end-55b89655c7-5t8xw,61m,95Mi,1701761960.9843287
front-end-55b89655c7-5t8xw,58m,94Mi,1701761983.1132984
front-end-55b89655c7-5t8xw,46m,98Mi,1701762005.2428453
front-end-55b89655c7-5t8xw,47m,97Mi,1701762027.4197168
front-end-55b89655c7-5t8xw,55m,87Mi,1701762049.6071124
front-end-55b89655c7-5t8xw,75m,92Mi,1701762072.0475416
front-end-55b89655c7-5t8xw,87m,94Mi,1701762094.071271
front-end-55b89655c7-5t8xw,86m,93Mi,1701762116.0502667
front-end-55b89655c7-5t8xw,65m,94Mi,1701762138.0071032
front-end-55b89655c7-5t8xw,74m,94Mi,1701762159.9925818
front-end-55b89655c7-5t8xw,77m,94Mi,1701762182.0091634
front-end-55b89655c7-5t8xw,86m,95Mi,1701762204.0129392
front-end-55b89655c7-5t8xw,80m,95Mi,1701762225.9727468
front-end-55b89655c7-5t8xw,75m,97Mi,1701762247.9692569
front-end-55b89655c7-5t8xw,85m,95Mi,1701762269.9706006
front-end-55b89655c7-5t8xw,55m,96Mi,1701762292.2472203
front-end-55b89655c7-5t8xw,52m,97Mi,1701762314.4577236
front-end-55b89655c7-5t8xw,58m,96Mi,1701762336.666176
front-end-55b89655c7-5t8xw,48m,91Mi,1701762358.7993958
front-end-55b89655c7-5t8xw,44m,91Mi,1701762380.9070933
front-end-55b89655c7-5t8xw,60m,90Mi,1701762403.159346
front-end-55b89655c7-5t8xw,56m,91Mi,1701762425.2474933
front-end-55b89655c7-5t8xw,72m,93Mi,1701762447.2606006
front-end-55b89655c7-5t8xw,81m,96Mi,1701762469.2040176
front-end-55b89655c7-5t8xw,66m,96Mi,1701762491.2124126
front-end-55b89655c7-5t8xw,66m,95Mi,1701762513.4594147
front-end-55b89655c7-5t8xw,65m,95Mi,1701762535.363594
front-end-55b89655c7-5t8xw,57m,95Mi,1701762557.2896674
front-end-55b89655c7-5t8xw,59m,95Mi,1701762579.246628
front-end-55b89655c7-5t8xw,66m,95Mi,1701762601.2360992
front-end-55b89655c7-5t8xw,67m,95Mi,1701762623.4040532
front-end-55b89655c7-5t8xw,88m,95Mi,1701762645.628352
front-end-55b89655c7-5t8xw,59m,97Mi,1701762667.807228
front-end-55b89655c7-5t8xw,61m,96Mi,1701762689.9442084
front-end-55b89655c7-5t8xw,78m,96Mi,1701762712.1195445
front-end-55b89655c7-5t8xw,62m,96Mi,1701762734.5824387
front-end-55b89655c7-5t8xw,90m,97Mi,1701762756.9274094
front-end-55b89655c7-5t8xw,73m,93Mi,1701762778.8543496
front-end-55b89655c7-5t8xw,76m,93Mi,1701762800.8668113
front-end-55b89655c7-5t8xw,67m,93Mi,1701762822.717186
front-end-55b89655c7-5t8xw,72m,95Mi,1701762844.6233885
front-end-55b89655c7-5t8xw,55m,95Mi,1701762866.5560176
front-end-55b89655c7-5t8xw,66m,94Mi,1701762888.4765816
front-end-55b89655c7-5t8xw,81m,94Mi,1701762910.4058406
front-end-55b89655c7-5t8xw,63m,96Mi,1701762932.47477
front-end-55b89655c7-5t8xw,61m,97Mi,1701762954.7424788
front-end-55b89655c7-5t8xw,64m,95Mi,1701762976.8364615
front-end-55b89655c7-5t8xw,58m,100Mi,1701762998.9422905
front-end-55b89655c7-5t8xw,53m,99Mi,1701763021.069365
front-end-55b89655c7-5t8xw,54m,99Mi,1701763043.2863328
front-end-55b89655c7-5t8xw,78m,99Mi,1701763065.358357
front-end-55b89655c7-5t8xw,77m,97Mi,1701763087.3495429
front-end-55b89655c7-5t8xw,69m,97Mi,1701763109.2610343
front-end-55b89655c7-5t8xw,95m,98Mi,1701763131.2733433
front-end-55b89655c7-5t8xw,89m,98Mi,1701763153.2117252
front-end-55b89655c7-5t8xw,77m,98Mi,1701763175.2549725
front-end-55b89655c7-5t8xw,76m,97Mi,1701763197.2560072
front-end-55b89655c7-5t8xw,71m,97Mi,1701763219.3096185
front-end-55b89655c7-5t8xw,74m,97Mi,1701763241.2184505
front-end-55b89655c7-5t8xw,73m,98Mi,1701763263.1324193
front-end-55b89655c7-5t8xw,86m,97Mi,1701763285.0720286
front-end-55b89655c7-5t8xw,69m,96Mi,1701763306.9711943
front-end-55b89655c7-5t8xw,87m,97Mi,1701763329.028275
front-end-55b89655c7-5t8xw,67m,96Mi,1701763351.0753691
front-end-55b89655c7-5t8xw,83m,93Mi,1701763373.32448
front-end-55b89655c7-5t8xw,56m,93Mi,1701763395.5711179
front-end-55b89655c7-5t8xw,62m,96Mi,1701763417.7531257
front-end-55b89655c7-5t8xw,58m,92Mi,1701763439.9633553
front-end-55b89655c7-5t8xw,53m,95Mi,1701763462.3263717
front-end-55b89655c7-5t8xw,82m,95Mi,1701763484.3585544
front-end-55b89655c7-5t8xw,82m,95Mi,1701763506.3689532
front-end-55b89655c7-5t8xw,66m,96Mi,1701763528.436244
front-end-55b89655c7-5t8xw,66m,96Mi,1701763550.4743617
front-end-55b89655c7-5t8xw,75m,93Mi,1701763572.5758064
front-end-55b89655c7-5t8xw,82m,96Mi,1701763594.7259336
front-end-55b89655c7-5t8xw,51m,94Mi,1701763616.895137
front-end-55b89655c7-5t8xw,62m,93Mi,1701763639.0243654
front-end-55b89655c7-5t8xw,58m,93Mi,1701763661.2887821
front-end-55b89655c7-5t8xw,78m,96Mi,1701763683.6355686
front-end-55b89655c7-5t8xw,66m,95Mi,1701763706.3680816
front-end-55b89655c7-5t8xw,88m,97Mi,1701763728.7901344
front-end-55b89655c7-5t8xw,53m,97Mi,1701763750.9707217
front-end-55b89655c7-5t8xw,50m,98Mi,1701763773.2873871
front-end-55b89655c7-5t8xw,72m,99Mi,1701763795.3413873
front-end-55b89655c7-5t8xw,72m,89Mi,1701763817.3638272
front-end-55b89655c7-5t8xw,60m,90Mi,1701763839.5227623
front-end-55b89655c7-5t8xw,38m,94Mi,1701763869.6864917
front-end-55b89655c7-5t8xw,64m,93Mi,1701763891.1690645
front-end-55b89655c7-5t8xw,68m,94Mi,1701763913.1381977
front-end-55b89655c7-5t8xw,61m,96Mi,1701763935.2223256
front-end-55b89655c7-5t8xw,56m,96Mi,1701763957.3686907
front-end-55b89655c7-5t8xw,31m,93Mi,1701763979.4025414
