POD,CPU,MEMORY,TIME
front-end-55b89655c7-c7f24,38m,61Mi,1701767236.2851474
front-end-55b89655c7-c7f24,78m,75Mi,1701767258.2269707
front-end-55b89655c7-c7f24,67m,99Mi,1701767280.1525364
front-end-55b89655c7-c7f24,67m,99Mi,1701767302.0797763
front-end-55b89655c7-c7f24,60m,107Mi,1701767323.996399
front-end-55b89655c7-c7f24,64m,112Mi,1701767346.0300765
front-end-55b89655c7-c7f24,76m,110Mi,1701767367.992914
front-end-55b89655c7-c7f24,76m,110Mi,1701767389.9960968
front-end-55b89655c7-c7f24,64m,105Mi,1701767412.0037942
front-end-55b89655c7-c7f24,64m,105Mi,1701767434.0556424
front-end-55b89655c7-c7f24,82m,100Mi,1701767456.3263547
front-end-55b89655c7-c7f24,66m,104Mi,1701767478.5876844
front-end-55b89655c7-c7f24,45m,103Mi,1701767500.80219
front-end-55b89655c7-c7f24,44m,102Mi,1701767522.9640996
front-end-55b89655c7-c7f24,51m,99Mi,1701767545.1355178
front-end-55b89655c7-c7f24,46m,98Mi,1701767567.4479702
front-end-55b89655c7-c7f24,48m,98Mi,1701767589.3564153
front-end-55b89655c7-c7f24,61m,103Mi,1701767611.1961696
front-end-55b89655c7-c7f24,49m,99Mi,1701767633.0842218
front-end-55b89655c7-c7f24,54m,101Mi,1701767654.9656441
front-end-55b89655c7-c7f24,58m,103Mi,1701767676.9402812
front-end-55b89655c7-c7f24,52m,101Mi,1701767698.8621857
