POD,CPU,MEMORY,TIME
front-end-55b89655c7-dwbp6,3m,66Mi,1701764153.8728836
front-end-55b89655c7-dwbp6,64m,70Mi,1701764175.9686193
front-end-55b89655c7-dwbp6,59m,69Mi,1701764197.9069252
front-end-55b89655c7-dwbp6,69m,88Mi,1701764219.8802867
front-end-55b89655c7-dwbp6,72m,94Mi,1701764241.8909645
front-end-55b89655c7-dwbp6,73m,94Mi,1701764263.8713703
front-end-55b89655c7-dwbp6,101m,94Mi,1701764288.098013
front-end-55b89655c7-dwbp6,78m,97Mi,1701764310.491356
front-end-55b89655c7-dwbp6,73m,94Mi,1701764332.8215706
front-end-55b89655c7-dwbp6,61m,96Mi,1701764355.248031
front-end-55b89655c7-dwbp6,55m,93Mi,1701764377.447923
front-end-55b89655c7-dwbp6,57m,93Mi,1701764399.7071722
front-end-55b89655c7-dwbp6,62m,96Mi,1701764421.965846
front-end-55b89655c7-dwbp6,86m,94Mi,1701764443.9861846
front-end-55b89655c7-dwbp6,78m,95Mi,1701764465.912189
front-end-55b89655c7-dwbp6,88m,93Mi,1701764487.9507003
front-end-55b89655c7-dwbp6,85m,94Mi,1701764510.4485316
front-end-55b89655c7-dwbp6,81m,97Mi,1701764533.328921
front-end-55b89655c7-dwbp6,71m,94Mi,1701764555.444897
front-end-55b89655c7-dwbp6,77m,94Mi,1701764577.4121087
front-end-55b89655c7-dwbp6,42m,93Mi,1701764614.664268
front-end-55b89655c7-dwbp6,78m,96Mi,1701764636.2319777
front-end-55b89655c7-dwbp6,74m,96Mi,1701764658.2211716
front-end-55b89655c7-dwbp6,67m,97Mi,1701764680.3120155
front-end-55b89655c7-dwbp6,69m,96Mi,1701764702.4871907
front-end-55b89655c7-dwbp6,52m,97Mi,1701764724.6555276
front-end-55b89655c7-dwbp6,54m,97Mi,1701764746.8689623
front-end-55b89655c7-dwbp6,56m,97Mi,1701764769.0121298
front-end-55b89655c7-dwbp6,58m,99Mi,1701764791.2306418
front-end-55b89655c7-dwbp6,61m,95Mi,1701764813.1651366
front-end-55b89655c7-dwbp6,75m,93Mi,1701764835.0848236
front-end-55b89655c7-dwbp6,53m,94Mi,1701764857.1162815
front-end-55b89655c7-dwbp6,52m,96Mi,1701764879.02724
front-end-55b89655c7-dwbp6,64m,95Mi,1701764900.9239209
front-end-55b89655c7-dwbp6,56m,97Mi,1701764922.7873595
front-end-55b89655c7-dwbp6,49m,95Mi,1701764944.7544901
