POD,CPU,MEMORY,TIME
front-end-55b89655c7-fhfx6,51m,65Mi,1701766799.662635
front-end-55b89655c7-fhfx6,51m,65Mi,1701766821.725865
front-end-55b89655c7-fhfx6,62m,71Mi,1701766843.623479
front-end-55b89655c7-fhfx6,83m,74Mi,1701766865.6131792
front-end-55b89655c7-fhfx6,73m,91Mi,1701766887.5536692
front-end-55b89655c7-fhfx6,66m,92Mi,1701766909.5868897
front-end-55b89655c7-fhfx6,67m,94Mi,1701766931.5105026
front-end-55b89655c7-fhfx6,74m,98Mi,1701766953.403856
front-end-55b89655c7-fhfx6,56m,96Mi,1701766975.2866163
front-end-55b89655c7-fhfx6,56m,96Mi,1701766997.271005
front-end-55b89655c7-fhfx6,21m,96Mi,1701767019.0404444
