POD,CPU,MEMORY,TIME
front-end-55b89655c7-fsk4p,47m,65Mi,1701760211.6458483
front-end-55b89655c7-fsk4p,1m,65Mi,1701760233.7691789
front-end-55b89655c7-fsk4p,44m,64Mi,1701760255.7415543
front-end-55b89655c7-fsk4p,86m,73Mi,1701760277.6971202
front-end-55b89655c7-fsk4p,54m,74Mi,1701760299.5904064
front-end-55b89655c7-fsk4p,52m,90Mi,1701760321.6039703
front-end-55b89655c7-fsk4p,66m,90Mi,1701760343.566718
front-end-55b89655c7-fsk4p,56m,94Mi,1701760365.4769828
front-end-55b89655c7-fsk4p,85m,94Mi,1701760387.3625207
front-end-55b89655c7-fsk4p,61m,96Mi,1701760409.2124298
front-end-55b89655c7-fsk4p,68m,96Mi,1701760431.2311127
