POD,CPU,MEMORY,TIME
front-end-55b89655c7-pbc7x,4m,66Mi,1701760604.986311
front-end-55b89655c7-pbc7x,87m,70Mi,1701760626.932632
front-end-55b89655c7-pbc7x,72m,97Mi,1701760648.95862
front-end-55b89655c7-pbc7x,70m,101Mi,1701760670.8983347
front-end-55b89655c7-pbc7x,66m,106Mi,1701760692.8650367
front-end-55b89655c7-pbc7x,83m,110Mi,1701760714.8274865
front-end-55b89655c7-pbc7x,68m,114Mi,1701760736.7667918
front-end-55b89655c7-pbc7x,62m,115Mi,1701760758.9665134
front-end-55b89655c7-pbc7x,67m,115Mi,1701760781.1648395
front-end-55b89655c7-pbc7x,58m,106Mi,1701760803.3046412
front-end-55b89655c7-pbc7x,48m,104Mi,1701760825.4790757
front-end-55b89655c7-pbc7x,44m,103Mi,1701760847.6696875
front-end-55b89655c7-pbc7x,45m,104Mi,1701760869.8883727
front-end-55b89655c7-pbc7x,53m,101Mi,1701760892.0497031
front-end-55b89655c7-pbc7x,53m,100Mi,1701760913.9577765
front-end-55b89655c7-pbc7x,68m,91Mi,1701760935.8394892
front-end-55b89655c7-pbc7x,68m,91Mi,1701760957.706209
front-end-55b89655c7-pbc7x,52m,96Mi,1701760979.655131
front-end-55b89655c7-pbc7x,50m,97Mi,1701761001.4893644
front-end-55b89655c7-pbc7x,56m,95Mi,1701761023.4380553
