POD,CPU,MEMORY,TIME
front-end-55b89655c7-pc9l2,67m,66Mi,1701766004.0686376
front-end-55b89655c7-pc9l2,63m,74Mi,1701766025.689601
front-end-55b89655c7-pc9l2,68m,94Mi,1701766047.3772073
front-end-55b89655c7-pc9l2,44m,95Mi,1701766068.9977026
front-end-55b89655c7-pc9l2,50m,94Mi,1701766090.6028473
front-end-55b89655c7-pc9l2,48m,96Mi,1701766112.2599046
front-end-55b89655c7-pc9l2,46m,94Mi,1701766133.8775156
front-end-55b89655c7-pc9l2,50m,95Mi,1701766155.5246515
front-end-55b89655c7-pc9l2,47m,93Mi,1701766177.101145
front-end-55b89655c7-pc9l2,31m,94Mi,1701766198.7133677
front-end-55b89655c7-pc9l2,29m,92Mi,1701766220.3749273
