POD,CPU,MEMORY,TIME
front-end-55b89655c7-qkxm2,1m,66Mi,1701765267.8925457
front-end-55b89655c7-qkxm2,41m,60Mi,1701765289.565863
front-end-55b89655c7-qkxm2,47m,66Mi,1701765311.1435716
front-end-55b89655c7-qkxm2,48m,70Mi,1701765332.7278457
front-end-55b89655c7-qkxm2,64m,79Mi,1701765354.4062884
front-end-55b89655c7-qkxm2,87m,93Mi,1701765376.042184
front-end-55b89655c7-qkxm2,62m,94Mi,1701765397.7392838
front-end-55b89655c7-qkxm2,71m,95Mi,1701765419.3777325
front-end-55b89655c7-qkxm2,78m,94Mi,1701765441.0033073
front-end-55b89655c7-qkxm2,78m,94Mi,1701765462.6371863
front-end-55b89655c7-qkxm2,97m,95Mi,1701765484.3276567
front-end-55b89655c7-qkxm2,67m,94Mi,1701765506.134177
front-end-55b89655c7-qkxm2,62m,94Mi,1701765528.0045052
front-end-55b89655c7-qkxm2,69m,96Mi,1701765549.8581264
front-end-55b89655c7-qkxm2,35m,95Mi,1701765571.7181084
front-end-55b89655c7-qkxm2,35m,95Mi,1701765593.5640368
front-end-55b89655c7-qkxm2,48m,92Mi,1701765615.5347595
front-end-55b89655c7-qkxm2,45m,93Mi,1701765637.5451517
front-end-55b89655c7-qkxm2,59m,95Mi,1701765659.2528405
front-end-55b89655c7-qkxm2,52m,95Mi,1701765680.8503733
front-end-55b89655c7-qkxm2,48m,96Mi,1701765702.4596546
front-end-55b89655c7-qkxm2,53m,96Mi,1701765724.137762
front-end-55b89655c7-qkxm2,51m,87Mi,1701765745.7467942
front-end-55b89655c7-qkxm2,51m,87Mi,1701765767.367297
front-end-55b89655c7-qkxm2,53m,89Mi,1701765788.9614463
front-end-55b89655c7-qkxm2,51m,95Mi,1701765810.5787113
front-end-55b89655c7-qkxm2,52m,90Mi,1701765832.3527756
