POD,CPU,MEMORY,TIME
front-end-55b89655c7-rv5zp,2m,65Mi,1701766691.1756954
front-end-55b89655c7-rv5zp,58m,67Mi,1701766712.8559828
front-end-55b89655c7-rv5zp,89m,82Mi,1701766734.5320208
front-end-55b89655c7-rv5zp,87m,106Mi,1701766756.2064822
front-end-55b89655c7-rv5zp,81m,110Mi,1701766777.859023
front-end-55b89655c7-rv5zp,95m,118Mi,1701766799.662635
front-end-55b89655c7-rv5zp,67m,121Mi,1701766821.725865
front-end-55b89655c7-rv5zp,78m,120Mi,1701766843.623479
front-end-55b89655c7-rv5zp,69m,104Mi,1701766865.6131792
front-end-55b89655c7-rv5zp,96m,101Mi,1701766887.5536692
front-end-55b89655c7-rv5zp,66m,100Mi,1701766909.5868897
front-end-55b89655c7-rv5zp,59m,96Mi,1701766931.5105026
front-end-55b89655c7-rv5zp,55m,96Mi,1701766953.403856
front-end-55b89655c7-rv5zp,59m,93Mi,1701766975.2866163
front-end-55b89655c7-rv5zp,61m,95Mi,1701766997.271005
front-end-55b89655c7-rv5zp,56m,94Mi,1701767019.0404444
front-end-55b89655c7-rv5zp,73m,100Mi,1701767040.9018164
front-end-55b89655c7-rv5zp,81m,101Mi,1701767062.567131
front-end-55b89655c7-rv5zp,69m,99Mi,1701767084.2251816
front-end-55b89655c7-rv5zp,68m,100Mi,1701767105.8590014
front-end-55b89655c7-rv5zp,56m,100Mi,1701767127.5279696
front-end-55b89655c7-rv5zp,62m,100Mi,1701767149.1611247
front-end-55b89655c7-rv5zp,98m,104Mi,1701767170.7482462
front-end-55b89655c7-rv5zp,78m,99Mi,1701767192.4540195
front-end-55b89655c7-rv5zp,76m,100Mi,1701767214.3169963
front-end-55b89655c7-rv5zp,79m,99Mi,1701767236.2851474
front-end-55b89655c7-rv5zp,73m,99Mi,1701767258.2269707
front-end-55b89655c7-rv5zp,73m,100Mi,1701767280.1525364
front-end-55b89655c7-rv5zp,67m,100Mi,1701767302.0797763
front-end-55b89655c7-rv5zp,62m,99Mi,1701767323.996399
front-end-55b89655c7-rv5zp,73m,100Mi,1701767346.0300765
front-end-55b89655c7-rv5zp,87m,100Mi,1701767367.992914
front-end-55b89655c7-rv5zp,77m,99Mi,1701767389.9960968
front-end-55b89655c7-rv5zp,77m,99Mi,1701767412.0037942
front-end-55b89655c7-rv5zp,81m,96Mi,1701767434.0556424
front-end-55b89655c7-rv5zp,79m,96Mi,1701767456.3263547
front-end-55b89655c7-rv5zp,75m,98Mi,1701767478.5876844
front-end-55b89655c7-rv5zp,57m,98Mi,1701767500.80219
front-end-55b89655c7-rv5zp,54m,99Mi,1701767522.9640996
front-end-55b89655c7-rv5zp,51m,98Mi,1701767545.1355178
front-end-55b89655c7-rv5zp,44m,98Mi,1701767567.4479702
front-end-55b89655c7-rv5zp,63m,99Mi,1701767589.3564153
front-end-55b89655c7-rv5zp,52m,98Mi,1701767611.1961696
front-end-55b89655c7-rv5zp,52m,98Mi,1701767633.0842218
front-end-55b89655c7-rv5zp,52m,96Mi,1701767654.9656441
front-end-55b89655c7-rv5zp,50m,98Mi,1701767676.9402812
front-end-55b89655c7-rv5zp,37m,98Mi,1701767698.8621857
front-end-55b89655c7-rv5zp,52m,100Mi,1701767720.536441
front-end-55b89655c7-rv5zp,65m,100Mi,1701767742.1397645
front-end-55b89655c7-rv5zp,36m,101Mi,1701767763.7510338
front-end-55b89655c7-rv5zp,39m,96Mi,1701767785.4380972
front-end-55b89655c7-rv5zp,2m,96Mi,1701767806.9841857
front-end-55b89655c7-rv5zp,2m,96Mi,1701767828.6138177
