POD,CPU,MEMORY,TIME
front-end-55b89655c7-wp9hg,55m,65Mi,1701761218.5252616
front-end-55b89655c7-wp9hg,1m,65Mi,1701761240.3716528
front-end-55b89655c7-wp9hg,54m,62Mi,1701761262.241098
front-end-55b89655c7-wp9hg,77m,74Mi,1701761284.0880044
front-end-55b89655c7-wp9hg,69m,89Mi,1701761306.0583806
front-end-55b89655c7-wp9hg,78m,92Mi,1701761327.9446013
front-end-55b89655c7-wp9hg,62m,95Mi,1701761349.822548
front-end-55b89655c7-wp9hg,61m,95Mi,1701761371.7562363
front-end-55b89655c7-wp9hg,71m,92Mi,1701761393.5823638
front-end-55b89655c7-wp9hg,59m,93Mi,1701761415.4585876
front-end-55b89655c7-wp9hg,61m,94Mi,1701761437.2492108
front-end-55b89655c7-wp9hg,58m,95Mi,1701761459.0815651
front-end-55b89655c7-wp9hg,58m,95Mi,1701761480.92768
front-end-55b89655c7-wp9hg,69m,94Mi,1701761502.7692199
front-end-55b89655c7-wp9hg,62m,96Mi,1701761524.7031379
front-end-55b89655c7-wp9hg,65m,94Mi,1701761546.5340393
front-end-55b89655c7-wp9hg,74m,97Mi,1701761568.48977
