POD,CPU,MEMORY,TIME
front-end-55b89655c7-wz27n,26m,113Mi,1701757281.0255582
front-end-55b89655c7-wz27n,98m,118Mi,1701757302.1102188
front-end-55b89655c7-wz27n,90m,130Mi,1701757323.2823422
front-end-55b89655c7-wz27n,97m,134Mi,1701757344.5911787
front-end-55b89655c7-wz27n,58m,135Mi,1701757365.8719938
front-end-55b89655c7-wz27n,41m,135Mi,1701757387.3056896
front-end-55b89655c7-wz27n,47m,137Mi,1701757408.6800675
front-end-55b89655c7-wz27n,59m,138Mi,1701757430.1066923
front-end-55b89655c7-wz27n,42m,124Mi,1701757451.5305407
front-end-55b89655c7-wz27n,47m,114Mi,1701757472.8837063
front-end-55b89655c7-wz27n,63m,91Mi,1701757494.3585956
front-end-55b89655c7-wz27n,86m,96Mi,1701757515.7520387
front-end-55b89655c7-wz27n,81m,100Mi,1701757537.080882
front-end-55b89655c7-wz27n,48m,102Mi,1701757558.4364996
front-end-55b89655c7-wz27n,47m,101Mi,1701757579.8091807
front-end-55b89655c7-wz27n,67m,102Mi,1701757601.2764122
front-end-55b89655c7-wz27n,60m,101Mi,1701757622.6315873
front-end-55b89655c7-wz27n,62m,104Mi,1701757643.9606304
front-end-55b89655c7-wz27n,61m,101Mi,1701757665.2772536
front-end-55b89655c7-wz27n,47m,101Mi,1701757686.6108825
front-end-55b89655c7-wz27n,59m,104Mi,1701757708.113648
front-end-55b89655c7-wz27n,59m,104Mi,1701757729.4641626
front-end-55b89655c7-wz27n,59m,103Mi,1701757750.8216994
front-end-55b89655c7-wz27n,58m,104Mi,1701757772.184916
front-end-55b89655c7-wz27n,58m,104Mi,1701757793.52937
front-end-55b89655c7-wz27n,62m,103Mi,1701757814.9719696
front-end-55b89655c7-wz27n,75m,104Mi,1701757836.3469157
front-end-55b89655c7-wz27n,88m,104Mi,1701757857.732546
front-end-55b89655c7-wz27n,86m,103Mi,1701757879.0915234
front-end-55b89655c7-wz27n,75m,100Mi,1701757900.5246027
front-end-55b89655c7-wz27n,73m,102Mi,1701757922.1549196
front-end-55b89655c7-wz27n,73m,102Mi,1701757943.7426136
front-end-55b89655c7-wz27n,45m,102Mi,1701757965.3473828
front-end-55b89655c7-wz27n,51m,101Mi,1701757986.9668462
front-end-55b89655c7-wz27n,66m,101Mi,1701758008.594452
front-end-55b89655c7-wz27n,63m,99Mi,1701758030.3075612
front-end-55b89655c7-wz27n,65m,103Mi,1701758052.0124526
front-end-55b89655c7-wz27n,65m,103Mi,1701758073.6627896
front-end-55b89655c7-wz27n,68m,102Mi,1701758095.3280256
front-end-55b89655c7-wz27n,58m,101Mi,1701758116.9844754
front-end-55b89655c7-wz27n,59m,101Mi,1701758138.702921
front-end-55b89655c7-wz27n,51m,102Mi,1701758160.3295875
front-end-55b89655c7-wz27n,75m,103Mi,1701758182.0196116
front-end-55b89655c7-wz27n,75m,101Mi,1701758203.7419083
front-end-55b89655c7-wz27n,79m,101Mi,1701758225.402272
front-end-55b89655c7-wz27n,71m,104Mi,1701758247.141382
front-end-55b89655c7-wz27n,66m,103Mi,1701758268.8278255
front-end-55b89655c7-wz27n,89m,106Mi,1701758290.469365
front-end-55b89655c7-wz27n,89m,106Mi,1701758312.2895045
front-end-55b89655c7-wz27n,66m,103Mi,1701758334.2280657
front-end-55b89655c7-wz27n,51m,104Mi,1701758356.1928186
front-end-55b89655c7-wz27n,44m,103Mi,1701758378.0841098
front-end-55b89655c7-wz27n,70m,97Mi,1701758400.020596
front-end-55b89655c7-wz27n,73m,98Mi,1701758421.966059
front-end-55b89655c7-wz27n,80m,100Mi,1701758443.8990686
front-end-55b89655c7-wz27n,69m,103Mi,1701758465.8929234
front-end-55b89655c7-wz27n,54m,103Mi,1701758487.767802
front-end-55b89655c7-wz27n,57m,102Mi,1701758509.6639812
front-end-55b89655c7-wz27n,52m,100Mi,1701758531.6232324
front-end-55b89655c7-wz27n,58m,101Mi,1701758553.322789
front-end-55b89655c7-wz27n,67m,101Mi,1701758575.0397017
front-end-55b89655c7-wz27n,75m,102Mi,1701758596.6833034
front-end-55b89655c7-wz27n,69m,104Mi,1701758618.399959
front-end-55b89655c7-wz27n,91m,101Mi,1701758640.1662912
front-end-55b89655c7-wz27n,71m,103Mi,1701758662.2253296
front-end-55b89655c7-wz27n,85m,104Mi,1701758684.1933744
front-end-55b89655c7-wz27n,97m,104Mi,1701758706.1435888
front-end-55b89655c7-wz27n,65m,104Mi,1701758728.1027956
front-end-55b89655c7-wz27n,64m,103Mi,1701758750.2380466
front-end-55b89655c7-wz27n,56m,103Mi,1701758772.1884162
front-end-55b89655c7-wz27n,56m,104Mi,1701758794.2277496
front-end-55b89655c7-wz27n,64m,101Mi,1701758815.8517623
front-end-55b89655c7-wz27n,82m,101Mi,1701758837.4368544
front-end-55b89655c7-wz27n,77m,101Mi,1701758859.1036718
front-end-55b89655c7-wz27n,88m,100Mi,1701758880.7899594
front-end-55b89655c7-wz27n,81m,103Mi,1701758902.5804563
front-end-55b89655c7-wz27n,101m,104Mi,1701758924.3154006
front-end-55b89655c7-wz27n,86m,103Mi,1701758946.126831
front-end-55b89655c7-wz27n,72m,103Mi,1701758967.9986598
front-end-55b89655c7-wz27n,78m,102Mi,1701758989.91706
front-end-55b89655c7-wz27n,59m,100Mi,1701759011.8960037
front-end-55b89655c7-wz27n,60m,100Mi,1701759033.812451
front-end-55b89655c7-wz27n,59m,102Mi,1701759055.7473211
