POD,CPU,MEMORY,TIME
front-end-55b89655c7-44tl7,2m,124Mi,1701444219.987286
front-end-55b89655c7-44tl7,2m,124Mi,1701444241.0547307
front-end-55b89655c7-44tl7,84m,128Mi,1701444262.1047995
front-end-55b89655c7-44tl7,93m,129Mi,1701444283.2535312
front-end-55b89655c7-44tl7,78m,128Mi,1701444304.5487976
front-end-55b89655c7-44tl7,70m,127Mi,1701444325.9797273
front-end-55b89655c7-44tl7,38m,129Mi,1701444347.3027008
front-end-55b89655c7-44tl7,60m,135Mi,1701444368.637816
front-end-55b89655c7-44tl7,35m,133Mi,1701444389.944292
front-end-55b89655c7-44tl7,43m,103Mi,1701444411.5722728
front-end-55b89655c7-44tl7,107m,107Mi,1701444432.7576551
front-end-55b89655c7-44tl7,92m,105Mi,1701444453.8268518
front-end-55b89655c7-44tl7,92m,105Mi,1701444474.9294033
front-end-55b89655c7-44tl7,74m,105Mi,1701444496.3383036
front-end-55b89655c7-44tl7,74m,105Mi,1701444517.4753454
front-end-55b89655c7-44tl7,103m,105Mi,1701444538.6144066
front-end-55b89655c7-44tl7,94m,106Mi,1701444559.7382967
front-end-55b89655c7-44tl7,94m,106Mi,1701444580.979256
front-end-55b89655c7-44tl7,76m,105Mi,1701444602.2437112
front-end-55b89655c7-44tl7,58m,104Mi,1701444623.5337923
front-end-55b89655c7-44tl7,47m,96Mi,1701444644.9146538
front-end-55b89655c7-44tl7,39m,98Mi,1701444666.1857407
front-end-55b89655c7-44tl7,58m,102Mi,1701444687.4953382
front-end-55b89655c7-44tl7,79m,100Mi,1701444708.6447306
front-end-55b89655c7-44tl7,84m,107Mi,1701444729.94761
front-end-55b89655c7-44tl7,96m,106Mi,1701444751.0772984
front-end-55b89655c7-44tl7,90m,106Mi,1701444772.1214936
front-end-55b89655c7-44tl7,92m,105Mi,1701444793.189979
front-end-55b89655c7-44tl7,100m,106Mi,1701444814.290367
front-end-55b89655c7-44tl7,85m,108Mi,1701444835.5732186
front-end-55b89655c7-44tl7,72m,108Mi,1701444856.9726195
front-end-55b89655c7-44tl7,72m,108Mi,1701444878.2619207
front-end-55b89655c7-44tl7,69m,106Mi,1701444899.5266488
front-end-55b89655c7-44tl7,69m,106Mi,1701444920.809675
front-end-55b89655c7-44tl7,92m,105Mi,1701444942.1358764
front-end-55b89655c7-44tl7,89m,107Mi,1701444963.5826347
front-end-55b89655c7-44tl7,86m,105Mi,1701444985.082303
front-end-55b89655c7-44tl7,54m,107Mi,1701445006.633777
front-end-55b89655c7-44tl7,56m,107Mi,1701445028.1647577
front-end-55b89655c7-44tl7,57m,107Mi,1701445049.7985342
front-end-55b89655c7-44tl7,42m,107Mi,1701445071.4216669
front-end-55b89655c7-44tl7,59m,104Mi,1701445093.05589
