POD,CPU,MEMORY,TIME
front-end-55b89655c7-574dl,1m,70Mi,1701446926.7108955
front-end-55b89655c7-574dl,2m,71Mi,1701446948.5869696
front-end-55b89655c7-574dl,69m,81Mi,1701446970.407473
front-end-55b89655c7-574dl,62m,100Mi,1701446992.2105014
front-end-55b89655c7-574dl,58m,108Mi,1701447013.9796941
front-end-55b89655c7-574dl,58m,108Mi,1701447035.800368
front-end-55b89655c7-574dl,67m,116Mi,1701447057.67888
front-end-55b89655c7-574dl,73m,119Mi,1701447079.7311559
front-end-55b89655c7-574dl,84m,119Mi,1701447101.7578228
front-end-55b89655c7-574dl,64m,112Mi,1701447123.8515384
front-end-55b89655c7-574dl,55m,104Mi,1701447146.0289376
front-end-55b89655c7-574dl,63m,100Mi,1701447168.1034725
front-end-55b89655c7-574dl,61m,104Mi,1701447190.2529008
front-end-55b89655c7-574dl,89m,103Mi,1701447212.1414623
front-end-55b89655c7-574dl,62m,105Mi,1701447234.004479
front-end-55b89655c7-574dl,68m,104Mi,1701447255.9052122
front-end-55b89655c7-574dl,61m,105Mi,1701447277.7587996
front-end-55b89655c7-574dl,77m,104Mi,1701447299.6275766
front-end-55b89655c7-574dl,65m,105Mi,1701447321.5218194
front-end-55b89655c7-574dl,68m,107Mi,1701447343.337091
front-end-55b89655c7-574dl,77m,106Mi,1701447365.2898734
front-end-55b89655c7-574dl,66m,106Mi,1701447387.1944609
front-end-55b89655c7-574dl,70m,105Mi,1701447409.0305324
front-end-55b89655c7-574dl,73m,106Mi,1701447430.9461644
