POD,CPU,MEMORY,TIME
front-end-55b89655c7-brqfn,61m,70Mi,1701453537.7965846
front-end-55b89655c7-brqfn,1m,70Mi,1701453559.8259325
front-end-55b89655c7-brqfn,2m,71Mi,1701453581.3818438
front-end-55b89655c7-brqfn,81m,101Mi,1701453602.925184
front-end-55b89655c7-brqfn,74m,106Mi,1701453624.4924903
front-end-55b89655c7-brqfn,85m,117Mi,1701453646.0551636
front-end-55b89655c7-brqfn,78m,122Mi,1701453667.7920284
front-end-55b89655c7-brqfn,90m,128Mi,1701453689.5892093
front-end-55b89655c7-brqfn,61m,129Mi,1701453711.3904114
front-end-55b89655c7-brqfn,76m,118Mi,1701453733.2913747
front-end-55b89655c7-brqfn,60m,120Mi,1701453755.1245718
front-end-55b89655c7-brqfn,70m,119Mi,1701453777.0437837
front-end-55b89655c7-brqfn,73m,116Mi,1701453798.9269593
front-end-55b89655c7-brqfn,68m,100Mi,1701453820.7844489
front-end-55b89655c7-brqfn,71m,104Mi,1701453842.6259596
front-end-55b89655c7-brqfn,66m,103Mi,1701453864.4365892
front-end-55b89655c7-brqfn,62m,105Mi,1701453886.4046707
front-end-55b89655c7-brqfn,62m,105Mi,1701453908.4622674
front-end-55b89655c7-brqfn,54m,107Mi,1701453930.5077791
front-end-55b89655c7-brqfn,47m,107Mi,1701453952.5261726
front-end-55b89655c7-brqfn,46m,105Mi,1701453974.5700786
front-end-55b89655c7-brqfn,43m,107Mi,1701453996.7141345
front-end-55b89655c7-brqfn,58m,108Mi,1701454018.8218305
front-end-55b89655c7-brqfn,55m,107Mi,1701454040.6798923
front-end-55b89655c7-brqfn,64m,106Mi,1701454062.48919
front-end-55b89655c7-brqfn,54m,106Mi,1701454084.265408
front-end-55b89655c7-brqfn,54m,105Mi,1701454106.12095
front-end-55b89655c7-brqfn,79m,105Mi,1701454127.8927796
front-end-55b89655c7-brqfn,64m,104Mi,1701454149.6904883
front-end-55b89655c7-brqfn,69m,105Mi,1701454171.5035813
front-end-55b89655c7-brqfn,75m,105Mi,1701454193.3302987
front-end-55b89655c7-brqfn,67m,105Mi,1701454215.2378948
front-end-55b89655c7-brqfn,68m,106Mi,1701454237.1824448
front-end-55b89655c7-brqfn,55m,107Mi,1701454259.193692
front-end-55b89655c7-brqfn,60m,110Mi,1701454281.2907999
front-end-55b89655c7-brqfn,58m,105Mi,1701454303.376362
front-end-55b89655c7-brqfn,80m,106Mi,1701454325.5324697
front-end-55b89655c7-brqfn,56m,103Mi,1701454347.6047947
front-end-55b89655c7-brqfn,78m,105Mi,1701454369.8123972
front-end-55b89655c7-brqfn,73m,106Mi,1701454391.7325873
front-end-55b89655c7-brqfn,75m,102Mi,1701454413.6131427
front-end-55b89655c7-brqfn,75m,102Mi,1701454435.584266
front-end-55b89655c7-brqfn,89m,105Mi,1701454457.468123
front-end-55b89655c7-brqfn,59m,104Mi,1701454479.295652
front-end-55b89655c7-brqfn,58m,105Mi,1701454501.5700855
front-end-55b89655c7-brqfn,56m,105Mi,1701454523.6047716
front-end-55b89655c7-brqfn,44m,105Mi,1701454545.9302068
front-end-55b89655c7-brqfn,39m,104Mi,1701454568.0132496
front-end-55b89655c7-brqfn,38m,104Mi,1701454590.037027
front-end-55b89655c7-brqfn,42m,104Mi,1701454612.1469483
front-end-55b89655c7-brqfn,42m,105Mi,1701454634.2146297
front-end-55b89655c7-brqfn,45m,96Mi,1701454656.2486026
front-end-55b89655c7-brqfn,38m,98Mi,1701454678.0151196
front-end-55b89655c7-brqfn,23m,98Mi,1701454699.7593963
front-end-55b89655c7-brqfn,25m,99Mi,1701454721.5357811
front-end-55b89655c7-brqfn,2m,100Mi,1701454743.2548804
front-end-55b89655c7-brqfn,2m,101Mi,1701454765.0806067
front-end-55b89655c7-brqfn,2m,101Mi,1701454786.6305978
front-end-55b89655c7-brqfn,1m,101Mi,1701454808.1570067
front-end-55b89655c7-brqfn,2m,101Mi,1701454829.7292862
front-end-55b89655c7-brqfn,2m,101Mi,1701454851.3023186
front-end-55b89655c7-brqfn,2m,101Mi,1701454872.8681786
front-end-55b89655c7-brqfn,2m,102Mi,1701454894.4306908
