POD,CPU,MEMORY,TIME
front-end-55b89655c7-d5f2t,1m,70Mi,1701449712.5223804
front-end-55b89655c7-d5f2t,67m,71Mi,1701449734.499677
front-end-55b89655c7-d5f2t,75m,93Mi,1701449756.440973
front-end-55b89655c7-d5f2t,66m,94Mi,1701449778.340494
front-end-55b89655c7-d5f2t,70m,97Mi,1701449800.2475383
front-end-55b89655c7-d5f2t,73m,100Mi,1701449822.1867285
front-end-55b89655c7-d5f2t,66m,98Mi,1701449844.2990808
front-end-55b89655c7-d5f2t,47m,101Mi,1701449866.4813936
front-end-55b89655c7-d5f2t,42m,101Mi,1701449888.5344064
front-end-55b89655c7-d5f2t,52m,94Mi,1701449910.5617692
front-end-55b89655c7-d5f2t,52m,94Mi,1701449932.5951674
front-end-55b89655c7-d5f2t,57m,98Mi,1701449954.6969936
front-end-55b89655c7-d5f2t,56m,98Mi,1701449976.680078
front-end-55b89655c7-d5f2t,79m,100Mi,1701449998.5034294
front-end-55b89655c7-d5f2t,72m,101Mi,1701450020.3877618
front-end-55b89655c7-d5f2t,75m,98Mi,1701450042.224945
front-end-55b89655c7-d5f2t,99m,100Mi,1701450064.0979207
front-end-55b89655c7-d5f2t,78m,102Mi,1701450086.0743213
front-end-55b89655c7-d5f2t,97m,100Mi,1701450108.0725722
front-end-55b89655c7-d5f2t,77m,100Mi,1701450130.3696752
front-end-55b89655c7-d5f2t,65m,99Mi,1701450152.7495358
front-end-55b89655c7-d5f2t,60m,100Mi,1701450174.8661907
front-end-55b89655c7-d5f2t,69m,100Mi,1701450197.0737603
front-end-55b89655c7-d5f2t,80m,100Mi,1701450219.2158494
front-end-55b89655c7-d5f2t,57m,101Mi,1701450241.429873
front-end-55b89655c7-d5f2t,55m,99Mi,1701450263.7602768
front-end-55b89655c7-d5f2t,56m,98Mi,1701450286.0827584
front-end-55b89655c7-d5f2t,61m,99Mi,1701450308.5606108
front-end-55b89655c7-d5f2t,44m,100Mi,1701450330.826408
front-end-55b89655c7-d5f2t,51m,97Mi,1701450353.0824628
front-end-55b89655c7-d5f2t,47m,98Mi,1701450375.4224622
front-end-55b89655c7-d5f2t,47m,98Mi,1701450397.5361803
front-end-55b89655c7-d5f2t,60m,102Mi,1701450419.678028
front-end-55b89655c7-d5f2t,60m,102Mi,1701450441.7483351
front-end-55b89655c7-d5f2t,50m,98Mi,1701450463.8640685
front-end-55b89655c7-d5f2t,60m,96Mi,1701450485.921088
front-end-55b89655c7-d5f2t,61m,94Mi,1701450508.0347652
front-end-55b89655c7-d5f2t,63m,98Mi,1701450530.3326216
front-end-55b89655c7-d5f2t,73m,97Mi,1701450552.270135
front-end-55b89655c7-d5f2t,73m,97Mi,1701450574.1225097
front-end-55b89655c7-d5f2t,69m,101Mi,1701450596.0077896
front-end-55b89655c7-d5f2t,69m,100Mi,1701450618.0160713
front-end-55b89655c7-d5f2t,65m,99Mi,1701450640.120398
front-end-55b89655c7-d5f2t,60m,97Mi,1701450662.2741313
