POD,CPU,MEMORY,TIME
front-end-55b89655c7-gmjjw,1m,70Mi,1701445242.7244828
front-end-55b89655c7-gmjjw,2m,71Mi,1701445264.283964
front-end-55b89655c7-gmjjw,47m,71Mi,1701445285.9266348
front-end-55b89655c7-gmjjw,78m,94Mi,1701445307.501486
front-end-55b89655c7-gmjjw,69m,94Mi,1701445329.0563948
front-end-55b89655c7-gmjjw,80m,98Mi,1701445350.6492493
front-end-55b89655c7-gmjjw,100m,99Mi,1701445372.3987339
front-end-55b89655c7-gmjjw,77m,101Mi,1701445394.3487406
front-end-55b89655c7-gmjjw,83m,101Mi,1701445416.1778197
front-end-55b89655c7-gmjjw,47m,99Mi,1701445438.2171628
front-end-55b89655c7-gmjjw,41m,100Mi,1701445460.084432
front-end-55b89655c7-gmjjw,59m,100Mi,1701445481.862829
front-end-55b89655c7-gmjjw,45m,91Mi,1701445504.018904
front-end-55b89655c7-gmjjw,49m,94Mi,1701445525.6554523
front-end-55b89655c7-gmjjw,73m,98Mi,1701445547.2197306
front-end-55b89655c7-gmjjw,80m,100Mi,1701445568.7869558
front-end-55b89655c7-gmjjw,61m,101Mi,1701445590.3724015
front-end-55b89655c7-gmjjw,59m,102Mi,1701445612.0532467
front-end-55b89655c7-gmjjw,93m,99Mi,1701445633.6291656
front-end-55b89655c7-gmjjw,83m,103Mi,1701445655.2931907
front-end-55b89655c7-gmjjw,88m,100Mi,1701445681.5985653
front-end-55b89655c7-gmjjw,36m,102Mi,1701445703.4651518
front-end-55b89655c7-gmjjw,59m,96Mi,1701445725.322925
front-end-55b89655c7-gmjjw,63m,97Mi,1701445747.130806
front-end-55b89655c7-gmjjw,56m,94Mi,1701445768.9224935
front-end-55b89655c7-gmjjw,75m,95Mi,1701445790.7994442
front-end-55b89655c7-gmjjw,70m,98Mi,1701445812.89246
front-end-55b89655c7-gmjjw,68m,100Mi,1701445835.092078
front-end-55b89655c7-gmjjw,45m,100Mi,1701445857.1888475
front-end-55b89655c7-gmjjw,49m,99Mi,1701445879.2315671
front-end-55b89655c7-gmjjw,52m,99Mi,1701445901.249795
front-end-55b89655c7-gmjjw,46m,101Mi,1701445923.2575083
front-end-55b89655c7-gmjjw,39m,100Mi,1701445945.449025
front-end-55b89655c7-gmjjw,55m,100Mi,1701445967.2936924
front-end-55b89655c7-gmjjw,54m,101Mi,1701445989.1126814
front-end-55b89655c7-gmjjw,77m,96Mi,1701446010.9895322
front-end-55b89655c7-gmjjw,70m,98Mi,1701446032.8399923
front-end-55b89655c7-gmjjw,75m,98Mi,1701446054.759618
front-end-55b89655c7-gmjjw,82m,101Mi,1701446076.700976
front-end-55b89655c7-gmjjw,69m,102Mi,1701446098.7265036
front-end-55b89655c7-gmjjw,67m,101Mi,1701446120.8221362
front-end-55b89655c7-gmjjw,58m,101Mi,1701446142.9647808
front-end-55b89655c7-gmjjw,52m,94Mi,1701446165.1166017
front-end-55b89655c7-gmjjw,49m,96Mi,1701446187.1344817
front-end-55b89655c7-gmjjw,45m,99Mi,1701446209.2255285
front-end-55b89655c7-gmjjw,63m,98Mi,1701446231.1178167
front-end-55b89655c7-gmjjw,58m,99Mi,1701446252.95578
front-end-55b89655c7-gmjjw,65m,100Mi,1701446274.903311
front-end-55b89655c7-gmjjw,40m,99Mi,1701446296.6830046
front-end-55b89655c7-gmjjw,52m,101Mi,1701446318.5216646
front-end-55b89655c7-gmjjw,57m,96Mi,1701446340.4489398
front-end-55b89655c7-gmjjw,61m,98Mi,1701446362.339849
front-end-55b89655c7-gmjjw,77m,101Mi,1701446384.1497846
front-end-55b89655c7-gmjjw,74m,101Mi,1701446405.6963632
front-end-55b89655c7-gmjjw,82m,101Mi,1701446427.5856774
front-end-55b89655c7-gmjjw,69m,100Mi,1701446449.1520064
front-end-55b89655c7-gmjjw,68m,101Mi,1701446470.7465196
front-end-55b89655c7-gmjjw,75m,103Mi,1701446492.4245827
front-end-55b89655c7-gmjjw,74m,103Mi,1701446513.9919906
front-end-55b89655c7-gmjjw,70m,99Mi,1701446535.5796533
front-end-55b89655c7-gmjjw,77m,99Mi,1701446557.136506
front-end-55b89655c7-gmjjw,75m,102Mi,1701446578.8058155
front-end-55b89655c7-gmjjw,76m,100Mi,1701446600.6198661
front-end-55b89655c7-gmjjw,76m,100Mi,1701446622.2358732
front-end-55b89655c7-gmjjw,70m,103Mi,1701446643.8942397
front-end-55b89655c7-gmjjw,58m,102Mi,1701446665.6546328
front-end-55b89655c7-gmjjw,54m,101Mi,1701446687.45507
front-end-55b89655c7-gmjjw,46m,103Mi,1701446709.3717706
front-end-55b89655c7-gmjjw,59m,98Mi,1701446731.2311258
front-end-55b89655c7-gmjjw,64m,101Mi,1701446753.0610578
front-end-55b89655c7-gmjjw,64m,99Mi,1701446774.9547513
front-end-55b89655c7-gmjjw,65m,102Mi,1701446796.5499687
front-end-55b89655c7-gmjjw,76m,102Mi,1701446818.208693
front-end-55b89655c7-gmjjw,85m,98Mi,1701446839.7850568
front-end-55b89655c7-gmjjw,79m,99Mi,1701446861.3395545
front-end-55b89655c7-gmjjw,77m,103Mi,1701446882.9445596
front-end-55b89655c7-gmjjw,84m,102Mi,1701446904.820198
front-end-55b89655c7-gmjjw,80m,102Mi,1701446926.7108955
front-end-55b89655c7-gmjjw,89m,104Mi,1701446948.5869696
front-end-55b89655c7-gmjjw,58m,101Mi,1701446970.407473
front-end-55b89655c7-gmjjw,69m,104Mi,1701446992.2105014
front-end-55b89655c7-gmjjw,85m,103Mi,1701447013.9796941
front-end-55b89655c7-gmjjw,55m,103Mi,1701447035.800368
front-end-55b89655c7-gmjjw,75m,99Mi,1701447057.67888
front-end-55b89655c7-gmjjw,56m,100Mi,1701447079.7311559
front-end-55b89655c7-gmjjw,60m,99Mi,1701447101.7578228
front-end-55b89655c7-gmjjw,44m,101Mi,1701447123.8515384
front-end-55b89655c7-gmjjw,48m,100Mi,1701447146.0289376
front-end-55b89655c7-gmjjw,60m,95Mi,1701447168.1034725
front-end-55b89655c7-gmjjw,54m,96Mi,1701447190.2529008
front-end-55b89655c7-gmjjw,67m,100Mi,1701447212.1414623
front-end-55b89655c7-gmjjw,47m,100Mi,1701447234.004479
front-end-55b89655c7-gmjjw,75m,99Mi,1701447255.9052122
front-end-55b89655c7-gmjjw,75m,99Mi,1701447277.7587996
front-end-55b89655c7-gmjjw,66m,99Mi,1701447299.6275766
front-end-55b89655c7-gmjjw,66m,99Mi,1701447321.5218194
front-end-55b89655c7-gmjjw,61m,99Mi,1701447343.337091
front-end-55b89655c7-gmjjw,61m,99Mi,1701447365.2898734
front-end-55b89655c7-gmjjw,63m,100Mi,1701447387.1944609
front-end-55b89655c7-gmjjw,72m,102Mi,1701447409.0305324
front-end-55b89655c7-gmjjw,72m,102Mi,1701447430.9461644
front-end-55b89655c7-gmjjw,65m,99Mi,1701447452.581073
front-end-55b89655c7-gmjjw,82m,99Mi,1701447474.2488375
front-end-55b89655c7-gmjjw,86m,100Mi,1701447495.7966056
front-end-55b89655c7-gmjjw,80m,99Mi,1701447517.2897518
front-end-55b89655c7-gmjjw,82m,100Mi,1701447538.8666148
front-end-55b89655c7-gmjjw,76m,101Mi,1701447560.4672844
front-end-55b89655c7-gmjjw,84m,102Mi,1701447582.4784694
front-end-55b89655c7-gmjjw,58m,102Mi,1701447604.33553
front-end-55b89655c7-gmjjw,69m,101Mi,1701447626.151024
front-end-55b89655c7-gmjjw,76m,100Mi,1701447647.9897308
front-end-55b89655c7-gmjjw,78m,103Mi,1701447669.8288379
front-end-55b89655c7-gmjjw,69m,100Mi,1701447691.9410532
front-end-55b89655c7-gmjjw,69m,104Mi,1701447713.7733405
front-end-55b89655c7-gmjjw,83m,102Mi,1701447735.6490192
front-end-55b89655c7-gmjjw,59m,104Mi,1701447757.57579
front-end-55b89655c7-gmjjw,60m,101Mi,1701447779.1876864
front-end-55b89655c7-gmjjw,76m,102Mi,1701447800.8522527
front-end-55b89655c7-gmjjw,73m,98Mi,1701447822.41029
front-end-55b89655c7-gmjjw,85m,98Mi,1701447843.9821022
front-end-55b89655c7-gmjjw,85m,99Mi,1701447865.5880866
front-end-55b89655c7-gmjjw,65m,98Mi,1701447887.1463132
front-end-55b89655c7-gmjjw,61m,100Mi,1701447908.7843447
front-end-55b89655c7-gmjjw,68m,97Mi,1701447930.3721879
front-end-55b89655c7-gmjjw,57m,100Mi,1701447951.9206805
front-end-55b89655c7-gmjjw,54m,102Mi,1701447973.4790773
front-end-55b89655c7-gmjjw,48m,99Mi,1701447995.0309086
front-end-55b89655c7-gmjjw,68m,99Mi,1701448016.6614215
front-end-55b89655c7-gmjjw,48m,98Mi,1701448038.2206063
front-end-55b89655c7-gmjjw,49m,98Mi,1701448059.7934625
front-end-55b89655c7-gmjjw,60m,97Mi,1701448081.4218025
front-end-55b89655c7-gmjjw,55m,98Mi,1701448103.0278296
front-end-55b89655c7-gmjjw,73m,100Mi,1701448124.6738937
front-end-55b89655c7-gmjjw,88m,103Mi,1701448146.286947
front-end-55b89655c7-gmjjw,70m,101Mi,1701448167.885456
front-end-55b89655c7-gmjjw,84m,100Mi,1701448189.6418421
front-end-55b89655c7-gmjjw,102m,103Mi,1701448211.4356987
front-end-55b89655c7-gmjjw,64m,102Mi,1701448233.3147197
front-end-55b89655c7-gmjjw,70m,99Mi,1701448255.1442063
front-end-55b89655c7-gmjjw,57m,101Mi,1701448276.9642518
front-end-55b89655c7-gmjjw,63m,100Mi,1701448298.7757003
front-end-55b89655c7-gmjjw,59m,100Mi,1701448320.5738494
front-end-55b89655c7-gmjjw,58m,102Mi,1701448342.561743
front-end-55b89655c7-gmjjw,72m,100Mi,1701448364.212148
front-end-55b89655c7-gmjjw,90m,101Mi,1701448385.805808
front-end-55b89655c7-gmjjw,77m,103Mi,1701448407.4168746
front-end-55b89655c7-gmjjw,99m,103Mi,1701448429.8665774
front-end-55b89655c7-gmjjw,85m,104Mi,1701448472.645034
