POD,CPU,MEMORY,TIME
front-end-55b89655c7-hdl7k,59m,70Mi,1701451139.763049
front-end-55b89655c7-hdl7k,1m,70Mi,1701451161.5823715
front-end-55b89655c7-hdl7k,49m,70Mi,1701451183.5390308
front-end-55b89655c7-hdl7k,61m,79Mi,1701451205.4398038
front-end-55b89655c7-hdl7k,81m,96Mi,1701451227.3417275
front-end-55b89655c7-hdl7k,73m,100Mi,1701451249.2292962
front-end-55b89655c7-hdl7k,66m,99Mi,1701451271.1198988
front-end-55b89655c7-hdl7k,66m,101Mi,1701451293.2094638
front-end-55b89655c7-hdl7k,68m,102Mi,1701451315.3218756
front-end-55b89655c7-hdl7k,61m,97Mi,1701451337.388387
front-end-55b89655c7-hdl7k,77m,98Mi,1701451359.404739
front-end-55b89655c7-hdl7k,74m,98Mi,1701451381.4379535
front-end-55b89655c7-hdl7k,71m,100Mi,1701451403.6118243
front-end-55b89655c7-hdl7k,61m,100Mi,1701451425.6840608
front-end-55b89655c7-hdl7k,72m,100Mi,1701451447.8515396
front-end-55b89655c7-hdl7k,68m,101Mi,1701451469.7480764
front-end-55b89655c7-hdl7k,90m,101Mi,1701451491.6304283
front-end-55b89655c7-hdl7k,75m,101Mi,1701451513.6057305
front-end-55b89655c7-hdl7k,74m,101Mi,1701451535.5073159
front-end-55b89655c7-hdl7k,83m,101Mi,1701451557.4055278
front-end-55b89655c7-hdl7k,78m,100Mi,1701451579.384324
front-end-55b89655c7-hdl7k,78m,102Mi,1701451601.4875984
front-end-55b89655c7-hdl7k,64m,102Mi,1701451623.689944
front-end-55b89655c7-hdl7k,70m,102Mi,1701451645.8345246
front-end-55b89655c7-hdl7k,67m,100Mi,1701451667.9415522
front-end-55b89655c7-hdl7k,44m,101Mi,1701451690.0731037
front-end-55b89655c7-hdl7k,49m,101Mi,1701451712.3834524
front-end-55b89655c7-hdl7k,58m,100Mi,1701451734.303585
front-end-55b89655c7-hdl7k,71m,101Mi,1701451756.1064582
front-end-55b89655c7-hdl7k,61m,100Mi,1701451777.9181445
front-end-55b89655c7-hdl7k,53m,102Mi,1701451799.6814675
front-end-55b89655c7-hdl7k,56m,102Mi,1701451821.4824378
front-end-55b89655c7-hdl7k,46m,100Mi,1701451843.5668783
