POD,CPU,MEMORY,TIME
front-end-55b89655c7-j789q,45m,71Mi,1701444856.9726195
front-end-55b89655c7-j789q,69m,81Mi,1701444878.2619207
front-end-55b89655c7-j789q,77m,93Mi,1701444899.5266488
front-end-55b89655c7-j789q,70m,95Mi,1701444920.809675
front-end-55b89655c7-j789q,85m,98Mi,1701444942.1358764
front-end-55b89655c7-j789q,91m,100Mi,1701444963.5826347
front-end-55b89655c7-j789q,84m,100Mi,1701444985.082303
front-end-55b89655c7-j789q,82m,100Mi,1701445006.633777
front-end-55b89655c7-j789q,66m,101Mi,1701445028.1647577
front-end-55b89655c7-j789q,53m,92Mi,1701445049.7985342
front-end-55b89655c7-j789q,50m,94Mi,1701445071.4216669
front-end-55b89655c7-j789q,40m,97Mi,1701445093.05589
front-end-55b89655c7-j789q,91m,100Mi,1701445114.4113815
front-end-55b89655c7-j789q,90m,102Mi,1701445135.7332718
front-end-55b89655c7-j789q,88m,102Mi,1701445157.0765285
front-end-55b89655c7-j789q,91m,102Mi,1701445178.4945924
front-end-55b89655c7-j789q,78m,100Mi,1701445199.8306355
front-end-55b89655c7-j789q,84m,101Mi,1701445221.2287374
front-end-55b89655c7-j789q,92m,101Mi,1701445242.7244828
front-end-55b89655c7-j789q,92m,101Mi,1701445264.283964
front-end-55b89655c7-j789q,78m,100Mi,1701445285.9266348
front-end-55b89655c7-j789q,69m,103Mi,1701445307.501486
front-end-55b89655c7-j789q,65m,100Mi,1701445329.0563948
front-end-55b89655c7-j789q,74m,100Mi,1701445350.6492493
front-end-55b89655c7-j789q,104m,100Mi,1701445372.3987339
front-end-55b89655c7-j789q,81m,100Mi,1701445394.3487406
front-end-55b89655c7-j789q,76m,101Mi,1701445416.1778197
front-end-55b89655c7-j789q,60m,102Mi,1701445438.2171628
front-end-55b89655c7-j789q,59m,101Mi,1701445460.084432
front-end-55b89655c7-j789q,52m,101Mi,1701445481.862829
front-end-55b89655c7-j789q,53m,104Mi,1701445504.018904
front-end-55b89655c7-j789q,58m,102Mi,1701445525.6554523
front-end-55b89655c7-j789q,68m,103Mi,1701445547.2197306
front-end-55b89655c7-j789q,64m,102Mi,1701445568.7869558
front-end-55b89655c7-j789q,67m,103Mi,1701445590.3724015
front-end-55b89655c7-j789q,71m,102Mi,1701445612.0532467
front-end-55b89655c7-j789q,78m,101Mi,1701445633.6291656
front-end-55b89655c7-j789q,64m,100Mi,1701445655.2931907
front-end-55b89655c7-j789q,84m,100Mi,1701445681.5985653
front-end-55b89655c7-j789q,34m,101Mi,1701445703.4651518
front-end-55b89655c7-j789q,59m,97Mi,1701445725.322925
front-end-55b89655c7-j789q,50m,99Mi,1701445747.130806
front-end-55b89655c7-j789q,58m,102Mi,1701445768.9224935
front-end-55b89655c7-j789q,70m,97Mi,1701445790.7994442
front-end-55b89655c7-j789q,69m,100Mi,1701445812.89246
front-end-55b89655c7-j789q,69m,102Mi,1701445835.092078
front-end-55b89655c7-j789q,59m,102Mi,1701445857.1888475
front-end-55b89655c7-j789q,67m,102Mi,1701445879.2315671
front-end-55b89655c7-j789q,56m,101Mi,1701445901.249795
front-end-55b89655c7-j789q,54m,102Mi,1701445923.2575083
front-end-55b89655c7-j789q,35m,101Mi,1701445945.449025
front-end-55b89655c7-j789q,51m,102Mi,1701445967.2936924
front-end-55b89655c7-j789q,67m,97Mi,1701445989.1126814
front-end-55b89655c7-j789q,85m,101Mi,1701446010.9895322
front-end-55b89655c7-j789q,62m,103Mi,1701446032.8399923
front-end-55b89655c7-j789q,90m,104Mi,1701446054.759618
front-end-55b89655c7-j789q,80m,103Mi,1701446076.700976
front-end-55b89655c7-j789q,90m,105Mi,1701446098.7265036
front-end-55b89655c7-j789q,56m,104Mi,1701446120.8221362
front-end-55b89655c7-j789q,78m,106Mi,1701446142.9647808
front-end-55b89655c7-j789q,52m,104Mi,1701446165.1166017
front-end-55b89655c7-j789q,46m,105Mi,1701446187.1344817
front-end-55b89655c7-j789q,47m,102Mi,1701446209.2255285
front-end-55b89655c7-j789q,59m,102Mi,1701446231.1178167
front-end-55b89655c7-j789q,63m,103Mi,1701446252.95578
front-end-55b89655c7-j789q,53m,97Mi,1701446274.903311
front-end-55b89655c7-j789q,70m,99Mi,1701446296.6830046
front-end-55b89655c7-j789q,55m,99Mi,1701446318.5216646
