POD,CPU,MEMORY,TIME
front-end-55b89655c7-kcct8,51m,70Mi,1701450108.0725722
front-end-55b89655c7-kcct8,51m,70Mi,1701450130.3696752
front-end-55b89655c7-kcct8,66m,70Mi,1701450152.7495358
front-end-55b89655c7-kcct8,64m,77Mi,1701450174.8661907
front-end-55b89655c7-kcct8,64m,94Mi,1701450197.0737603
front-end-55b89655c7-kcct8,64m,97Mi,1701450219.2158494
front-end-55b89655c7-kcct8,53m,97Mi,1701450241.429873
front-end-55b89655c7-kcct8,75m,100Mi,1701450263.7602768
front-end-55b89655c7-kcct8,55m,101Mi,1701450286.0827584
front-end-55b89655c7-kcct8,76m,101Mi,1701450308.5606108
front-end-55b89655c7-kcct8,38m,100Mi,1701450330.826408
front-end-55b89655c7-kcct8,51m,99Mi,1701450353.0824628
front-end-55b89655c7-kcct8,49m,99Mi,1701450375.4224622
front-end-55b89655c7-kcct8,51m,100Mi,1701450397.5361803
front-end-55b89655c7-kcct8,70m,101Mi,1701450419.678028
front-end-55b89655c7-kcct8,51m,103Mi,1701450441.7483351
front-end-55b89655c7-kcct8,62m,99Mi,1701450463.8640685
front-end-55b89655c7-kcct8,63m,101Mi,1701450485.921088
front-end-55b89655c7-kcct8,58m,100Mi,1701450508.0347652
front-end-55b89655c7-kcct8,65m,101Mi,1701450530.3326216
