POD,CPU,MEMORY,TIME
front-end-55b89655c7-nsl59,74m,76Mi,1701449098.7089593
front-end-55b89655c7-nsl59,83m,96Mi,1701449120.5836763
front-end-55b89655c7-nsl59,63m,99Mi,1701449142.4441226
front-end-55b89655c7-nsl59,81m,101Mi,1701449164.322534
front-end-55b89655c7-nsl59,68m,101Mi,1701449186.1829042
front-end-55b89655c7-nsl59,81m,100Mi,1701449208.2348788
front-end-55b89655c7-nsl59,61m,99Mi,1701449230.4428566
front-end-55b89655c7-nsl59,61m,101Mi,1701449252.5114028
front-end-55b89655c7-nsl59,75m,99Mi,1701449274.5640686
front-end-55b89655c7-nsl59,43m,101Mi,1701449296.7017326
front-end-55b89655c7-nsl59,43m,102Mi,1701449319.1145961
front-end-55b89655c7-nsl59,54m,100Mi,1701449341.1900322
front-end-55b89655c7-nsl59,54m,100Mi,1701449363.4165258
front-end-55b89655c7-nsl59,67m,96Mi,1701449385.2876687
front-end-55b89655c7-nsl59,90m,98Mi,1701449407.1594846
front-end-55b89655c7-nsl59,56m,100Mi,1701449429.0260727
front-end-55b89655c7-nsl59,68m,99Mi,1701449451.0658906
front-end-55b89655c7-nsl59,70m,98Mi,1701449472.87444
front-end-55b89655c7-nsl59,56m,97Mi,1701449494.779383
front-end-55b89655c7-nsl59,56m,97Mi,1701449516.6434433
front-end-55b89655c7-nsl59,65m,99Mi,1701449538.592007
front-end-55b89655c7-nsl59,68m,99Mi,1701449560.5238795
