POD,CPU,MEMORY,TIME
front-end-55b89655c7-pkhkw,1m,71Mi,1701448924.1073442
front-end-55b89655c7-pkhkw,1m,71Mi,1701448945.6703596
front-end-55b89655c7-pkhkw,59m,79Mi,1701448967.320453
front-end-55b89655c7-pkhkw,81m,102Mi,1701448988.9765239
front-end-55b89655c7-pkhkw,71m,109Mi,1701449010.6093311
front-end-55b89655c7-pkhkw,83m,116Mi,1701449032.763402
front-end-55b89655c7-pkhkw,86m,121Mi,1701449054.446146
front-end-55b89655c7-pkhkw,88m,103Mi,1701449076.4811838
front-end-55b89655c7-pkhkw,67m,102Mi,1701449098.7089593
front-end-55b89655c7-pkhkw,67m,102Mi,1701449120.5836763
front-end-55b89655c7-pkhkw,71m,104Mi,1701449142.4441226
front-end-55b89655c7-pkhkw,79m,104Mi,1701449164.322534
front-end-55b89655c7-pkhkw,66m,104Mi,1701449186.1829042
front-end-55b89655c7-pkhkw,81m,105Mi,1701449208.2348788
front-end-55b89655c7-pkhkw,71m,106Mi,1701449230.4428566
front-end-55b89655c7-pkhkw,79m,107Mi,1701449252.5114028
front-end-55b89655c7-pkhkw,66m,104Mi,1701449274.5640686
front-end-55b89655c7-pkhkw,49m,105Mi,1701449296.7017326
front-end-55b89655c7-pkhkw,56m,106Mi,1701449319.1145961
front-end-55b89655c7-pkhkw,50m,98Mi,1701449341.1900322
front-end-55b89655c7-pkhkw,51m,99Mi,1701449363.4165258
front-end-55b89655c7-pkhkw,80m,105Mi,1701449385.2876687
front-end-55b89655c7-pkhkw,82m,105Mi,1701449407.1594846
front-end-55b89655c7-pkhkw,67m,106Mi,1701449429.0260727
front-end-55b89655c7-pkhkw,80m,106Mi,1701449451.0658906
front-end-55b89655c7-pkhkw,63m,108Mi,1701449472.87444
front-end-55b89655c7-pkhkw,59m,108Mi,1701449494.779383
front-end-55b89655c7-pkhkw,66m,99Mi,1701449516.6434433
front-end-55b89655c7-pkhkw,74m,102Mi,1701449538.592007
front-end-55b89655c7-pkhkw,74m,102Mi,1701449560.5238795
front-end-55b89655c7-pkhkw,75m,103Mi,1701449582.2286046
front-end-55b89655c7-pkhkw,80m,105Mi,1701449603.9368231
front-end-55b89655c7-pkhkw,76m,107Mi,1701449625.670877
